date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_boosters_per_hundred,reproduction_rate,weekly_icu_admissions,weekly_hosp_admissions,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,total_boosters,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,aged_65_older,gdp_per_capita,extreme_poverty,female_smokers,male_smokers,population,excess_mortality
2022-06-14,827439.2011538446,173.24691122810808,165.18592619476527,6454.515857582652,1.5309778753915744,1.542356975212155,439879.686234783,28.489472198375605,1.114645275120007,11.752332624904613,85.99508011838766,2071.65961552735,2123.9406481690276,0.08223189848451065,12.579536181110448,72.71962158704221,527252.8661927328,126.47478003671785,128.25828089487877,3.1336979372259294e-16,11.11016954776791,43.900000000000226,19.750000000000107,25063.850000000133,0.7000000000000035,25.60000000000013,51.00000000000027,1850654.00000001,6.824352128065004
2022-06-15,827616.3422357789,177.14108193433276,167.63047648188547,6456.051986916798,1.536129334145493,1.5370243571363322,439973.8571072449,28.494585079615614,1.1307685394040017,11.772849062362104,87.24338045539906,2055.5769837851403,2107.5775772709235,0.08455159031457898,12.238016712432723,72.7205849685623,527344.3359244469,125.14722917750623,127.45662275907134,2.350273452919447e-16,11.110127160825948,43.900000000000226,19.750000000000107,25063.850000000133,0.7000000000000035,25.60000000000013,51.00000000000027,1850654.00000001,7.092756223669043
2022-06-16,827797.7506813603,181.40844558132514,170.6119359005223,6457.598169243845,1.5461823270473896,1.5354450616466924,440070.29672959395,28.499651802601214,1.1469343554256597,11.790436501268777,88.51843893375553,2042.3733486985866,2091.8794176009005,0.08702972376373011,11.884236516225009,72.72152663850974,527434.0714973113,123.30513746166895,126.5023410188835,1.762705089689585e-16,11.110095370619478,43.900000000000226,19.750000000000107,25063.850000000133,0.7000000000000035,25.60000000000013,51.00000000000027,1850654.00000001,7.337867911126066
2022-06-17,827983.6068377828,185.85615642258108,174.03948182196598,6459.159211936126,1.5610426922797265,1.5378430076118799,440169.1009867565,28.504639627645844,1.1634333134341464,11.801426969635227,89.72977942656112,2031.5773127521263,2076.449252922721,0.08963848545369624,11.523048104686548,72.72243020835882,527521.6977567916,121.03611984910685,125.20728259027786,1.3220288172671888e-16,11.110071527964624,43.900000000000226,19.750000000000107,25063.850000000133,0.7000000000000035,25.60000000000013,51.00000000000027,1850654.00000001,7.556316207146389
2022-06-18,828173.822306748,190.21546896528776,177.78673854811663,6460.739205332194,1.5799933960682329,1.5441978665686407,440270.2228840564,28.509515919829447,1.1805706217918364,11.803392694674953,90.81557032576178,2022.3305443572456,2061.2200198471824,0.09233519893190129,11.16194509596806,72.72329114366417,527606.9605671096,118.49672466381801,123.43697454775058,9.915216129503916e-17,11.110053645973485,43.900000000000226,19.750000000000107,25063.850000000133,0.7000000000000035,25.60000000000013,51.00000000000027,1850654.00000001,7.749958020628988
2022-06-19,828367.9830196549,194.1607129069008,181.69404146764882,6462.341055582865,1.6018502506710866,1.5541913863518222,440373.44228295237,28.51425135486889,1.1985608040943638,11.795482465414763,91.75004232092134,2014.2002676732377,2046.179397561537,0.09506765647106574,10.8081588866173,72.72411541657176,527689.6475746542,115.7462021921106,121.16360679963014,7.436412097127937e-17,11.11004023448013,43.900000000000226,19.750000000000107,25063.850000000133,0.7000000000000035,25.60000000000013,51.00000000000027,1850654.00000001,7.92628347991907
2022-06-20,828562.8977204631,194.91470080816555,185.2793116437233,6463.972436806744,1.6313812238792063,1.5686041086067908,440477.0626566234,28.51882232352081,1.217526614706198,11.778673904652555,92.54916716409126,2006.1346868570643,2031.2879579966243,0.0977781179189103,10.468512506915154,72.72490750619104,527769.6341942428,112.8909487783214,118.42947626972924,5.577309072845953e-17,11.110030175860112,43.900000000000226,19.750000000000107,25063.850000000133,0.7000000000000035,25.60000000000013,51.00000000000027,1850654.00000001,8.098397645491996
2022-06-21,828758.7513608075,195.8536403443274,188.50874472180374,6465.634870591492,1.6624337847484505,1.5873299398907774,440581.1823269866,28.523225339925716,1.2374657431886678,11.757763393213782,93.28349555960472,1998.1808793961945,2016.583599395984,0.10040630983543368,10.149626138428136,72.72566139887415,527846.9427432911,110.10340873952659,115.33364566383554,4.182981804634465e-17,11.1100226318951,43.900000000000226,19.750000000000107,25063.850000000133,0.7000000000000035,25.60000000000013,51.00000000000027,1850654.00000001,8.28784927761333
2022-06-22,828957.3094320482,198.55807124079269,191.56815178634338,6467.324326828566,1.6894562370745918,1.6092057613175683,440686.739837516,28.527464253813108,1.2582537999577599,11.738144319774145,94.03988873037409,1993.4772077048733,2002.153245765478,0.10290427988788763,9.855579332327903,72.72636482743627,527921.7994782836,107.57712022626757,112.02491104167123,3.1372363534758487e-17,11.110016973921342,43.900000000000226,19.750000000000107,25063.850000000133,0.7000000000000035,25.60000000000013,51.00000000000027,1850654.00000001,8.518646504336154
2022-06-23,829161.166172292,203.85674024378162,194.7748347511993,6469.032934843476,1.708608014910019,1.6324130475557288,440795.11429378076,28.53154065965528,1.279649787589524,11.724249573287086,94.90846027296308,1991.8381740398086,1988.0475135096317,0.10524915367803611,9.587841577461841,72.72701343958184,527994.529893135,105.36963180943363,108.6684408765994,2.3529272651068865e-17,11.110012730441023,43.900000000000226,19.750000000000107,25063.850000000133,0.7000000000000035,25.60000000000013,51.00000000000027,1850654.00000001,8.813732719696398
