date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,people_vaccinated_per_hundred,new_vaccinations,new_people_vaccinated_smoothed_per_hundred,population
2020-03-11,91140.85643455866,1437.9483808499822,1231.2424350051347,3191.45910284231,70.12960010199501,63.23956418502983,0.010000000000000038,0.0,187500.00000000073,0.0,4721383370.000018
2020-03-12,92217.77750746082,1439.4218495833466,1261.4090117570752,3240.9385423245385,70.59561101698874,63.76257463527747,0.010000000000000044,0.0,187500.00000000081,0.0,4721383370.00002
2020-03-13,93413.51233227643,1457.5029094887402,1293.4462870983514,3298.5382797233697,72.82783302033701,64.81035162933472,0.010000000000000047,0.0,187500.00000000087,0.0,4721383370.000022
2020-03-14,94722.77655689976,1488.2052848961307,1327.760688174444,3364.743641919229,76.62433307165236,66.49143566770249,0.010000000000000049,0.0,187500.0000000009,0.0,4721383370.000023
2020-03-15,96129.14180681523,1526.0852338724883,1364.512182420428,3439.380355873816,81.62725109656422,68.88331883222493,0.01000000000000005,0.0,187500.00000000093,0.0,4721383370.000024
2020-03-16,97572.97754127833,1533.6244619266697,1400.1047336155816,3520.5762009713008,86.43874795396823,72.03457655144742,0.010000000000000052,0.0,187500.00000000096,0.0,4721383370.000025
2020-03-17,99053.67686959819,1548.0394033292964,1434.966038576265,3608.6428811745054,91.99885734556682,76.00181832179513,0.010000000000000054,0.0,187500.000000001,0.0,4721383370.000025
2020-03-18,100591.30070326535,1588.1280980690499,1471.7908760556656,3704.268117571253,98.57436925351917,80.79548365084874,0.010000000000000054,0.0,187500.00000000102,0.0,4721383370.000025
2020-03-19,102216.58743759783,1663.165546725675,1514.4865469900385,3808.1737449334546,106.11747700478078,86.37801836192467,0.010000000000000054,0.0,187500.00000000102,0.0,4721383370.000025
2020-03-20,103963.46021297552,1775.2844703222165,1567.3819546833845,3920.8592841364252,114.34442643490446,92.66250682251024,0.010000000000000054,0.0,187500.00000000102,0.0,4721383370.000025
