date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_deaths_per_million,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_65_older,median_age,population
2020-03-11,5.00000000000002,0.0,0.0,2.0000000000000075,0.0,0.0,46.390000000000185,18.55000000000007,14.65000000000006,2515.00000000001,1278.0000000000048,1.0600000000000043,1.1363241543742362,13.080000000000052,41.20000000000016,106459.00000000041
2020-03-12,5.000000000000022,0.003070458952811896,0.0,2.0000000000000084,0.0,0.0,46.3900000000002,18.550000000000082,14.650000000000066,2515.000000000011,1278.0000000000055,1.0600000000000047,2.054629508799429,13.080000000000055,41.20000000000017,106459.00000000045
2020-03-13,5.000000000000024,0.015231092436974854,0.0,2.000000000000009,0.0,0.0,46.390000000000214,18.55000000000009,14.650000000000071,2515.000000000012,1278.000000000006,1.060000000000005,3.3029879687036536,13.080000000000059,41.20000000000019,106459.00000000048
2020-03-14,5.000000000000025,0.03622939560439578,0.0032929864253393734,2.0000000000000093,0.0,0.0,46.39000000000023,18.550000000000093,14.650000000000075,2515.0000000000123,1278.0000000000061,1.0600000000000052,4.891888520160591,13.080000000000062,41.2000000000002,106459.00000000051
2020-03-15,5.000000000000026,0.065067974305107,0.011143947963800947,2.0000000000000098,0.0,0.0,46.39000000000024,18.550000000000097,14.650000000000077,2515.0000000000127,1278.0000000000064,1.0600000000000054,6.811243798006691,13.080000000000066,41.20000000000021,106459.00000000052
2020-03-16,4.948319327731118,0.04880098072883025,0.01783792218810607,2.00000000000001,0.0,0.0,45.91055462184898,18.550000000000097,14.650000000000079,2515.000000000013,1278.0000000000066,1.0600000000000056,8.97698698554447,13.080000000000066,41.200000000000216,106459.00000000054
2020-03-17,4.849264705882378,0.04078625590861354,0.02444098204185527,2.00000000000001,0.0,0.0,44.99161764705906,18.550000000000097,14.65000000000008,2515.0000000000136,1278.0000000000068,1.0600000000000056,11.350559405286365,13.080000000000066,41.200000000000216,106459.00000000055
2020-03-18,4.742507676147406,0.0744810946463924,0.03615798281452013,2.00000000000001,0.0,0.0,44.00122487071775,18.550000000000097,14.650000000000082,2515.0000000000136,1278.0000000000068,1.0600000000000056,13.929566127979026,13.080000000000066,41.200000000000216,106459.00000000055
2020-03-19,4.687617667259236,0.16725383973075475,0.060350872372687235,2.00000000000001,0.0,0.0,43.49200624192007,18.550000000000097,14.650000000000082,2515.0000000000136,1278.0000000000068,1.0600000000000056,16.730354298634595,13.080000000000066,41.200000000000216,106459.00000000055
2020-03-20,4.752461796016508,0.324697005525281,0.10505242383349112,2.00000000000001,0.0,0.0,44.093569969093636,18.550000000000097,14.650000000000082,2515.0000000000136,1278.0000000000068,1.0600000000000056,19.76453350031729,13.080000000000066,41.200000000000216,106459.00000000055
