date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,reproduction_rate,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,hospital_beds_per_thousand,population
2020-05-01,40.30600938399084,0.6529502863929944,0.93461094486245,2.655089739620058,0.06832357750085405,0.06650886797141743,1.7940714164960172,0.37000000000000205,66.00000000000034,0.0,86.34988125647733,21.700000000000113,1.500000000000008,22125242.000000115
2020-05-02,40.881591718019045,0.5757178860940352,0.8441977044451576,2.718822152808131,0.06413861072745056,0.06690880029983015,1.819867880406922,0.37000000000000205,66.00000000000034,0.0,86.5243858938772,21.700000000000113,1.500000000000008,22125242.000000115
2020-05-03,41.398976593944205,0.5174865399745346,0.7581188665691629,2.7768994200359667,0.05838191538236884,0.0659711929850537,1.8430400505766873,0.37000000000000205,66.00000000000034,0.0,86.67842516701435,21.700000000000113,1.500000000000008,22125242.000000115
2020-05-04,41.88135914229079,0.48245879638361644,0.6796920911033434,2.8280365559772056,0.05136562205713866,0.06365260288358673,1.8646132635304498,0.37000000000000205,66.00000000000034,0.0,86.79916131223568,21.700000000000113,1.500000000000008,22125242.000000115
2020-05-05,42.33445180662119,0.4531498503581718,0.6106598246300291,2.8713506231884676,0.043485431798186924,0.05990234809029193,1.8848374524959333,0.37000000000000205,66.00000000000034,0.0,86.87337518585755,21.700000000000113,1.500000000000008,22125242.000000115
2020-05-06,42.76455895839194,0.430150041291577,0.5523555665979263,2.906421823241387,0.03519972349311338,0.05484078821704027,1.903992181162515,0.37000000000000205,66.00000000000034,0.0,86.91503138939329,21.700000000000113,1.500000000000008,22125242.000000115
2020-05-07,43.178267311877406,0.4137405206260847,0.5055071403653812,2.933339315071639,0.027013884410397416,0.048716564013458974,1.9223727719417014,0.37000000000000205,66.00000000000034,0.0,86.94627354204509,21.700000000000113,1.500000000000008,22125242.000000115
2020-05-08,43.58221373536255,0.40397054884060474,0.4700891464828276,2.9527355787407084,0.020260413307798063,0.04187452708249245,1.9402799021624846,0.37000000000000205,66.00000000000034,0.0,86.96970515653393,21.700000000000113,1.500000000000008,22125242.000000115
2020-05-09,43.98291110953749,0.4007154681915401,0.44521230265462286,2.9658121882572166,0.015195309980848547,0.03473168716707298,1.9580118012178584,0.37000000000000205,66.00000000000034,0.0,86.98727886740058,21.700000000000113,1.500000000000008,22125242.000000115
2020-05-10,44.38661772129345,0.4037201822684132,0.4290404487104247,2.9743591411929167,0.01139648248563641,0.027759172615123746,1.975858398424709,0.37000000000000205,66.00000000000034,0.0,87.00045915055055,21.700000000000113,1.500000000000008,22125242.000000115
2020-05-11,44.77907124184281,0.39246369843369566,0.41620729193036266,2.9795088516930113,0.008547361864227308,0.021292230140075842,1.9931893708935182,0.37000000000000205,66.00000000000034,0.0,87.01034436291303,21.700000000000113,1.500000000000008,22125242.000000115
2020-05-12,45.16495953997945,0.38589593154990054,0.40655753746748813,2.9819005463327874,0.006410521398170481,0.015969172605056883,2.010217981628448,0.37000000000000205,66.00000000000034,0.0,87.01775827218489,21.700000000000113,1.500000000000008,22125242.000000115
