date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_vaccinations_per_hundred,new_people_vaccinated_smoothed_per_hundred,new_people_vaccinated_smoothed,stringency_index,median_age,male_smokers,hospital_beds_per_thousand,population
2020-11-30,2925.8683378366795,9.781056101418311,10.309733371280114,43.02658577934129,0.022312321871114222,0.010657356895459713,212.6441499013804,0.08000000000000043,0.0,204.00000000000108,40.71252704356795,18.800000000000097,12.300000000000065,0.5000000000000026,13352864.00000007
2020-12-01,2935.6754453619997,9.807107525320372,10.110690946365722,43.05533041401475,0.029630169005145694,0.013330121743993003,213.356927552086,0.08000000000000043,0.0,204.00000000000108,40.719395282676025,18.800000000000097,12.300000000000065,0.5000000000000026,13352864.00000007
2020-12-02,2945.507860686016,9.83241532401615,9.969449366852519,43.09216038323252,0.03749411996652904,0.01758356415867353,214.0715096588935,0.08000000000000043,0.0,204.00000000000108,40.7315422603264,18.800000000000097,12.300000000000065,0.5000000000000026,13352864.00000007
2020-12-03,2955.344664098873,9.836803412856987,9.879190451125181,43.137025911212426,0.04536364104147735,0.023101700268326468,214.78637868890215,0.08000000000000043,0.0,204.00000000000108,40.74881425827007,18.800000000000097,12.300000000000065,0.5000000000000026,13352864.00000007
2020-12-04,2965.1520662706685,9.807402171795307,9.828182915913388,43.189324055258126,0.052671728841870886,0.029489171128846726,215.49908427524187,0.08000000000000043,0.0,204.00000000000108,40.76616305310792,18.800000000000097,12.300000000000065,0.5000000000000026,13352864.00000007
2020-12-05,2974.888888099903,9.73682182923434,9.800596947762463,43.247875394384835,0.058831527723840246,0.03629108649143151,216.20664126073035,0.08000000000000043,0.0,204.00000000000108,40.77576643979867,18.800000000000097,12.300000000000065,0.5000000000000026,13352864.00000007
2020-12-06,2984.510670599818,9.621782499915426,9.77711513163634,43.31090654578868,0.06324129285170382,0.04300790762875471,216.90582823061595,0.08000000000000043,0.0,204.00000000000108,40.768618624289914,18.800000000000097,12.300000000000065,0.5000000000000026,13352864.00000007
2020-12-07,2993.9967068929827,9.486036293165412,9.734659554932827,43.3772975564004,0.06654861669760151,0.0492830800428331,217.59515090793317,0.08000000000000043,0.0,204.00000000000108,40.73572301799125,18.800000000000097,12.300000000000065,0.5000000000000026,13352864.00000007
2020-12-08,3003.3247118116287,9.328004918645888,9.665887684945595,43.44641854545162,0.06923919361563821,0.054889911842079676,218.27299327144792,0.08000000000000043,0.0,204.00000000000108,40.66898683362924,18.800000000000097,12.300000000000065,0.5000000000000026,13352864.00000007
2020-12-09,3012.4666592627336,9.141947451104661,9.566915925312312,43.5169082853008,0.07057839327249153,0.05956788637024765,218.93732155345697,0.08000000000000043,0.0,204.00000000000108,40.5618920321386,18.800000000000097,12.300000000000065,0.5000000000000026,13352864.00000007
2020-12-10,3021.3970047896532,8.930345526919329,9.437099678308746,43.58701864125426,0.07017684602094923,0.06307636726637363,219.58628156586872,0.08000000000000043,0.0,204.00000000000108,40.40999853283057,18.800000000000097,12.300000000000065,0.5000000000000026,13352864.00000007
2020-12-11,3030.098852493343,8.70184770368983,9.278868391569322,43.654872901432036,0.0679041277283817,0.06523487725973508,220.21864669476383,0.08000000000000043,0.0,204.00000000000108,40.21132162101924,18.800000000000097,12.300000000000065,0.5000000000000026,13352864.00000007
2020-12-12,3038.568580223276,8.469727729932867,9.097601843127553,43.718659524167165,0.0638240233980963,0.06595330726606838,220.8341538963156,0.08000000000000043,0.0,204.00000000000108,39.96661500374121,18.800000000000097,12.300000000000065,0.5000000000000026,13352864.00000007
2020-12-13,3046.8193084706286,8.250728247352699,8.901537355196353,43.77677744855531,0.058145974885353155,0.06525457320973237,221.43375569373023,0.08000000000000043,0.0,204.00000000000108,39.67958310154546,18.800000000000097,12.300000000000065,0.5000000000000026,13352864.00000007
2020-12-14,3054.8608129625427,8.041504491914019,8.695044742318414,43.82794507736676,0.051188666684376896,0.06311513805209573,222.01815791444795,0.08000000000000043,0.0,204.00000000000108,39.35704026733562,18.800000000000097,12.300000000000065,0.5000000000000026,13352864.00000007
2020-12-15,3062.691876690237,7.831063727694412,8.481140214786656,43.871282014230694,0.0433527152686156,0.059499249466673676,222.5872724435932,0.08000000000000043,0.0,204.00000000000108,39.00903020050177,18.800000000000097,12.300000000000065,0.5000000000000026,13352864.00000007
2020-12-16,3070.3321912927304,7.640314602493508,8.266638289726071,43.90637036652311,0.035100186095934884,0.05453846424932658,223.14253206378766,0.08000000000000043,0.0,204.00000000000108,38.64191970919991,18.800000000000097,12.300000000000065,0.5000000000000026,13352864.00000007
