date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,reproduction_rate,total_vaccinations_per_hundred,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,population_density,gdp_per_capita,hospital_beds_per_thousand,life_expectancy,population
2021-06-14,109.52935464288488,8.485101904747287,5.6142212622270025,0.9974789915966438,0.017517145079185607,0.004608294279250183,2343.829545285461,1.1569233767241687,65.14188907392324,162.00000000000085,0.010000000000000054,70.90000000000038,354.6778991226852,0.34022284066916264,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-06-15,119.1701575464819,9.640814146724672,6.505737052035487,0.9926470588235345,0.023092609940610978,0.008001307975113161,2550.1338170119343,1.1456547174170777,65.86927394829966,162.00000000000085,0.010000000000000054,70.90000000000038,346.2366402437596,0.3113256631456991,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-06-16,130.03985151474205,10.869702400605902,7.508401851728634,0.9874393988364629,0.031007240260888167,0.012565299016241175,2782.735210852039,1.1315261059361128,66.6384274769542,162.00000000000085,0.010000000000000054,70.90000000000038,344.11917378333726,0.2861253074756288,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-06-17,142.17133983191974,12.131494641436996,8.59959890010871,0.984761837427284,0.04172666484337146,0.018494433214992823,3042.3378171564877,1.1144380506867337,67.45867072083792,162.00000000000085,0.010000000000000054,70.90000000000038,348.6781489218602,0.2644158939874588,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-06-18,155.53726376211074,13.365928673385463,9.748140513155242,0.9879249656593461,0.05511529598223784,0.02593999103923434,3328.3561742765505,1.0943842910855106,68.33915467820664,162.00000000000085,0.010000000000000054,70.90000000000038,359.8073188665735,0.24592504266254006,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-06-19,170.03500987717482,14.497749672459937,10.916596658298902,1.0002197423440586,0.07058663358978132,0.03497422404865661,3638.59444066217,1.0714852124964227,69.28622685491666,162.00000000000085,0.010000000000000054,70.90000000000038,376.98288087585183,0.2303376087583791,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-06-20,185.4754655526778,15.44045834354989,12.063041385126914,1.024599195898317,0.08721599329188369,0.04556324722201292,3969.005773935548,1.0460444200381231,70.30146979374092,162.00000000000085,0.010000000000000054,70.90000000000038,399.1991354468055,0.2171906661680089,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-06-21,201.7018965142178,16.226432962575178,13.169009707235642,1.0634397007375727,0.10508555670129825,0.058088725009269995,4316.236192927428,1.0185386479309853,71.38024357295069,162.00000000000085,0.010000000000000054,70.90000000000038,424.9860354894358,0.20589671649737085,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-06-22,218.6620720301369,16.96017701669547,14.214635593290362,1.1183619345706344,0.12393375382203083,0.0725495754311608,4679.168004424086,0.9895599329424225,72.51156314997814,162.00000000000085,0.010000000000000054,70.90000000000038,452.4898821439037,0.19583688772855518,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-06-23,236.21565550935162,17.553584604797003,15.16941754823218,1.1900965963707701,0.14214229985262555,0.08852643496703595,5054.798139711092,0.9597467111806384,73.6875421750241,162.00000000000085,0.010000000000000054,70.90000000000038,480.19150663055296,0.18652456301684323,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
