date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_vaccinated_per_hundred,reproduction_rate,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_65_older,median_age,gdp_per_capita,human_development_index,population
2020-09-13,8589.605683207294,10.097653108897173,12.238454667054512,52.99308228062016,0.0030557826093739983,0.0079490188873582,0.010000000000000054,0.8838000086942959,9923.000000000051,0.0,817.2000000000041,33.00000000000017,0.0,77.78000017207947,4.450000000000023,23.100000000000122,16562.410000000084,0.7000000000000035,2388997.000000012
2020-09-14,8599.213861629787,9.608178422493836,11.54820686971559,52.993551206263504,0.0022918369570304985,0.00596176416551865,0.010000000000000054,0.8853863672188486,9923.000000000051,0.0,817.2000000000041,33.00000000000017,0.0,77.78000012905972,4.450000000000023,23.100000000000122,16562.410000000084,0.7000000000000035,2388997.000000012
2020-09-15,8608.344462156418,9.130600526631214,10.891278940263433,52.99243231226073,0.0017188777177728739,0.004471323124138987,0.010000000000000054,0.887112820016594,9923.000000000051,0.0,817.2000000000041,33.00000000000017,0.0,77.7800000967949,4.450000000000023,23.100000000000122,16562.410000000084,0.7000000000000035,2388997.000000012
2020-09-16,8617.007942609567,8.663480453150537,10.273394079147167,52.990801286555026,0.0012891582883296554,0.003353492343104241,0.010000000000000054,0.8889905620066291,9923.000000000051,0.0,817.2000000000041,33.00000000000017,0.0,77.78000007259628,4.450000000000023,23.100000000000122,16562.410000000084,0.7000000000000035,2388997.000000012
2020-09-17,8625.222246549947,8.214303940380042,9.700423549017788,52.99019210906631,0.0015809605068096207,0.0025151192573281806,0.010000000000000054,0.8910304134248179,9923.000000000051,0.0,817.2000000000041,33.00000000000017,0.0,77.78000005444731,4.450000000000023,23.100000000000122,16562.410000000084,0.7000000000000035,2388997.000000012
2020-09-18,8633.01949680646,7.797250256513224,9.176849982383908,52.992320875594245,0.0037713700245804015,0.0018863394429961353,0.010000000000000054,0.8932501856342256,9923.000000000051,0.0,817.2000000000041,33.00000000000017,0.0,77.78000004083559,4.450000000000023,23.100000000000122,16562.410000000084,0.7000000000000035,2388997.000000012
2020-09-19,8640.451015623603,7.431518817142522,8.704614862353552,52.99887866574553,0.007789742773768229,0.0020640758492154287,0.010000000000000054,0.8956428751662007,9923.000000000051,0.0,817.2000000000041,33.00000000000017,0.0,77.7800000306268,4.450000000000023,23.100000000000122,16562.410000000084,0.7000000000000035,2388997.000000012
2020-09-20,8647.591089772013,7.1400741484095835,8.282254133190513,53.01137619387936,0.013421492600688204,0.0032584641267305835,0.010000000000000054,0.8982121175899072,9923.000000000051,0.0,817.2000000000041,33.00000000000017,0.0,77.7800000229702,4.450000000000023,23.100000000000122,16562.410000000084,0.7000000000000035,2388997.000000012
2020-09-21,8654.519626314155,6.928536542141069,7.899560832601362,53.03102729731651,0.020344076787297077,0.005769639950251574,0.010000000000000054,0.9009614475977322,9923.000000000051,0.0,817.2000000000041,33.00000000000017,0.0,77.78000001722776,4.450000000000023,23.100000000000122,16562.410000000084,0.7000000000000035,2388997.000000012
2020-09-22,8661.259968604407,6.740342290251577,7.558167230785872,53.05866155249618,0.028153985192282835,0.009664334035086899,0.010000000000000054,0.9039109693440663,9923.000000000051,0.0,817.2000000000041,33.00000000000017,0.0,77.78000001292094,4.450000000000023,23.100000000000122,16562.410000000084,0.7000000000000035,2388997.000000012
