date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,reproduction_rate,new_tests,new_tests_smoothed,tests_per_case,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,male_smokers,hospital_beds_per_thousand,life_expectancy,population
2020-12-03,423807.78656434186,1528.51001615319,1544.462560764041,8231.816177609966,34.678447153081976,37.177799546648814,0.16000000000000086,0.9666799647332746,32086.6073597066,31785.950632710505,20.6437163851026,756.000000000004,756.000000000004,0.0,68.81547630859916,25.200000000000124,40.80000000000021,1.000000000000005,71.23000000000039,115559008.00000057
2020-12-04,425331.0702723197,1523.283707977855,1538.1321668561613,8265.586583756936,33.770406146970544,36.35172393277269,0.16000000000000086,0.9647074525415539,32139.72686754987,31883.63298099705,20.806083992123682,756.000000000004,756.000000000004,0.0,68.71576527928399,25.200000000000124,40.80000000000021,1.000000000000005,71.23000000000039,115559008.00000057
2020-12-05,426848.6501993923,1517.5799270725984,1532.6572985422524,8298.49439806335,32.90781430641412,35.51146247123438,0.16000000000000086,0.9619352435755268,32179.013120927477,31970.62696587065,20.98199188872757,756.000000000004,756.000000000004,0.0,68.59304632533251,25.200000000000124,40.80000000000021,1.000000000000005,71.23000000000039,115559008.00000057
2020-12-06,428360.24104321,1511.5908438177023,1527.6366232279584,8330.647156013587,32.15275795023726,34.679446400937145,0.16000000000000086,0.9587022406971604,32220.391353300696,32047.833669781186,21.17412481505896,756.000000000004,756.000000000004,0.0,68.44916289525997,25.200000000000124,40.80000000000021,1.000000000000005,71.23000000000039,115559008.00000057
2020-12-07,429866.5747061314,1506.333662921456,1522.5734496446298,8362.237516331468,31.590360317881604,33.872834154290494,0.16000000000000086,0.9554815932571961,32267.10422926128,32115.437485690814,21.383773960356955,756.000000000004,756.000000000004,0.0,68.2875192302686,25.200000000000124,40.80000000000021,1.000000000000005,71.23000000000039,115559008.00000057
2020-12-08,431367.318521519,1500.7438153876035,1517.3223419199646,8393.280318890502,31.0428025590318,33.10175619102496,0.16000000000000086,0.9527603546067639,32319.15297802228,32174.18333404838,21.611298472853395,756.000000000004,756.000000000004,0.0,68.11313942270155,25.200000000000124,40.80000000000021,1.000000000000005,71.23000000000039,115559008.00000057
2020-12-09,432861.8782091748,1494.559687655766,1511.8014702408805,8423.787905619083,30.50758672858223,32.3768832389378,0.16000000000000086,0.9510340668600515,32379.505522139898,32227.298748112284,21.85465355729037,756.000000000004,756.000000000004,0.0,67.92920750820272,25.200000000000124,40.80000000000021,1.000000000000005,71.23000000000039,115559008.00000057
2020-12-10,434349.6647977996,1487.7865886248258,1505.983773010333,8453.780602776056,29.992697156973236,31.707350373611924,0.16000000000000086,0.950776196557451,32450.274939924297,32279.262522622717,22.10924647048882,756.000000000004,756.000000000004,0.0,67.73752747989164,25.200000000000124,40.80000000000021,1.000000000000005,71.23000000000039,115559008.00000057
2020-12-11,435830.2948168377,1480.6300190381107,1499.890328464927,8483.294582657361,29.51397988130463,31.099200078205108,0.16000000000000086,0.9522860905337974,32518.206204943268,32333.34356294317,22.366747393267424,756.000000000004,756.000000000004,0.0,67.5419232440494,25.200000000000124,40.80000000000021,1.000000000000005,71.23000000000039,115559008.00000057
2020-12-12,437303.74044036004,1473.4456235222826,1493.5853833881285,8512.387759876032,29.093177218670817,30.55421453829188,0.16000000000000086,0.9556807928518685,32598.506835349384,32393.283609505423,22.614750266993266,756.000000000004,756.000000000004,0.0,67.34728438520263,25.200000000000124,40.80000000000021,1.000000000000005,71.23000000000039,115559008.00000057
2020-12-13,438770.44209497655,1466.701654616504,1487.1726246451708,8541.144213572195,28.75645369616217,30.069039862994966,0.16000000000000086,0.9608580413098787,32675.634053467482,32458.329239126528,22.837871038965083,756.000000000004,756.000000000004,0.0,67.15885048993633,25.200000000000124,40.80000000000021,1.000000000000005,71.23000000000039,115559008.00000057
2020-12-14,440230.50678131706,1460.0646863405311,1480.5627945989415,8569.738008272241,28.593794700046683,29.64100824243049,0.16000000000000086,0.9674410422946277,32710.278351994646,32521.648141368212,23.019688023890943,756.000000000004,756.000000000004,0.0,66.98167438975356,25.200000000000124,40.80000000000021,1.000000000000005,71.23000000000039,115559008.00000057
2020-12-15,441683.9485733834,1453.4417920663248,1473.8054328916774,8598.188477115635,28.45046884339316,29.27076280755012,0.16000000000000086,0.9747755134598215,32669.30398054419,32571.674260518772,23.14459633466032,756.000000000004,756.000000000004,0.0,66.82021959322024,25.200000000000124,40.80000000000021,1.000000000000005,71.23000000000039,115559008.00000057
2020-12-16,443131.5415205359,1447.592947152525,1467.0960151988183,8626.470365593686,28.28188847805234,28.952935066231476,0.16000000000000086,0.9820683836404396,32531.689184503208,32593.41586022429,23.19972391550723,756.000000000004,756.000000000004,0.0,66.67805836007363,25.200000000000124,40.80000000000021,1.000000000000005,71.23000000000039,115559008.00000057
2020-12-17,444574.6084836475,1443.0669631116486,1460.7076560338928,8654.534674647766,28.064309054079047,28.677623568581208,0.16000000000000086,0.9885386826883144,32304.102618823475,32572.5327096479,23.17995777179529,756.000000000004,756.000000000004,0.0,66.55764525680387,25.200000000000124,40.80000000000021,1.000000000000005,71.23000000000039,115559008.00000057
2020-12-18,446014.86276221916,1440.2542785716182,1454.9398858521831,8682.324292992947,27.78961834518117,28.43150290591235,0.16000000000000086,0.9936034302450671,32004.761466380092,32499.18136804722,23.08936878133519,756.000000000004,756.000000000004,0.0,66.4601473233399,25.200000000000124,40.80000000000021,1.000000000000005,71.23000000000039,115559008.00000057
2020-12-19,447454.289314716,1439.4265524969123,1450.0802338784733,8709.785721360753,27.461428367806406,28.198655459977285,0.16000000000000086,0.9971072268531618,31657.8127449047,32364.795609099452,22.933770283480413,756.000000000004,756.000000000004,0.0,66.38531669806416,25.200000000000124,40.80000000000021,1.000000000000005,71.23000000000039,115559008.00000057
2020-12-20,448895.05567382043,1440.7663591044252,1446.3754152278616,8736.87786568121,27.092144320457297,27.961195214892506,0.16000000000000086,0.9991633225315986,31254.84312364301,32161.82632867337,22.717855185137815,756.000000000004,756.000000000004,0.0,66.33139508657342,25.200000000000124,40.80000000000021,1.000000000000005,71.23000000000039,115559008.00000057
