date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_vaccinated_per_hundred,reproduction_rate,new_tests,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_65_older,median_age,population
2022-04-14,501770.5712789105,18.52407488252335,28.612642164225523,6423.12096084485,1.3836400717675605,2.008244968823797,32.468773819368444,0.40522713049021986,1646.4377483726425,0.2500000000000013,4.000000000000023,1176.8377302692754,0.008734392797703302,44.59741352726915,4.420000000000023,29.000000000000153,6812344.000000035
2022-04-15,501786.3093576968,15.738078786326913,25.07563773176645,6424.296570665967,1.175609821117203,1.7976530220283211,32.47437766806318,0.41325648232144696,1665.4104702969375,0.2500000000000013,4.000000000000023,1077.612331315403,0.008185248379790091,44.59661896898134,4.420000000000023,29.000000000000153,6812344.000000035
2022-04-16,501799.6328262888,13.323468592007636,21.88607574549583,6425.279845581902,0.9832749159348646,1.592183528641475,32.47944361326924,0.4223841846240852,1674.901072318236,0.2500000000000013,4.000000000000023,985.1132400831918,0.007580112755430812,44.59582977295455,4.420000000000023,29.000000000000153,6812344.000000035
2022-04-17,501811.0648912105,11.432064921704505,19.040270610026866,6426.099929435304,0.8200838534023447,1.3954894564358584,32.483963221772086,0.4326645120944382,1675.9943608921099,0.2500000000000013,4.000000000000023,898.6411517818517,0.006935084566573116,44.59505138595386,4.420000000000023,29.000000000000153,6812344.000000035
2022-04-18,501821.3183839871,10.253492776604826,16.50583611847685,6426.801062137896,0.7011327025921598,1.2092856443630937,32.487936176833315,0.44409065944251647,1669.8952304529985,0.2500000000000013,4.000000000000023,817.4764520716838,0.006260136954341607,44.59429516519267,4.420000000000023,29.000000000000153,6812344.000000035
2022-04-19,501830.54993860517,9.23155461800631,14.292068911740646,6427.389419744995,0.5883576070992591,1.0355217639769103,32.49137286630312,0.45655118785919896,1657.7781663063686,0.2500000000000013,4.000000000000023,740.9842459703764,0.005560648934243606,44.59357528468965,4.420000000000023,29.000000000000153,6812344.000000035
2022-04-20,501838.8758993327,8.32596072756421,12.402584974044666,6427.871815939978,0.48239619498184594,0.8763581943466134,32.49429528482757,0.4698416391167658,1640.6551410286058,0.2500000000000013,4.000000000000023,668.69964213777,0.004849542938562475,44.59290641503637,4.420000000000023,29.000000000000153,6812344.000000035
2022-04-21,501846.3937053664,7.517806033714535,10.830414651671195,6428.256997055186,0.38518111520858883,0.7336059114354615,32.49673532108679,0.483655469802992,1619.257305997701,0.2500000000000013,4.000000000000023,600.3909242342265,0.004143782931135822,44.59230198322304,4.420000000000023,29.000000000000153,6812344.000000035
2022-04-22,501853.19792931643,6.804223949978862,9.554323917001627,6428.556613337617,0.2996162824310053,0.6083064051344503,32.49873226120022,0.4976210464375712,1593.9270292720335,0.2500000000000013,4.000000000000023,536.1133289222767,0.0034617479934391337,44.59177286750784,4.420000000000023,29.000000000000153,6812344.000000035
2022-04-23,501859.39230607013,6.194376753692944,8.5360553165489,6428.78594739818,0.22933406056274974,0.5004166170376512,32.500330881651436,0.511289152636841,1564.1089297248277,0.2500000000000013,4.000000000000023,476.3981673445844,0.0028212625141485173,44.59132641856889,4.420000000000023,29.000000000000153,6812344.000000035
2022-04-24,501865.0987544402,5.706448370053166,7.718258681981818,6428.964460548644,0.17851315046407912,0.40857264377371366,32.50155785627048,0.5241443046844836,1529.1507941631398,0.2500000000000013,4.000000000000023,421.8754354631898,0.002238118831312746,44.590965725368235,4.420000000000023,29.000000000000153,6812344.000000035
2022-04-25,501870.51330306416,5.414548624016933,7.0270736171748,6429.117463058551,0.15300250990688297,0.3300889850927288,32.50246863345325,0.5356586486814308,1488.6315299191524,0.2500000000000013,4.000000000000023,373.1320290860804,0.0017249692139822972,44.590689064549835,4.420000000000023,29.000000000000153,6812344.000000035
2022-04-26,501875.67523263174,5.161929567560217,6.445725704154539,6429.251542672073,0.1340796135225993,0.26503215575555183,32.50313623130016,0.5453432108161805,1442.5650663146087,0.2500000000000013,4.000000000000023,330.6070050078379,0.001293726910486723,44.590489487488064,4.420000000000023,29.000000000000153,6812344.000000035
2022-04-27,501880.58321826893,4.90798563720863,5.957404976241314,6429.3707513802765,0.11920870820271234,0.2130149054398055,32.503641506516075,0.5528613189072235,1391.5112177800988,0.2500000000000013,4.000000000000023,294.5219311960856,0.0009702951828650423,44.590354510574095,4.420000000000023,29.000000000000153,6812344.000000035
2022-04-28,501885.21436909994,4.631150831009258,5.544928974585646,6429.477400962494,0.10664958221861484,0.17312381644249156,32.50406452863122,0.5579323498785438,1336.6167682154896,0.2500000000000013,4.000000000000023,264.8302493020418,0.0007277213871487817,44.59026588293064,4.420000000000023,29.000000000000153,6812344.000000035
2022-04-29,501889.538507918,4.32413881815029,5.190490040570785,6429.57265964237,0.09525867987663089,0.14386500195694954,32.50447678321277,0.560300102745043,1279.604221281205,0.2500000000000013,4.000000000000023,241.18820087439843,0.0005457910403615864,44.59019941219805,4.420000000000023,29.000000000000153,6812344.000000035
2022-04-30,501893.52888093924,3.9903730211757473,4.875465785114584,6429.65699957988,0.0843399375092832,0.12312337978057586,32.50493354663947,0.5597628921848334,1222.9251416742673,0.2500000000000013,4.000000000000023,222.86151264674925,0.0004093432802711898,44.5901495591486,4.420000000000023,29.000000000000153,6812344.000000035
2022-05-01,501897.17019011686,3.6413091776465203,4.580276940645898,6429.730532490349,0.07353291046874333,0.10813212759561298,32.50548267683254,0.5562457308710111,1169.3011468642528,0.2500000000000013,4.000000000000023,208.99493862210159,0.0003070074602033923,44.59011216936152,4.420000000000023,29.000000000000153,6812344.000000035
2022-05-02,501900.43562578165,3.2654356647474985,4.273112682859994,6429.793261358721,0.06272886837191953,0.0952733038415062,32.50616314923494,0.5497827144428519,1121.4340511168862,0.2500000000000013,4.000000000000023,198.71999194330556,0.00023025559515254423,44.5900841270212,4.420000000000023,29.000000000000153,6812344.000000035
2022-05-03,501903.3122235386,2.876597756963988,3.9465185780790653,6429.845269225255,0.05200786653427257,0.08361787380873152,32.507003554788014,0.5405545536084808,1081.762201464455,0.2500000000000013,4.000000000000023,191.2433714623275,0.00017269169636440818,44.59006309526596,4.420000000000023,29.000000000000153,6812344.000000035
2022-05-04,501905.82015666564,2.507933127031331,3.6035738075088823,6429.8868607748,0.04159154954517761,0.07262743250586996,32.50802056940623,0.5288834329827026,1052.2514576363424,0.2500000000000013,4.000000000000023,185.9257412664291,0.00012951877227330614,44.59004732144953,4.420000000000023,29.000000000000153,6812344.000000035
2022-05-05,501908.00703734485,2.1868806791455104,3.254356018204386,6429.91866852875,0.031807753949445586,0.06205654723008125,32.50921740207549,0.515208470018217,1034.2121549596434,0.2500000000000013,4.000000000000023,182.34723096598236,9.71390792049796e-05,44.590035491087214,4.420000000000023,29.000000000000153,6812344.000000035
2022-05-06,501909.94364258595,1.9366052410979837,2.9132899612938865,6429.941732489008,0.02385581546208419,0.05187951449495916,32.510584876055695,0.5000580978271734,1028.1355544873486,0.2500000000000013,4.000000000000023,180.3666611042543,7.28543094037347e-05,44.59002661831548,4.420000000000023,29.000000000000153,6812344.000000035
2022-05-07,501911.7207086693,1.7770660833768184,2.597158970647211,6429.957559870966,0.01789186159656314,0.04223542772642301,32.51202502812871,0.4839823257944271,1033.8512110682093,0.2500000000000013,4.000000000000023,179.7752705534657,5.464073205280103e-05,44.59001996373667,4.420000000000023,29.000000000000153,6812344.000000035
2022-05-08,501913.4465269778,1.7258183084925385,2.323613571876813,6429.9681699032335,0.013418896197422356,0.033386978034636264,32.51345654235893,0.467563667422744,1050.8589780675266,0.2500000000000013,4.000000000000023,180.4990676533025,4.0980549039600775e-05,44.59001497280257,4.420000000000023,29.000000000000153,6812344.000000035
2022-05-09,501915.2073257448,1.760798766922089,2.1088050399289435,6429.976127427434,0.010064172148066767,0.025689554792945525,32.514864055813476,0.4513535844390689,1078.2346504866518,0.2500000000000013,4.000000000000023,182.83364139931777,3.0735411779700585e-05,44.59001122960199,4.420000000000023,29.000000000000153,6812344.000000035
