date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,reproduction_rate,new_tests_smoothed,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_65_older,median_age,extreme_poverty,diabetes_prevalence,handwashing_facilities,population
2022-04-19,86953.30444548922,13.746525065484049,11.893525249692242,1336.9924714521344,0.0017062951682496666,0.004436235829168125,849.1784903351183,0.4299213116698474,855.4846980066434,28943.695253755664,0.017614091265882675,29.473295161592937,3.0200000000000164,17.000000000000092,77.10000000000039,6.1000000000000325,4.470000000000023,99010216.00000052
2022-04-20,86967.93214795025,14.62770246103937,12.438888281160603,1336.990830641462,0.00127972137618725,0.0033271768718760937,849.3215288696334,0.42291561206524964,880.0440341707888,30103.588376321968,0.018241111435837374,29.313446484316913,3.0200000000000164,17.000000000000092,77.10000000000039,6.1000000000000325,4.470000000000023,99010216.00000052
2022-04-21,86983.45418530024,15.522037349981233,13.10400961746388,1336.9902141252483,0.0015738828227028167,0.0024953826539070704,849.473267369744,0.41623276593322994,905.5119041025596,31030.880778039842,0.01872252717739519,29.172793008034105,3.0200000000000164,17.000000000000092,77.10000000000039,6.1000000000000325,4.470000000000023,99010216.00000052
2022-04-22,86999.82895507097,16.37476977072771,13.85381813746768,1336.9923373877325,0.0037660617615002984,0.001871536990430303,849.6333084781818,0.4098678517608474,931.2390832158998,31748.129377970785,0.01907712485945237,29.053709171022387,3.0200000000000164,17.000000000000092,77.10000000000039,6.1000000000000325,4.470000000000023,99010216.00000052
2022-04-23,87016.95390764142,17.124952570450464,14.646155619907507,1336.998891049851,0.0077857615764581525,0.0020529740097910455,849.8006625157158,0.403830591470927,956.7284235948609,32284.546580989445,0.019335154568959054,28.957311613237742,3.0200000000000164,17.000000000000092,77.10000000000039,6.1000000000000325,4.470000000000023,99010216.00000052
2022-04-24,87034.66090584431,17.706998202886357,15.433293185518892,1337.0113854819601,0.013418506702705646,0.0032501377471622827,849.9737016379192,0.3981193883349346,981.6429725119197,32673.19823567749,0.019513970968736125,28.883330833393114,3.0200000000000164,17.000000000000092,77.10000000000039,6.1000000000000325,4.470000000000023,99010216.00000052
2022-04-25,87052.71274467101,18.051838826696148,16.16595518325684,1337.0310342633788,0.020341837363810157,0.0057633951655753305,850.1501380577877,0.39272658068235855,1005.8077465138701,32948.14321457328,0.019635478226552122,28.830014931767565,3.0200000000000164,17.000000000000092,77.10000000000039,6.1000000000000325,4.470000000000023,99010216.00000052
2022-04-26,87071.0651014898,18.352356818793954,16.824207984081312,1337.058666777045,0.028152305624667646,0.009659650446579694,850.3295434269878,0.3876423821827455,1029.238825399302,33141.5267386611,0.01972660866991412,28.79405741731311,3.0200000000000164,17.000000000000092,77.10000000000039,6.1000000000000325,4.470000000000023,99010216.00000052
2022-04-27,87089.68085585245,18.615754362641066,17.394217235636965,1337.094662655507,0.036385722431170504,0.01483071068561352,850.5115488113539,0.3828578370572277,1051.9245780022898,33280.645053995875,0.01979495650243562,28.76707667643025,3.0200000000000164,17.000000000000092,77.10000000000039,6.1000000000000325,4.470000000000023,99010216.00000052
2022-04-28,87108.52570329864,18.84484744618897,17.869193954523485,1337.13890261542,0.04453234288995846,0.021037060163531435,850.6958055968812,0.3783670364871682,1073.74989762583,33384.98379049695,0.019846217376826743,28.742797003121048,3.0200000000000164,17.000000000000092,77.10000000000039,6.1000000000000325,4.470000000000023,99010216.00000052
