date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_tests,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,handwashing_facilities,hospital_beds_per_thousand,population
2020-08-21,8959.203260276156,210.53761179764456,213.94706914023922,242.96121070106136,5.652145452665614,6.097483138663698,101663.20952896311,0.9463494775308979,995.5085243352318,991.082872628047,0.22151995078186945,4.543223197867556,0.0,106.00000000000054,106.00000000000054,0.0,50.26764699628525,23.000000000000124,17.700000000000088,2.480000000000013,3689.2500000000196,57.50000000000031,234.50000000000125,13.940000000000074,2.00000000000001,20017670.000000104
2020-08-22,9168.296288128915,209.0930278527586,212.5968774854318,248.2715382778972,5.310327576894174,5.9651013649867926,102666.35599934045,0.9380959801585174,1003.1464708209146,991.920961840138,0.21867438454729443,4.609220889027694,0.0,106.00000000000054,106.00000000000054,0.0,50.148076229760875,23.000000000000124,17.700000000000088,2.480000000000013,3689.2500000000196,57.50000000000031,234.50000000000125,13.940000000000074,2.00000000000001,20017670.000000104
2020-08-23,9375.757170847832,207.46088271891637,211.4162610552506,253.19335959077623,4.921821312922737,5.772533037314762,103678.66341191661,0.9295621273296197,1011.4622448416085,994.8915293956187,0.2150263120045241,4.700487095342206,0.0,106.00000000000054,106.00000000000054,0.0,50.00695600877839,23.000000000000124,17.700000000000088,2.480000000000013,3689.2500000000196,57.50000000000031,234.50000000000125,13.940000000000074,2.00000000000001,20017670.000000104
2020-08-24,9582.515922738345,206.7587518905127,210.29967898471554,257.7212801972842,4.527920606540796,5.5237396293112235,104701.18619015934,0.920789727365348,1020.1787133661787,999.8842740667542,0.21064481480494474,4.81892220579884,0.0,106.00000000000054,106.00000000000054,0.0,49.836895093203125,23.000000000000124,17.700000000000088,2.480000000000013,3689.2500000000196,57.50000000000031,234.50000000000125,13.940000000000074,2.00000000000001,20017670.000000104
2020-08-25,9788.369117231538,205.85319449319186,209.18184117131005,261.81995174460224,4.098671547342576,5.219215678673793,105733.70503531519,0.9118645967521959,1029.3850046432522,1006.3461725830341,0.20560610625561576,4.966295726747328,0.0,106.00000000000054,106.00000000000054,0.0,49.63183130697416,23.000000000000124,17.700000000000088,2.480000000000013,3689.2500000000196,57.50000000000031,234.50000000000125,13.940000000000074,2.00000000000001,20017670.000000104
2020-08-26,9992.470745486693,204.101628255156,207.94060453717708,265.46569102241455,3.6457392778307876,4.865682282599403,106774.05825289249,0.9029201023799207,1037.9596649239402,1013.8239151515628,0.19999465726120141,5.1419858545304455,0.0,106.00000000000054,106.00000000000054,0.0,49.387445878420735,23.000000000000124,17.700000000000088,2.480000000000013,3689.2500000000196,57.50000000000031,234.50000000000125,13.940000000000074,2.00000000000001,20017670.000000104
2020-08-27,10193.662545217168,201.1917997304752,206.42983850307704,268.6537446727583,3.188053650357579,4.474344614341283,107821.17660822156,0.8941008718722074,1047.4096646593432,1021.8800727566922,0.19388820367634732,5.349458039895903,0.0,106.00000000000054,106.00000000000054,0.0,49.10147419549952,23.000000000000124,17.700000000000088,2.480000000000013,3689.2500000000196,57.50000000000031,234.50000000000125,13.940000000000074,2.00000000000001,20017670.000000104
2020-08-28,10390.721747309788,197.05920209262072,204.50407409385622,271.4037377224101,2.7499930496621743,4.0595850606266835,108874.77204084635,0.8855811484096513,1058.625865171949,1030.1937488144501,0.1873427849485988,5.589929664375717,0.0,106.00000000000054,106.00000000000054,0.0,48.77393887222264,23.000000000000124,17.700000000000088,2.480000000000013,3689.2500000000196,57.50000000000031,234.50000000000125,13.940000000000074,2.00000000000001,20017670.000000104
2020-08-29,10582.546885789403,191.82513847961445,202.03699076754822,273.7637599821764,2.3600222597741047,3.6379830747201773,109935.99198312362,0.8775270054572073,1072.9248287432167,1038.5087085080595,0.18046394068300717,5.86306780419647,0.0,106.00000000000054,106.00000000000054,0.0,48.40732454847861,23.000000000000124,17.700000000000088,2.480000000000013,3689.2500000000196,57.50000000000031,234.50000000000125,13.940000000000074,2.00000000000001,20017670.000000104
2020-08-30,10768.297155292294,185.75026950289143,198.9352815371999,275.8134308463612,2.049670864190632,3.2275800662211314,111004.882222637,0.8700895010224476,1088.9145168386035,1046.6124622149182,0.17331191802033574,6.168205830522929,0.0,106.00000000000054,106.00000000000054,0.0,48.00670898989813,23.000000000000124,17.700000000000088,2.480000000000013,3689.2500000000196,57.50000000000031,234.50000000000125,13.940000000000074,2.00000000000001,20017670.000000104
