date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,median_age,aged_65_older,diabetes_prevalence,population
2020-03-14,3.0016480675804114,0.2669581081036735,0.10775589094941965,2.0000000000000093,0.0,0.0,0.7000000000000033,0.1400000000000007,185.00000000000088,0.040000000000000195,32.700000000000166,7.780000000000038,22.630000000000106,306292.0000000014
2020-03-15,3.1844939692373497,0.37125930505965654,0.15545832092699724,2.0000000000000098,0.0,0.0,0.7000000000000034,0.14000000000000073,185.0000000000009,0.0400000000000002,32.70000000000017,7.78000000000004,22.63000000000011,306292.00000000146
2020-03-16,3.4543691841031956,0.46853820859435563,0.21666549247288258,2.00000000000001,0.0,0.0,0.7000000000000035,0.14000000000000073,185.00000000000094,0.04000000000000021,32.70000000000017,7.780000000000041,22.630000000000113,306292.0000000015
2020-03-17,3.8252145092797303,0.5778257637502282,0.29250736111290443,2.00000000000001,0.0,0.0,0.7000000000000035,0.14000000000000073,185.00000000000097,0.040000000000000216,32.70000000000017,7.780000000000042,22.630000000000116,306292.0000000016
2020-03-18,4.31895936289064,0.7049271767234677,0.3832924471436644,2.00000000000001,0.0,0.0,0.7000000000000035,0.14000000000000073,185.000000000001,0.040000000000000216,32.70000000000017,7.780000000000042,22.63000000000012,306292.0000000016
2020-03-19,4.958353329537091,0.8495098621806116,0.48845947756847985,2.00000000000001,0.0,0.0,0.7000000000000035,0.14000000000000073,185.000000000001,0.040000000000000216,32.70000000000017,7.780000000000042,22.63000000000012,306292.0000000016
2020-03-20,5.761589819389416,1.0066378911409553,0.6065411175493411,2.00000000000001,0.0,0.0,0.7000000000000035,0.14000000000000073,185.000000000001,0.040000000000000216,32.70000000000017,7.780000000000042,22.63000000000012,306292.0000000016
2020-03-21,6.738273812505876,1.1679228268883626,0.7351367689958794,2.00000000000001,0.0,0.0,0.7000000000000035,0.14000000000000073,185.000000000001,0.040000000000000216,32.70000000000017,7.780000000000042,22.63000000000012,306292.0000000016
2020-03-22,7.88639766707173,1.3223868519051238,0.8708921695070924,2.00000000000001,0.0,0.0,0.7000000000000035,0.14000000000000073,185.000000000001,0.040000000000000216,32.70000000000017,7.780000000000042,22.63000000000012,306292.0000000016
2020-03-23,9.202678017595348,1.4697151550891556,1.0138076209894034,2.00000000000001,0.0,0.0,0.7000000000000035,0.14000000000000073,185.000000000001,0.040000000000000216,32.70000000000017,7.780000000000042,22.63000000000012,306292.0000000016
2020-03-24,10.691682074928917,1.6189638065237215,1.162447183098228,2.00000000000001,0.0,0.0,0.7000000000000035,0.14000000000000073,185.000000000001,0.040000000000000216,32.70000000000017,7.780000000000042,22.63000000000012,306292.0000000016
2020-03-25,12.343826197437823,1.7573708833349402,1.3127191946927748,2.00000000000001,0.0,0.0,0.7000000000000035,0.14000000000000073,185.000000000001,0.040000000000000216,32.70000000000017,7.780000000000042,22.63000000000012,306292.0000000016
2020-03-26,14.137782382402893,1.8747185309562826,1.4591171271120207,2.00000000000001,0.0,0.0,0.7000000000000035,0.14000000000000073,185.000000000001,0.040000000000000216,32.70000000000017,7.780000000000042,22.63000000000012,306292.0000000016
2020-03-27,16.042283134572077,1.9626969460517334,1.5956502241316914,2.00000000000001,0.0,0.0,0.7000000000000035,0.14000000000000073,185.000000000001,0.040000000000000216,32.70000000000017,7.780000000000042,22.63000000000012,306292.0000000016
