date,total_cases,new_cases,total_deaths,new_deaths,icu_patients,hosp_patients,total_boosters_per_hundred,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,population
2020-03-11,0.0,0.0,0.0,0.0,1494.0000000000057,1570.0285575998685,1.530000000000006,3.460000000000013,140441.00000000058,140441.00000000058,0.21000000000000082,56550000.00000022
2020-03-12,0.0,0.0,0.0,0.0,1494.0000000000064,1566.875636040886,1.5300000000000065,3.460000000000014,140441.00000000064,140441.00000000064,0.2100000000000009,56550000.00000024
2020-03-13,0.0,0.0,0.0,0.0,1494.0000000000068,1566.4535272892317,1.530000000000007,3.460000000000015,140441.00000000067,140441.00000000067,0.210000000000001,56550000.00000025
2020-03-14,0.0,0.0,0.0,0.0,1494.000000000007,1571.2170362232287,1.5300000000000074,3.460000000000016,140441.0000000007,140441.0000000007,0.21000000000000105,56550000.00000027
2020-03-15,0.0,0.0,0.0,0.0,1494.0000000000073,1585.2191928106042,1.5300000000000078,3.460000000000017,140441.00000000073,140441.00000000073,0.21000000000000107,56550000.00000028
2020-03-16,0.0,0.0,0.0,0.0,1494.0000000000075,1613.3317831018146,1.5300000000000078,3.4600000000000173,140441.00000000076,140441.00000000076,0.2100000000000011,56550000.00000028
2020-03-17,0.0,0.0,0.0,0.0,1494.0000000000077,1660.9904178047086,1.5300000000000078,3.4600000000000177,140441.00000000076,140441.00000000076,0.21000000000000113,56550000.00000028
2020-03-18,0.0,0.0,0.0,0.0,1494.000000000008,1734.6063880141674,1.5300000000000078,3.4600000000000177,140441.00000000076,140441.00000000076,0.21000000000000116,56550000.00000028
2020-03-19,0.0,0.0,0.0,0.0,1494.000000000008,1841.8540314760453,1.5300000000000078,3.4600000000000177,140441.00000000076,140441.00000000076,0.21000000000000116,56550000.00000028
2020-03-20,0.0,0.0,0.0,0.0,1494.000000000008,1991.8033710537084,1.5300000000000078,3.4600000000000177,140441.00000000076,140441.00000000076,0.21000000000000116,56550000.00000028
2020-03-21,0.0,0.0,0.0,0.0,1493.629411764714,2191.1626284842087,1.5300000000000078,3.4600000000000177,140441.00000000076,140441.00000000076,0.21000000000000116,56550000.00000028
2020-03-22,0.0,0.0,0.0,0.0,1492.7149159663945,2445.0385841621264,1.5300000000000078,3.4600000000000177,140441.00000000076,140441.00000000076,0.21000000000000116,56550000.00000028
2020-03-23,0.0,0.0,0.0,0.0,1491.372709276026,2758.874946524961,1.5300000000000078,3.4600000000000177,140441.00000000076,140441.00000000076,0.21000000000000116,56550000.00000028
2020-03-24,0.0,0.0,0.0,0.0,1489.9916360294199,3138.436736719842,1.5300000000000078,3.4600000000000177,140441.00000000076,140441.00000000076,0.21000000000000116,56550000.00000028
2020-03-25,0.0,0.0,0.0,0.0,1489.1913191358353,3587.9154323071793,1.5300000000000078,3.4600000000000177,140441.00000000076,140441.00000000076,0.21000000000000116,56550000.00000028
2020-03-26,0.0,0.0,0.0,0.0,1490.008518440437,4109.856677656378,1.5300000000000078,3.4600000000000177,140441.00000000076,140441.00000000076,0.21000000000000116,56550000.00000028
2020-03-27,0.0,0.0,0.0,0.0,1493.8593784877312,4704.685478507322,1.5300000000000078,3.4600000000000177,140441.00000000076,140441.00000000076,0.21000000000000116,56550000.00000028
2020-03-28,0.0,0.0,0.0,0.0,1501.8921098192586,5370.464238162984,1.5300000000000078,3.4600000000000177,140441.00000000076,140441.00000000076,0.21000000000000116,56550000.00000028
2020-03-29,0.0,0.0,0.0,0.0,1515.4604365984474,6102.768669895682,1.5300000000000078,3.4600000000000177,140441.00000000076,140441.00000000076,0.21000000000000116,56550000.00000028
2020-03-30,0.0,0.0,0.0,0.0,1535.9417560202664,6893.537442951832,1.5300000000000078,3.4600000000000177,140441.00000000076,140441.00000000076,0.21000000000000116,56550000.00000028
2020-03-31,0.0,0.0,0.0,0.0,1564.5579815271608,7733.338457133087,1.5300000000000078,3.4600000000000177,140441.00000000076,140441.00000000076,0.21000000000000116,56550000.00000028
2020-04-01,0.0,0.0,0.0,0.0,1602.1984635209385,8610.799915894433,1.5300000000000078,3.4600000000000177,140441.00000000076,140441.00000000076,0.21000000000000116,56550000.00000028
2020-04-02,0.0,0.0,0.0,0.0,1649.229810795199,9513.185635046246,1.5300000000000078,3.4600000000000177,140441.00000000076,140441.00000000076,0.21000000000000116,56550000.00000028
2020-04-03,0.0,0.0,0.0,0.0,1705.4143264221937,10424.450845547792,1.5300000000000078,3.4600000000000177,140441.00000000076,140441.00000000076,0.21000000000000116,56550000.00000028
2020-04-04,0.0,0.0,0.0,0.0,1770.2653343447669,11328.55652459396,1.5300000000000078,3.4600000000000177,140441.00000000076,140441.00000000076,0.21000000000000116,56550000.00000028
2020-04-05,0.0,0.0,0.0,0.0,1842.8989845982676,12210.127509799724,1.5300000000000078,3.4600000000000177,140441.00000000076,140441.00000000076,0.21000000000000116,56550000.00000028
2020-04-06,0.0,0.0,0.0,0.0,1922.1254989529052,13054.407251612904,1.5300000000000078,3.4600000000000177,140441.00000000076,140441.00000000076,0.21000000000000116,56550000.00000028
2020-04-07,0.0,0.0,0.0,0.0,2006.4205463219864,13847.504614533877,1.5300000000000078,3.4600000000000177,140441.00000000076,140441.00000000076,0.21000000000000116,56550000.00000028
2020-04-08,0.0,0.0,0.0,0.0,2094.100509935417,14576.732872665136,1.5300000000000078,3.4600000000000177,140441.00000000076,140441.00000000076,0.21000000000000116,56550000.00000028
2020-04-09,0.0,0.0,0.0,0.0,2183.225414772187,15232.486338403207,1.5300000000000078,3.4600000000000177,140441.00000000076,140441.00000000076,0.21000000000000116,56550000.00000028
2020-04-10,0.0,0.0,0.0,0.0,2271.4948690946576,15807.699853996353,1.5300000000000078,3.4600000000000177,140441.00000000076,140441.00000000076,0.21000000000000116,56550000.00000028
2020-04-11,0.0,0.0,0.0,0.0,2356.7236405087797,16298.218927342798,1.5300000000000078,3.4600000000000177,140441.00000000076,140441.00000000076,0.21000000000000116,56550000.00000028
2020-04-12,0.0,0.0,0.0,0.0,2436.767051648557,16701.0901004845,1.5300000000000078,3.4600000000000177,140441.00000000076,140441.00000000076,0.21000000000000116,56550000.00000028
2020-04-13,0.0,0.0,0.0,0.0,2509.573010132672,17015.61109507898,1.5300000000000078,3.4600000000000177,140441.00000000076,140441.00000000076,0.21000000000000116,56550000.00000028
2020-04-14,0.0,0.0,0.0,0.0,2573.312385265959,17243.002584399113,1.5300000000000078,3.4600000000000177,140441.00000000076,140441.00000000076,0.21000000000000116,56550000.00000028
2020-04-15,0.0,0.0,0.0,0.0,2626.4507886262672,17386.779701712418,1.5300000000000078,3.4600000000000177,140441.00000000076,140441.00000000076,0.21000000000000116,56550000.00000028
2020-04-16,0.0,0.0,0.0,0.0,2667.839351973906,17451.371961158286,1.5300000000000078,3.4600000000000177,140441.00000000076,140441.00000000076,0.21000000000000116,56550000.00000028
2020-04-17,0.0,0.0,0.0,0.0,2696.9339580657597,17442.68907106266,1.5300000000000078,3.4600000000000177,140441.00000000076,140441.00000000076,0.21000000000000116,56550000.00000028
2020-04-18,0.0,0.0,0.0,0.0,2713.84211366891,17369.51804764091,1.5300000000000078,3.4600000000000177,140441.00000000076,140441.00000000076,0.21000000000000116,56550000.00000028
