date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,reproduction_rate,total_vaccinations_per_hundred,new_tests,new_tests_smoothed,people_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,diabetes_prevalence,hospital_beds_per_thousand,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality
2021-08-11,2527.618489265444,2.484507025722965,2.4870749068998923,26.000000000000135,2.7536685565591876e-22,6.912492349733023e-22,492.5471466632151,1.339761345657828,42.644869130430585,4218.420736412236,5598.993015329074,26.679685533876167,0.010000000000000054,39408.765792792554,38453.80170775545,0.5256559108104495,24.569806515319602,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.714347618864619
2021-08-12,2530.4139800712587,2.79549080581453,2.48819903731778,26.000000000000135,2.0652514174193907e-22,5.184369262299767e-22,493.09148540141973,1.3960702012278592,43.40627612060904,4536.974165754562,5505.7662708697935,27.20903144193916,0.010000000000000054,39481.00955791057,38818.17282251024,0.5285685329785554,26.604126056496213,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.7057858780601837
2021-08-13,2533.70712370891,3.2931436376511427,2.5913307582727603,26.000000000000135,1.548938563064543e-22,3.8882769467248255e-22,493.7327732301217,1.454063478328783,44.16908136324288,5087.886064953724,5472.963051568642,27.73657416322558,0.010000000000000054,39553.59415938321,39094.84212496289,0.5299011896498838,29.261177929573243,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.6944998573400413
2021-08-14,2537.667737739669,3.9606140307593733,2.8082611585559,26.000000000000135,1.1617039222984072e-22,2.916207710043619e-22,494.5041292115384,1.512807628138962,44.93482184984012,5915.954286918278,5543.390210460587,28.263718599148376,0.010000000000000054,39706.3136059628,39308.11048835699,0.5301514901688938,32.53133205739331,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.6805189814096245
2021-08-15,2542.430215069461,4.76247732979223,3.143562384754034,26.000000000000135,8.712779417238054e-23,2.187155782532714e-22,495.43177111679927,1.5712343571740366,45.706788817890825,7043.844401894174,5764.438278401363,28.793303978449885,0.010000000000000054,40030.03657809853,39499.85321209844,0.5300531780662315,36.365465429599666,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.6641111863758082
2021-08-16,2547.541358781091,5.111143711629895,3.5370672313580336,26.000000000000135,6.534584562928541e-23,1.6403668368995355e-22,496.42741334083223,1.6282001699490496,46.49006026241625,8489.919942230817,6182.252900785517,29.329550543630603,0.010000000000000054,40616.915992074275,39724.73969898985,0.5305343890441798,40.672863778082174,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.6457609992871975
2021-08-17,2553.1305989177545,5.589240136663606,3.999715097080265,26.000000000000135,4.900938422196405e-23,1.2302751276746517e-22,497.5162906132526,1.6824573349601737,47.29051384581032,10242.465331592333,6835.8904351237325,29.877367820457323,0.010000000000000054,41508.548419395134,40043.575798806116,0.5325935842847517,45.31964783356172,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.6261530977893439
2021-08-18,2559.646171554189,6.515572636434368,4.5758457927520295,26.000000000000135,3.675703816647304e-23,9.227063457559888e-23,498.7857581991127,1.7327049921703592,48.11494857117099,12248.60977223446,7751.725260085541,30.44231691253114,0.010000000000000054,42752.33334104932,40521.2267424466,0.5372637079291431,50.22097116928903,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.6057998358085337
2021-08-19,2567.687505200875,8.041333646685846,5.325545947666812,26.000000000000135,2.756777862485478e-23,6.920297593169916e-23,500.35262860408636,1.7776998818136156,48.96945237860456,14417.385706680723,8936.605483525711,31.029403165975644,0.010000000000000054,44311.641392341684,41211.31478857386,0.5453862101646991,55.32876199041225,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.5850614537948686
2021-08-20,2577.879510607189,10.192005406313697,6.31140881433771,26.000000000000135,2.0675833968641082e-23,5.190223194877437e-23,502.3386741033563,1.816364439479154,49.858728747431186,16659.005521122403,10377.541507602287,31.642604410680875,0.010000000000000054,46114.64870747547,42148.60661502451,0.5575152555550055,60.54112288259597,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.5644733612545155
2021-08-21,2590.778298113766,12.898787506577577,7.588604122065515,26.000000000000135,1.5506875476480812e-23,3.892667396158078e-23,504.8522536382807,1.8477563612835763,50.78754316690831,18895.67224577612,12043.518541820033,32.28587977859894,0.010000000000000054,48165.46041554527,43357.05455726069,0.5740155625453758,65.72775877474606,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.5446421665683691
2021-08-22,2606.8004656667763,16.022167553010142,9.197430467114767,26.000000000000135,1.1630156607360609e-23,2.919500547118559e-23,507.97453298889224,1.8709202121391555,51.7609243435071,21062.75496002702,13890.196081542814,32.96316678288267,0.010000000000000054,50476.20340797448,44849.3637363037,0.5950475477978499,70.7490479110532,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.526164005570843
2021-08-23,2625.988552223583,19.188086556806773,11.208691790219746,25.998739495798453,8.722617455520456e-24,2.189625410338919e-23,511.71379276041586,1.8849230291754746,52.78388249486376,23093.791401015784,15858.407920885647,33.67827731728487,0.010000000000000054,53046.7902256642,46625.060342628625,0.6205511747462552,75.47034508002564,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.5095595941987565
2021-08-24,2648.638699235564,22.65014701198134,13.646196767680998,25.996323529411903,6.5419630916403425e-24,1.6422190577541894e-23,516.1277362962337,1.888991722431059,53.8601964542119,24916.853149986186,17876.234205046945,34.43397834995465,0.010000000000000054,55813.01480887331,48668.55593893664,0.6502225277953098,79.7727090362637,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.49526384099951587
