date,total_cases,new_cases,total_deaths,new_deaths,new_tests_smoothed,total_boosters_per_hundred,total_boosters,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_65_older,median_age,diabetes_prevalence,life_expectancy,population
2020-03-22,0.0,0.0,0.0,0.0,2120.150586025899,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,50.13638305293536,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-03-23,0.0,0.0,0.0,0.0,2122.2375031910497,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,50.58345842738744,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-03-24,0.0,0.0,0.0,0.0,2123.8577330817197,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,51.12946098279018,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-03-25,0.0,0.0,0.0,0.0,2125.2181866891206,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,51.7762468359938,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-03-26,0.0,0.0,0.0,0.0,2126.5201041409546,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,52.51989294858561,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-03-27,0.0,0.0,0.0,0.0,2127.947220962862,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,53.35049679611931,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-03-28,0.0,0.0,0.0,0.0,2129.656892774509,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,54.2520261200372,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-03-29,0.0,0.0,0.0,0.0,2131.773438811654,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,55.20220624161169,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-03-30,0.0,0.0,0.0,0.0,2134.3831495676964,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,56.186439749082155,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-03-31,0.0,0.0,0.0,0.0,2137.530542524838,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,57.196037471798775,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-04-01,0.0,0.0,0.0,0.0,2141.215553952455,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,58.21468291962163,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-04-02,0.0,0.0,0.0,0.0,2145.4065588062963,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,59.2222848141507,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-04-03,0.0,0.0,0.0,0.0,2150.0520748901163,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,60.19786648714834,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-04-04,0.0,0.0,0.0,0.0,2155.0770328967433,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,61.12173292935617,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-04-05,0.0,0.0,0.0,0.0,2160.384956314448,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,61.97709607710772,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
