date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_vaccinated_per_hundred,reproduction_rate,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,hospital_beds_per_thousand,population
2020-03-11,0.9937196994182327,0.03350970709639839,0.013659995536459048,1.0000000000000038,0.03611353708993428,0.014539237617907019,0.09000000000000033,1.420000000000005,1659.0000000000064,0.0,12.002865336877377,19.700000000000074,0.8000000000000032,46874200.000000186
2020-03-12,0.9923809187136435,0.04298942317944175,0.01975178398266108,1.0000000000000042,0.04432820388403129,0.020818455362751585,0.09000000000000039,1.4200000000000057,1659.000000000007,0.0,14.475685860596503,19.70000000000008,0.8000000000000034,46874200.00000021
2020-03-13,0.9939624828296748,0.05347671508981737,0.02693148504581941,1.0000000000000044,0.05189515097378634,0.027776737449665564,0.09000000000000041,1.4200000000000064,1659.0000000000075,0.0,17.281445390922528,19.700000000000088,0.8000000000000036,46874200.00000022
2020-03-14,1.0001098711720313,0.06439648266513304,0.03502214319612934,1.0000000000000047,0.058249094322776834,0.03500676123204563,0.09000000000000044,1.4200000000000068,1659.000000000008,0.0,20.361185368337377,19.700000000000095,0.8000000000000038,46874200.00000023
2020-03-15,1.0122995979491607,0.07499419457803544,0.043766607397097104,1.0000000000000049,0.06280446780090626,0.042044663684215305,0.09000000000000047,1.420000000000007,1659.0000000000082,0.0,23.68564241991824,19.7000000000001,0.800000000000004,46874200.00000024
2020-03-16,1.0279383377637465,0.0818597377240891,0.05263587991757084,1.000000000000005,0.06622099790950334,0.048560647084428546,0.09000000000000047,1.4200000000000073,1659.0000000000084,0.0,27.234058091603245,19.700000000000102,0.800000000000004,46874200.000000246
2020-03-17,1.0481515555206136,0.08920669728143155,0.06156724607263203,1.000000000000005,0.06899347952456458,0.05434808712327627,0.09000000000000047,1.4200000000000075,1659.0000000000086,0.0,30.966280963660473,19.700000000000102,0.800000000000004,46874200.00000025
2020-03-18,1.076207396440074,0.09844994862364655,0.07064699240838496,1.000000000000005,0.0703941077041863,0.059161517831145094,0.09000000000000047,1.4200000000000077,1659.0000000000086,0.0,34.830218318091255,19.700000000000102,0.800000000000004,46874200.00000026
2020-03-19,1.1163346035679371,0.1101658389725832,0.08004891592878402,1.000000000000005,0.07003863184472031,0.06277159086204671,0.09000000000000047,1.4200000000000077,1659.0000000000086,0.0,38.75575423630607,19.700000000000102,0.800000000000004,46874200.00000026
2020-03-20,1.1728359559080168,0.1243018194362896,0.0899882060157543,1.000000000000005,0.06780046709621,0.0650062949564899,0.09000000000000047,1.4200000000000077,1659.0000000000086,0.0,42.6641923740622,19.700000000000102,0.800000000000004,46874200.00000026
