date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,population
2020-12-04,15394448.19918691,191928.97282025116,186831.7683983888,424045.4621972432,2573.045065414608,2430.098977243983,0.010000000000000054,0.00982668067226896,4007.104464285734,4475.949727294787,0.0,600323657.0000031
2020-12-05,15588957.148339786,194508.94915300378,188568.3059285592,426680.8814087604,2635.4192386213995,2477.688162635641,0.010000000000000054,0.009539532159017504,3185.8277502828187,4126.526548864758,0.0,600323657.0000031
2020-12-06,15786261.515666626,197304.367326938,190440.15378578618,429379.619653856,2698.7382654237135,2527.53544776859,0.010000000000000054,0.009162244465093778,2748.406785562791,3820.0780564449515,0.0,600323657.0000031
2020-12-07,15986076.568682766,199815.0530162122,192511.18118549377,432131.22723231243,2751.607593702566,2579.969391579517,0.010000000000000054,0.008875400220184274,3338.3581757913603,3815.9563768521393,0.0,600323657.0000031
2020-12-08,16188610.581554115,202534.01287140313,194808.32247864874,434938.8548295356,2807.6276086576654,2635.154481144241,0.010000000000000054,0.008854675569145973,5011.119359057493,4324.236545728962,1.4544279250157247e-06,600323657.0000031
2020-12-09,16394166.661488816,205556.07993474204,197334.4891387218,437808.07142273406,2869.2166017744426,2692.982863282231,0.010000000000000054,0.009314891615450311,7949.072680249828,5545.248336898541,0.00012649482870071092,600323657.0000031
2020-12-10,16603022.397942752,208855.73645396568,200071.88423510175,440744.3012399665,2936.229823664385,2753.123706285207,0.010000000000000054,0.010493925660521168,12346.52587411759,7694.166650217556,0.00041322923400129386,600323657.0000031
2020-12-11,16815339.59952367,212317.20158094,202984.48828815596,443750.9014794261,3006.6002442835224,2815.0602212135864,0.010000000000000054,0.01278689544125386,19111.516335129287,11104.635572666424,0.0009193272260827443,600323657.0000031
2020-12-12,17031096.59666928,215756.99714562774,206019.9236605258,446827.7205989044,3076.819123096292,2878.117427868824,0.010000000000000054,0.016694082376027694,28958.043893234564,16191.84775254446,0.0017200384059874027,600323657.0000031
2020-12-13,17250037.468655832,218940.87198656437,209110.85285059825,449970.01703288936,3142.296436698436,2941.482979272663,0.010000000000000054,0.022718202376720238,41820.20693414711,23254.323177045764,0.0028835970009999335,600323657.0000031
2020-12-14,17471783.95629151,221746.48763568958,212243.91491849197,453165.3175581195,3195.3005272652667,3004.867792631619,0.010000000000000054,0.0313088521703877,57394.08068541978,32445.689102241413,0.004441786309250286,600323657.0000031
2020-12-15,17696335.114293642,224551.1580021392,215389.22137422804,456414.20090291474,3248.8833463216115,3067.9044456372612,0.010000000000000054,0.04272937668435196,74438.95101180256,43727.23541103798,0.006379982265874383,600323657.0000031
2020-12-16,17923521.927219935,227186.81292629766,218479.32611858344,459717.428036592,3303.227134822015,3129.906083581538,0.010000000000000054,0.057065132060775424,92036.48507527099,56917.23119628767,0.008652795361332117,600323657.0000031
2020-12-17,18153026.86175305,229504.93453312048,221429.2116004117,463074.7201386276,3357.2921028941505,3190.057990449571,0.010000000000000054,0.07433278569716545,109754.31210962089,71787.13087943956,0.011219396133151666,600323657.0000031
2020-12-18,18384398.53091404,231371.66916099133,224151.2784346336,466483.8420755293,3409.121937545537,3247.5612672392517,0.010000000000000054,0.09468268558832356,128316.3014868701,88118.45316927604,0.014034294999023447,600323657.0000031
2020-12-19,18617062.6922224,232664.16130836503,226566.5876157299,469939.9150084899,3456.072933443579,3301.7405907009365,0.010000000000000054,0.11842959660882535,148690.61695225694,105740.8679474162,0.017066768437373633,600323657.0000031
2020-12-20,18850330.49631615,233267.80409374984,228613.2921778611,473434.90084912826,3494.9858410005954,3352.125032392223,0.010000000000000054,0.1458674463253976,170778.48933022405,124456.38189139628,0.020281330368107836,600323657.0000031
