date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,total_vaccinations_per_hundred,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,population
2021-08-16,86099609.31603144,244734.35477269994,231832.92315377717,1647379.2093163426,1311.2119775116898,1189.582037855633,0.28691592027079554,105.29252355159696,58.9008790158214,6137790.271487547,6210633.883904524,0.22198918976110085,1250514600.0000064
2021-08-17,86348088.13044645,248478.81441501336,236070.4045251587,1648727.6141462766,1348.404829934028,1228.8745956186174,0.3017973151222956,105.78478681366555,59.11791604919645,6136978.813812824,6182740.020992396,0.22041335321287508,1250514600.0000064
2021-08-18,86600551.01097329,252462.88052683894,240314.21699681054,1650118.761239962,1391.1470936851708,1269.6322419628336,0.31774924684592387,106.27730762802565,59.33457278350376,6144828.500259433,6164122.32535969,0.21912934264074904,1250514600.0000064
2021-08-19,86857223.37028569,256672.3593123888,244537.09618894634,1651559.039223445,1440.2779834830142,1312.0196619181518,0.334692025632181,106.77063553679184,59.551056284460486,6160750.008678746,6154578.746670066,0.2181524368448155,1250514600.0000064
2021-08-20,87118206.34254956,260982.97226386535,248709.33807577603,1653053.8051771205,1494.7659536756114,1356.1464608859333,0.3525636216805035,107.26526058924563,59.76755223273782,6183424.682333244,6153561.930671595,0.21746710720697973,1250514600.0000064
2021-08-21,87383394.21988901,265187.8773394637,252802.30932525516,1654605.981565454,1552.1763883336341,1402.0307907193971,0.37131153332566585,107.76143154406753,59.98412345057155,6208484.792325249,6159897.121662399,0.21705669756748464,1250514600.0000064
2021-08-22,87652412.5297359,269018.3098468735,256791.08005389647,1656215.003934274,1609.0223688197175,1449.572069283894,0.3909135142476437,108.25901499612449,60.2006887417749,6232057.963652478,6172044.525361222,0.21686799182461186,1250514600.0000064
2021-08-23,87924473.4638502,272060.93411430874,260694.877262627,1657870.5510114706,1655.5470771965618,1498.7629949170275,0.4113221751168905,108.75755019344129,60.41705921955039,6250141.375244215,6188094.623125644,0.21681098094021095,1250514600.0000064
2021-08-24,88199563.24129437,275089.77744416764,264496.44357851555,1659574.840908896,1704.2898974255427,1549.6038787023172,0.4324859752290713,109.25651720228862,60.63298074304038,6260788.13036659,6205781.628607979,0.21677129323586308,1250514600.0000064
2021-08-25,88477670.05044407,278106.8091497066,268159.86212975,1661332.0348671945,1757.193958298636,1601.8964019162038,0.4543429882091345,109.75527849641605,60.84808332715755,6263394.843330866,6222719.678081719,0.2166442423897289,1250514600.0000064
2021-08-26,88758723.86305942,281053.8126153508,271642.92707161803,1663146.137543417,1814.1026762223637,1655.299992936832,0.4768315785841302,110.25314633191142,61.06196731114071,6256575.821024338,6236409.118370606,0.21632464914847022,1250514600.0000064
2021-08-27,89042551.29483832,283827.431778902,274906.4214809925,1665019.4222267312,1873.2846833141575,1709.3741099256388,0.49986431095813727,110.74928654272817,61.27422338251529,6238213.605651908,6244236.185416618,0.21572393288591662,1250514600.0000064
2021-08-28,89328841.75083151,286290.45599319437,277921.075777196,1666951.249750206,1931.827523474632,1763.6099528385434,0.5233578324429089,111.24276193354919,61.4844782996532,6205956.079642947,6243875.0499060415,0.21478293027206544,1250514600.0000064
2021-08-29,89617122.03450385,288280.2836723364,280672.7865376485,1668937.1826746478,1985.9329244417881,1817.45424743434,0.547280494564891,111.73256579405344,61.6924236891873,6160536.161138166,6233657.773628635,0.21346938904212306,1250514600.0000064
2021-08-30,89907031.42932016,289909.3948163083,283222.5668785115,1670965.0927752187,2027.9101005711632,1870.648864793599,0.5715797956166233,112.21792854722091,61.89795399830621,6105065.520498106,6212932.780884057,0.21180081359801145,1250514600.0000064
2021-08-31,90198415.48465993,291384.05533976876,285550.32113028027,1673035.3306673893,2070.2378921704567,1922.9270222215757,0.5962136120647632,112.69829708914887,62.101044037837696,6043099.678156394,6181834.558432929,0.2098380051564921,1250514600.0000064
2021-09-01,90490932.09591267,292516.6112527262,287608.8645697533,1675149.3815978293,2114.050930440063,1973.9064421671542,0.6211509976717149,113.17337149171637,62.30175426302606,5977934.88552422,6141054.678391609,0.20764337135282507,1250514600.0000064
2021-09-02,90784123.5456418,293191.4497291378,289342.81300892495,1677308.4652707726,2159.0836729431726,2023.1892844372628,0.6463645410786094,113.64294749402984,62.50021873540797,5910648.440613761,6091636.571156353,0.20530896678223381,1250514600.0000064
2021-09-03,91077470.53445771,293346.98881592293,290702.7499866553,1679512.4857177876,2204.020447015075,2070.437095357685,0.6718168770436057,114.10687367805323,62.6966076520732,5841693.7236406775,6034990.923147492,0.20291498300522764,1250514600.0000064
2021-09-04,91370432.70417245,292962.1697147222,291655.8521624224,1681759.243700108,2246.757982320133,2115.4270196436705,0.6974416816999647,114.5650518325543,62.89108178947515,5771000.367229546,5972854.402751707,0.2005327143062804,1250514600.0000064
