date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_tests,total_boosters_per_hundred,reproduction_rate,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_65_older,median_age,cardiovasc_death_rate,population
2020-07-24,40.123640498472255,0.7659616784216476,0.7589532297026165,2.00000000000001,1.7249469796311065e-13,4.484754922766054e-13,123837.00000000067,8.550000000000045,1.4100000000000068,956.0000000000052,0.0,215.90000000000117,0.1000000000000005,208.00000000000108,0.05000000000000025,69.44716275990848,3.850000000000021,25.000000000000135,176.9600000000009,405285.0000000022
2020-07-25,40.881127271074675,0.7574867727141036,0.7596027697236344,2.00000000000001,1.2937102347233299e-13,3.3635661920745406e-13,123837.00000000067,8.550000000000045,1.4100000000000068,956.0000000000052,0.0,215.90000000000117,0.1000000000000005,208.00000000000108,0.05000000000000025,69.436031733797,3.850000000000021,25.000000000000135,176.9600000000009,405285.0000000022
2020-07-26,41.62419386959566,0.7430665986047449,0.7589882763877496,2.00000000000001,9.702826760424974e-14,2.522674644055905e-13,123837.00000000067,8.550000000000045,1.4099873949579902,956.0000000000052,0.0,215.90000000000117,0.1000000000000005,208.00000000000108,0.05000000000000025,69.41678640538986,3.850000000000021,25.000000000000135,176.9600000000009,405285.0000000022
2020-07-27,42.23364313975337,0.6094492702205271,0.7384168698635345,2.00000000000001,7.27712007031873e-14,1.892005983041929e-13,123837.00000000067,8.550000000000045,1.4099758403361418,956.0000000000052,0.0,215.90000000000117,0.1000000000000005,208.00000000000108,0.05000000000000025,69.39648476202568,3.850000000000021,25.000000000000135,176.9600000000009,405285.0000000022
2020-07-28,42.71611793981832,0.48247480011206617,0.6985935185902825,2.00000000000001,5.4578400527390475e-14,1.4190044872814467e-13,123837.00000000067,8.550000000000045,1.4099739617000722,956.0000000000052,0.0,215.90000000000117,0.1000000000000005,208.00000000000108,0.05000000000000025,69.3858089496706,3.850000000000021,25.000000000000135,176.9600000000009,405285.0000000022
2020-07-29,43.1573211633318,0.44120322354882024,0.651997498348013,2.00000000000001,4.0933800395542853e-14,1.064253365461085e-13,123837.00000000067,8.550000000000045,1.4099866121929616,956.0000000000052,0.0,215.90000000000117,0.1000000000000005,208.00000000000108,0.05000000000000025,69.39696175426985,3.850000000000021,25.000000000000135,176.9600000000009,405285.0000000022
2020-07-30,43.68819126034636,0.5308700970410601,0.617883223954934,2.00000000000001,3.0700350296657137e-14,7.981900240958138e-14,123837.00000000067,8.550000000000045,1.4100032105991511,956.0000000000052,0.0,215.90000000000117,0.1000000000000005,208.00000000000108,0.05000000000000025,69.44208896276132,3.850000000000021,25.000000000000135,176.9600000000009,405285.0000000022
2020-07-31,44.459533878356154,0.7713426180296656,0.6185308730405386,2.00000000000001,2.3025262722492853e-14,5.986425180718604e-14,123837.00000000067,8.550000000000045,1.4100247091775489,956.0000000000052,0.0,215.90000000000117,0.1000000000000005,208.00000000000108,0.05000000000000025,69.5320961338358,3.850000000000021,25.000000000000135,176.9600000000009,405285.0000000022
2020-08-01,45.62299559299472,1.163461714653474,0.6764343538754276,2.00000000000001,1.726894704186964e-14,4.489818885538953e-14,123837.00000000067,8.550000000000045,1.410084304345995,956.0000000000052,0.0,215.90000000000117,0.1000000000000005,208.00000000000108,0.05000000000000025,69.6757611760072,3.850000000000021,25.000000000000135,176.9600000000009,405285.0000000022
2020-08-02,47.316794206058326,1.69379861307479,0.8121922812436763,2.00000000000001,1.2951710281402231e-14,3.3673641641542145e-14,123837.00000000067,8.550000000000045,1.4102167512071389,956.0000000000052,0.0,215.90000000000117,0.1000000000000005,208.00000000000108,0.05000000000000025,69.87906878116516,3.850000000000021,25.000000000000135,176.9600000000009,405285.0000000022
2020-08-03,49.34997445221674,2.0331802461667943,1.0155606621286222,1.9987394957983295,9.713782711051674e-15,2.525523123115661e-14,123837.00000000067,8.550000000000045,1.4104385815049034,956.0000000000052,0.0,215.90000000000117,0.1000000000000005,208.00000000000108,0.05000000000000025,70.14471124973952,3.850000000000021,25.000000000000135,176.9600000000009,405285.0000000022
