date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_boosters_per_hundred,reproduction_rate,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,population
2020-03-11,127.11989400052167,5.480675253125105,4.018468165178748,2.0000000000000075,0.0,0.0,22.495331581565445,0.020000000000000077,1.0712490110142219,0.010000000000000038,69.50000000000027,0.010000000000000038,52.000000000000185,52.000000000000185,0.0,27.818671164247647,42.40000000000017,5637022.0000000205
2020-03-12,132.35660720734967,6.1343231397352,4.4366696439763444,2.0000000000000084,0.0012281835811247584,0.0,23.422191843506987,0.020000000000000087,1.1251853507315457,0.010000000000000044,69.5000000000003,0.010000000000000044,52.00000000000021,52.00000000000021,0.0,28.68289425379838,42.40000000000018,5637022.000000022
2020-03-13,138.78600744171155,7.078004798240327,4.955905594326805,2.000000000000009,0.006092436974789941,0.0,24.56017377920429,0.020000000000000094,1.1820656452399994,0.010000000000000047,69.50000000000033,0.010000000000000047,52.00000000000023,52.00000000000023,0.0,29.60617295279227,42.4000000000002,5637022.000000024
2020-03-14,146.61439245911194,8.270607671078452,5.597926933301675,2.0000000000000093,0.014491758241758312,0.0013450226244343922,25.945793230330864,0.020000000000000098,1.2405031770457093,0.010000000000000049,69.50000000000034,0.010000000000000049,52.00000000000024,52.00000000000024,0.0,30.57239118841455,42.400000000000205,5637022.000000026
2020-03-15,155.9587581452392,9.638702359643698,6.376973480519254,2.0000000000000098,0.026027189722042796,0.0045517533936651755,27.599758949897513,0.0200000000000001,1.2987526251889383,0.01000000000000005,69.50000000000036,0.01000000000000005,52.000000000000256,52.000000000000256,0.0,31.580331852849426,42.40000000000021,5637022.000000028
2020-03-16,166.44935303039057,10.711347390288708,7.277312527971872,2.00000000000001,0.04007630696509394,0.010302955316742128,29.45662706633398,0.020000000000000104,1.3547441715419968,0.010000000000000052,69.50000000000037,0.010000000000000052,52.00000000000026,52.00000000000026,0.0,32.61589336281101,42.40000000000022,5637022.000000028
2020-03-17,178.2191414696258,11.935352818088239,8.311283523322164,2.00000000000001,0.055849085427440506,0.018782646351810046,31.539932969433792,0.020000000000000108,1.4070091629163577,0.010000000000000054,69.50000000000037,0.010000000000000054,52.00000000000027,52.00000000000027,0.0,33.66231029360152,42.40000000000022,5637022.000000028
2020-03-18,191.5863341241977,13.491365938711645,9.498100651541414,2.00000000000001,0.07242980049591992,0.029800785668834998,33.90599820800624,0.020000000000000108,1.454309231592571,0.010000000000000054,69.50000000000037,0.010000000000000054,52.00000000000027,52.00000000000027,0.0,34.700878162993696,42.40000000000022,5637022.000000028
2020-03-19,206.93050689566962,15.43730273457675,10.856707518391051,2.00000000000001,0.0888084525051011,0.04288678834664898,36.622004150510236,0.020000000000000108,1.4956908765063244,0.010000000000000054,69.50000000000037,0.010000000000000054,52.00000000000027,52.00000000000027,0.0,35.71293302431385,42.40000000000022,5637022.000000028
2020-03-20,224.59969012650373,17.73903070316272,12.400418163033779,2.00000000000001,0.10390433550035157,0.05735966139573348,39.7495472305298,0.020000000000000108,1.5304905232491703,0.010000000000000054,69.50000000000037,0.010000000000000054,52.00000000000027,52.00000000000027,0.0,36.68133616125419,42.40000000000022,5637022.000000028
2020-03-21,244.84068550050202,20.293380978244734,14.132897817491909,2.00000000000001,0.11658371381013785,0.07238060577530706,43.33230538088061,0.020000000000000108,1.5582119454426977,0.010000000000000054,69.50000000000037,0.010000000000000054,52.00000000000027,52.00000000000027,0.0,37.5799153400745,42.40000000000022,5637022.000000028
