date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,reproduction_rate,icu_patients,hosp_patients,weekly_hosp_admissions,new_tests,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_70_older,extreme_poverty,handwashing_facilities,life_expectancy,population,excess_mortality_cumulative,excess_mortality
2020-11-10,729208.974934727,1598.0941771135194,1589.9951548007248,20451.265967314514,13.15795056337462,14.186282613320952,0.6800000000000036,1.0688836894866727,463.71812157526955,4677.172799052879,2238.5679266358593,20526.38786562874,20396.714174046654,0.08067696607274605,12.634927741129975,4264.000000000022,1130.000000000006,0.0,42.69081349409167,46.75000000000025,27.300000000000146,3.0500000000000163,18.900000000000098,43.99000000000022,64.13000000000032,59893884.00000032,6.051576844518857,7.93249305310143
2020-11-11,730821.3718927075,1612.3969579805846,1591.7101928620195,20464.671033339826,13.405066025310557,13.739944506855629,0.6800000000000036,1.0779394316269646,457.8883972577294,4722.688616742801,2273.17592189074,20624.53013645494,20436.259774038575,0.08129570128371286,12.5153296132166,4264.000000000022,1130.000000000006,0.0,42.427009926645084,46.75000000000025,27.300000000000146,3.0500000000000163,18.900000000000098,43.99000000000022,64.13000000000032,59893884.00000032,6.064605571795283,8.511201468651462
2020-11-12,732456.6935930934,1635.3217003858933,1598.2745568960322,20478.55967448777,13.888641147942213,13.534752336185695,0.6800000000000036,1.0873353106303738,452.55962373515285,4766.579051438814,2312.0716565348744,20746.61053058946,20494.55764565501,0.08206760660273305,12.374326880242137,4264.000000000022,1130.000000000006,0.0,42.24429719934715,46.75000000000025,27.300000000000146,3.0500000000000163,18.900000000000098,43.99000000000022,64.13000000000032,59893884.00000032,6.079593942444218,9.133874944872119
2020-11-13,734123.5009640519,1666.8073709584592,1610.2682252027307,20493.154484372644,14.594809884873943,13.573707270885249,0.6800000000000036,1.0969315088292784,447.80153745230257,4808.654036478277,2355.518750712176,20893.642707250463,20572.63458847529,0.08299656791261875,12.213597454945678,4264.000000000022,1130.000000000006,0.0,42.1428437786313,46.75000000000025,27.300000000000146,3.0500000000000163,18.900000000000098,43.99000000000022,64.13000000000032,59893884.00000032,6.096389011177987,9.779690099133374
2020-11-14,735829.0417055868,1705.5407415349428,1627.9523038406412,20508.636952484423,15.482468111780886,13.842584751806491,0.6800000000000036,1.1065958520485926,443.6435739037072,4849.014638541648,2403.6789951608325,21059.4508127585,20673.803817891727,0.08407661145482617,12.035884904396088,4264.000000000022,1130.000000000006,0.0,42.11895733300392,46.75000000000025,27.300000000000146,3.0500000000000163,18.900000000000098,43.99000000000022,64.13000000000032,59893884.00000032,6.114758214196593,10.426180308674546
2020-11-15,737578.3111434445,1749.2694378577385,1651.177123808085,20525.127035630314,16.490083145891283,14.30770892584584,0.6800000000000036,1.1161831527727097,440.05989439028906,4888.101961453108,2456.594314243931,21238.398187542403,20800.050972662524,0.08530164087941969,11.844491247786417,4264.000000000022,1130.000000000006,0.0,42.16380364939747,46.75000000000025,27.300000000000146,3.0500000000000163,18.900000000000098,43.99000000000022,64.13000000000032,59893884.00000032,6.134401078229871,11.05066092639927
2020-11-16,739365.2125754254,1786.9014319808955,1679.1906794753293,20542.095567608347,16.968531978035166,14.856829690505927,0.6800000000000036,1.1255570478374526,437.1534857571647,4925.129153701344,2514.1287465796186,21423.70162021404,20949.970307712825,0.08666013499052805,11.642271150771954,4264.000000000022,1130.000000000006,0.0,42.26244582043537,46.75000000000025,27.300000000000146,3.0500000000000163,18.900000000000098,43.99000000000022,64.13000000000032,59893884.00000032,6.154968391089994,11.63196999990613
2020-11-17,741194.0956629857,1828.8830875603348,1712.160254111994,20559.680984045008,17.5854164366615,15.489269488306102,0.6800000000000036,1.1346189817410517,434.99478464754446,4960.180139354878,2576.1026131252247,21603.231432920744,21117.820280881613,0.08815476510844239,11.43071435208997,4264.000000000022,1130.000000000006,0.0,42.40336668594714,46.75000000000025,27.300000000000146,3.0500000000000163,18.900000000000098,43.99000000000022,64.13000000000032,59893884.00000032,6.176038348908971,12.14734597809011
2020-11-18,743072.5596754885,1878.4640125028332,1750.1695511205203,20578.357909979488,18.676925934477406,16.24226417182107,0.6800000000000036,1.1432816247996496,433.62275299761757,4992.537577043638,2642.3397034028844,21789.296156704164,21296.280158948248,0.08979238281646444,11.211390644481195,4264.000000000022,1130.000000000006,0.0,42.582690496037664,46.75000000000025,27.300000000000146,3.0500000000000163,18.900000000000098,43.99000000000022,64.13000000000032,59893884.00000032,6.197159336988783,12.574218990447278
2020-11-19,745008.6651670893,1936.1054916007865,1793.138378595726,20598.757928282965,20.40001830347606,17.172273274308623,0.6800000000000036,1.151521981366384,433.02065233709544,5022.253182782735,2712.701626291663,22009.42503850424,21478.890710678574,0.0915639057290259,10.987280863128202,4264.000000000022,1130.000000000006,0.0,42.80137404526683,46.75000000000025,27.300000000000146,3.0500000000000163,18.900000000000098,43.99000000000022,64.13000000000032,59893884.00000032,6.217903439393179,12.894189268230251
2020-11-20,747008.8427344001,2000.1775673108061,1840.76241274447,20621.535155973077,22.777227690115165,18.34096271268043,0.6800000000000036,1.159335571351228,433.125185438989,5049.599421670122,2787.112534244562,22274.797111942207,21657.696054986984,0.0934518562521671,10.760547913021664,4264.000000000022,1130.000000000006,0.0,43.05699013317449,46.75000000000025,27.300000000000146,3.0500000000000163,18.900000000000098,43.99000000000022,64.13000000000032,59893884.00000032,6.237908187172559,13.095644121271516
2020-11-21,749076.3245847378,2067.481850337665,1892.4680204504043,20647.26542644978,25.730270476700838,19.804691814730134,0.6800000000000036,1.1667613746995893,433.82326852332767,5074.846867480782,2865.5766275741817,22591.189111429216,21818.71691842191,0.0954953239926161,10.53073414097182,4264.000000000022,1130.000000000006,0.0,43.344573563035425,46.75000000000025,27.300000000000146,3.0500000000000163,18.900000000000098,43.99000000000022,64.13000000000032,59893884.00000032,6.256909485563656,13.175353831557588
2020-11-22,751209.96821231,2133.6436275722567,1947.3783761975346,20676.370676172206,29.10524972242549,21.606628589554425,0.6800000000000036,1.173874198445508,434.98616503179824,5098.766970261531,2948.1902437898843,22965.577252932,21947.884440594098,0.09775400753874147,10.296104904371411,4264.000000000022,1130.000000000006,0.0,43.65725564092563,46.75000000000025,27.300000000000146,3.0500000000000163,18.900000000000098,43.99000000000022,64.13000000000032,59893884.00000032,6.274767925420327,13.139301734366335
2020-11-23,753391.9249956912,2181.9567833811993,2003.814642199867,20708.531562397446,32.1608862252387,23.776785760200767,0.6800000000000036,1.1807894562032342,436.38584226124425,5120.309051225568,3034.925335903642,23397.99466804422,22034.42388312822,0.10029498206000326,10.054795226436296,4264.000000000022,1130.000000000006,0.0,43.986740050022014,46.75000000000025,27.300000000000146,3.0500000000000163,18.900000000000098,43.99000000000022,64.13000000000032,59893884.00000032,6.291490132817678,13.002939940076644
2020-11-24,755625.1048327424,2233.1798370510933,2061.571141960181,20744.084289121965,35.552726724520554,26.343426909032328,0.6800000000000036,1.1876282912474498,437.7682278497799,5139.952344333857,3125.8109587104495,23886.194001194803,22074.26175526798,0.10315966576284358,9.805243155444558,4264.000000000022,1130.000000000006,0.0,44.323659756327174,46.75000000000025,27.300000000000146,3.0500000000000163,18.900000000000098,43.99000000000022,64.13000000000032,59893884.00000032,6.307165364873217,12.788875030780096
2020-11-25,757918.198792625,2293.0939598826994,2120.8038475819685,20783.545149614612,39.460860492647114,29.31250570213629,0.6800000000000036,1.194525517078123,439.1358832338126,5158.578010674446,3221.069226512757,24414.007705970474,22066.568294472996,0.1063763750493468,9.546603665872377,4264.000000000022,1130.000000000006,0.0,44.661348889643634,46.75000000000025,27.300000000000146,3.0500000000000163,18.900000000000098,43.99000000000022,64.13000000000032,59893884.00000032,6.321948037875995,12.524296960129135
2020-11-26,760281.7229955686,2363.524202943702,2181.8635519760724,20827.42410138358,43.878951768968285,32.66664026561327,0.6800000000000036,1.20158402145436,440.60039335619393,5177.387160235965,3321.183090814483,24951.683409568388,22010.937452270424,0.10995875187524556,9.27853387416189,4264.000000000022,1130.000000000006,0.0,44.98874308287597,46.75000000000025,27.300000000000146,3.0500000000000163,18.900000000000098,43.99000000000022,64.13000000000032,59893884.00000032,6.3360892258398245,12.240360960008216
2020-11-27,762725.0515226957,2443.3285271269788,2245.170748015671,20876.084947401643,48.660846018064376,36.36434396779437,0.6800000000000036,1.208885656685471,442.11723102231736,5197.523725057395,3426.9129829922044,25488.813167228043,21913.226117644997,0.11389408006674462,9.002318311245217,4264.000000000022,1130.000000000006,0.0,45.29880197925465,46.75000000000025,27.300000000000146,3.0500000000000163,18.900000000000098,43.99000000000022,64.13000000000032,59893884.00000032,6.349943662384772,11.970795907004053
2020-11-28,765254.19109839,2529.1395756943007,2311.121787902513,20929.640472025083,53.55552462343849,40.33944850590403,0.6800000000000036,1.2165209005619397,443.8894261755945,5220.103168712251,3539.275105699233,26022.547189577504,21788.558631543412,0.11812353354714979,8.721064848495333,4264.000000000022,1130.000000000006,0.0,45.58489754132534,46.75000000000025,27.300000000000146,3.0500000000000163,18.900000000000098,43.99000000000022,64.13000000000032,59893884.00000032,6.363958370114841,11.749932533725213
2020-11-29,767870.1121020741,2615.9210036841105,2380.018502691594,20987.873792932867,58.23332090778582,44.50067122105706,0.6800000000000036,1.224574256546214,446.25978133176113,5246.121833547771,3659.4909608193557,26561.64927792977,21657.653540561274,0.12255208778156486,8.438342269209262,4264.000000000022,1130.000000000006,0.0,45.841609484371574,46.75000000000025,27.300000000000146,3.0500000000000163,18.900000000000098,43.99000000000022,64.13000000000032,59893884.00000032,6.378647510617814,11.610296523758695
2020-11-30,770538.774978302,2668.6628762278574,2449.547891724582,21049.618450711318,61.74465777844774,48.72696705509475,0.6800000000000036,1.2331149199468312,449.63003315460685,5276.388951114293,3789.004260415058,27111.13581106534,21544.861147664036,0.1270932836771564,8.158289668939924,4264.000000000022,1130.000000000006,0.0,46.06532185148171,46.75000000000025,27.300000000000146,3.0500000000000163,18.900000000000098,43.99000000000022,64.13000000000032,59893884.00000032,6.394556899931695,11.579875269354268
2020-12-01,773265.986308065,2727.211329763011,2520.1237633312553,21115.00528922938,65.38683851806346,52.98899032040971,0.6800000000000036,1.2421804045690457,454.4002236377722,5311.475649987311,3929.378987166503,27698.019198311973,21479.224965466867,0.1316434921696322,7.885627400379807,4264.000000000022,1130.000000000006,0.0,46.258174646529895,46.75000000000025,27.300000000000146,3.0500000000000163,18.900000000000098,43.99000000000022,64.13000000000032,59893884.00000032,6.41224238175458,11.684453801724832
2020-12-02,776074.1518512825,2808.1655432175435,2593.7053554654785,21184.425912623425,69.42062339404221,57.26892454379801,0.6800000000000036,1.251767979574168,460.92322849109644,5351.676711633994,4082.163418969398,28331.384578921483,21491.47816172138,0.13609994297984232,7.62528713076321,4264.000000000022,1130.000000000006,0.0,46.42797261385677,46.75000000000025,27.300000000000146,3.0500000000000163,18.900000000000098,43.99000000000022,64.13000000000032,59893884.00000032,6.432292738389081,11.948699618077278
2020-12-03,778992.9766227874,2918.824771504953,2673.033935635958,21258.327546943357,73.90163431993385,61.55780863086089,0.6800000000000036,1.2618204901751333,469.47065343037866,5396.981887313093,4248.770763506767,29000.383812342414,21610.649733120412,0.14036212594852127,7.380780150916631,4264.000000000022,1130.000000000006,0.0,46.571314625227814,46.75000000000025,27.300000000000146,3.0500000000000163,18.900000000000098,43.99000000000022,64.13000000000032,59893884.00000032,6.4552906360708855,12.392283670987101
2020-12-04,782052.4899493153,3059.513326527879,2761.060250854316,21337.05918638725,78.73163944389363,65.85353148930608,0.6800000000000036,1.2722205712512613,480.2072563946981,5447.054385749856,4430.37225030115,29694.817258901327,21858.846737461543,0.14439538243812033,7.153854343956713,4264.000000000022,1130.000000000006,0.0,46.684302064589964,46.75000000000025,27.300000000000146,3.0500000000000163,18.900000000000098,43.99000000000022,64.13000000000032,59893884.00000032,6.481775715533181,13.027378119386807
2020-12-05,785277.8142622461,3225.324312930821,2860.515115096139,21420.75620297728,83.6970165900309,70.15932799642376,0.6800000000000036,1.2828158809271355,493.17176420940507,5501.214738892231,4627.799565877131,30416.48518480306,22254.38505309619,0.148184707481467,6.9454553992086545,4264.000000000022,1130.000000000006,0.0,46.7635617132777,46.75000000000025,27.300000000000146,3.0500000000000163,18.900000000000098,43.99000000000022,64.13000000000032,59893884.00000032,6.512209291497988,13.857186650764618
2020-12-06,788685.2416921607,3407.4274299146696,2973.5873498967694,21509.253803816704,88.49760083942053,74.4826509746935,0.6800000000000036,1.293394554522115,508.2624850833636,5558.428701228005,4841.454296256595,31142.817520632078,22808.670916519008,0.15171383765699575,6.756788705191891,4264.000000000022,1130.000000000006,0.0,46.80701291391762,46.75000000000025,27.300000000000146,3.0500000000000163,18.900000000000098,43.99000000000022,64.13000000000032,59893884.00000032,6.546940258862673,14.875249231770967
2020-12-07,792236.1797500525,3550.9380578917285,3099.6265339157944,21601.007418150213,91.75361433350864,78.7694974423971,0.6800000000000036,1.3037199624332818,525.2569155255164,5617.971525921012,5071.415482096416,31865.7755152317,23526.008132444236,0.15497202982645747,6.588249253522239,4264.000000000022,1130.000000000006,0.0,46.81444294335682,46.75000000000025,27.300000000000146,3.0500000000000163,18.900000000000098,43.99000000000022,64.13000000000032,59893884.00000032,6.586171903907841,16.06532768013077
2020-12-08,795947.2185552684,3711.0388052158287,3240.1731722532695,21696.198921725165,95.19150357495386,83.02716154333642,0.6800000000000036,1.313549021598719,543.9267202575835,5679.482425953372,5317.589792844829,32572.080412280324,24398.19532040626,0.15799324344288795,6.43869986838991,4264.000000000022,1130.000000000006,0.0,46.78793854235931,46.75000000000025,27.300000000000146,3.0500000000000163,18.900000000000098,43.99000000000022,64.13000000000032,59893884.00000032,6.629869970501765,17.397550982186942
2020-12-09,799855.6765861356,3908.4580308672753,3397.3576558544696,21795.572349018534,99.3734272933681,87.30599429906677,0.6800000000000036,1.32261344687131,563.9236762630011,5741.715342412677,5579.6357373753435,33258.22569786575,25407.979570459873,0.16081086664810026,6.306191998900714,4264.000000000022,1130.000000000006,0.0,46.72870536119747,46.75000000000025,27.300000000000146,3.0500000000000163,18.900000000000098,43.99000000000022,64.13000000000032,59893884.00000032,6.677953983093805,18.837783284659444
2020-12-10,804005.2091525957,4149.532566460095,3573.172888626475,21900.09134967602,104.51900065748583,91.6797738432401,0.6800000000000036,1.3306819662136007,584.7215063892362,5803.132789938152,5856.942951798716,33929.23969599148,26533.402405705325,0.1634825843752157,6.188333398012001,4264.000000000022,1130.000000000006,0.0,46.637737488900754,46.75000000000025,27.300000000000146,3.0500000000000163,18.900000000000098,43.99000000000022,64.13000000000032,59893884.00000032,6.730354858453432,20.35265653727798
2020-12-11,808435.0147506794,4429.805598083605,3768.928757775615,22010.682280841404,110.59093116538347,96.23098309736234,0.6800000000000036,1.33759970995432,605.8646915243133,5862.119308032162,6148.652795158494,34599.14749581396,27749.889716366946,0.1660574780357753,6.082562265703579,4264.000000000022,1130.000000000006,0.0,46.519374545247054,46.75000000000025,27.300000000000146,3.0500000000000163,18.900000000000098,43.99000000000022,64.13000000000032,59893884.00000032,6.787053266381408,21.913490879272125
2020-12-12,813171.739828363,4736.725077683591,3984.8429865605476,22128.041526403547,117.3592455621438,101.03976802761144,0.6800000000000036,1.343238567210409,626.974859948989,5917.141549543846,6453.70992603921,35285.73512493098,29027.4785186909,0.16860904259276577,5.985006702509755,4264.000000000022,1130.000000000006,0.0,46.38046529807563,46.75000000000025,27.300000000000146,3.0500000000000163,18.900000000000098,43.99000000000022,64.13000000000032,59893884.00000032,6.848103552150089,23.49938083375462
2020-12-13,818223.4073599611,5051.667531598189,4219.73427385707,22252.49098643165,124.44946002810451,106.17565633745083,0.6800000000000036,1.3475126358150484,647.5753595706632,5964.81876719991,6770.937114859089,36017.85340615789,30339.12445139702,0.17123360805963597,5.89176407665608,4264.000000000022,1130.000000000006,0.0,46.22974037627172,46.75000000000025,27.300000000000146,3.0500000000000163,18.900000000000098,43.99000000000022,64.13000000000032,59893884.00000032,6.913646830240566,25.099655858024473
2020-12-14,823524.5464701983,5301.139110237112,4469.762846310715,22382.68103878951,130.19005235785946,111.66650194927446,0.6800000000000036,1.3503545802872738,667.0832165105776,6004.282821359863,7099.053473322277,36810.01339212655,31660.253681146394,0.17402394554052555,5.799420988972352,4264.000000000022,1130.000000000006,0.0,46.07734180450509,46.75000000000025,27.300000000000146,3.0500000000000163,18.900000000000098,43.99000000000022,64.13000000000032,59893884.00000032,6.983915956552445,26.71587166080993
