date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_vaccinations_per_hundred,reproduction_rate,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,extreme_poverty,cardiovasc_death_rate,life_expectancy,human_development_index,population
2020-03-30,2.092638542703,0.15803604019603276,0.1443447358267566,1.000000000000005,0.06624505186204263,0.0485244221838354,0.31357858290176216,0.8900000000000048,1.1200000000000059,0.020000000000000108,15.246065573404573,27.300000000000146,3.200000000000016,137.02000000000072,74.48000000000039,0.6600000000000035,6948395.000000035
2020-03-31,2.170189960679483,0.16419606699253225,0.14905363913574318,1.000000000000005,0.06901151998896905,0.05432091844783141,0.32493668442906937,0.8900000000000048,1.1200000000000059,0.020000000000000108,15.389786575011435,27.300000000000146,3.200000000000016,137.02000000000072,74.48000000000039,0.6600000000000035,6948395.000000035
2020-04-01,2.2725842933926153,0.17254911876411505,0.15460454738671386,1.000000000000005,0.07040763805248967,0.05914114132456144,0.3399371610270385,0.8900000000000048,1.1200000000000059,0.020000000000000108,15.486680267393051,27.300000000000146,3.200000000000016,137.02000000000072,74.48000000000039,0.6600000000000035,6948395.000000035
2020-04-02,2.4023373797083307,0.18359735943507755,0.16127386949284755,1.000000000000005,0.07004877960594783,0.06275630848210897,0.35895868848197954,0.8900000000000048,1.1200000000000059,0.020000000000000108,15.539510200544811,27.300000000000146,3.200000000000016,137.02000000000072,74.48000000000039,0.6600000000000035,6948395.000000035
2020-04-03,2.5607704879163524,0.19723260264030334,0.1692745682476256,1.000000000000005,0.06780807791713064,0.06499483317153659,0.3822060881132629,0.8900000000000048,1.1200000000000059,0.020000000000000108,15.56688265040863,27.300000000000146,3.200000000000016,137.02000000000072,74.48000000000039,0.6600000000000035,6948395.000000035
2020-04-04,2.747500942860346,0.2128888992976164,0.17872515695495028,1.000000000000005,0.06375198603965801,0.06577327419991952,0.4096342040939976,0.8900000000000048,1.1200000000000059,0.020000000000000108,15.58081583396034,27.300000000000146,3.200000000000016,137.02000000000072,74.48000000000039,0.6600000000000035,6948395.000000035
2020-04-05,2.9600600962855363,0.22965697828704593,0.1896264469017334,1.000000000000005,0.05809194686652443,0.06511954841012073,0.44089081144153963,0.8900000000000048,1.1200000000000059,0.020000000000000108,15.596381106239507,27.300000000000146,3.200000000000016,137.02000000000072,74.48000000000039,0.6600000000000035,6948395.000000035
2020-04-06,3.1948673088011,0.24763058116195585,0.20238612476906057,1.000000000000005,0.05114814567025536,0.063013869452387,0.47545026759860864,0.8900000000000048,1.1200000000000059,0.020000000000000108,15.629593521987346,27.300000000000146,3.200000000000016,137.02000000000072,74.48000000000039,0.6600000000000035,6948395.000000035
2020-04-07,3.4518065901981156,0.2665568078818099,0.21702262525100394,1.000000000000005,0.043322324508024444,0.059423298016892126,0.5133016632070375,0.8900000000000048,1.1200000000000059,0.020000000000000108,15.695829756875147,27.300000000000146,3.200000000000016,137.02000000000072,74.48000000000039,0.6600000000000035,6948395.000000035
2020-04-08,3.729417321446266,0.28482387611174576,0.23313122233191852,1.000000000000005,0.03507739302549152,0.05448150066199042,0.5542396604628098,0.8900000000000048,1.1200000000000059,0.020000000000000108,15.808641548425612,27.300000000000146,3.200000000000016,137.02000000000072,74.48000000000039,0.6600000000000035,6948395.000000035
2020-04-09,4.025068808796406,0.30106134599783696,0.2500350683326497,1.000000000000005,0.02692213655968102,0.04844709834717159,0.5978872437310774,0.8900000000000048,1.1200000000000059,0.020000000000000108,15.978865776703849,27.300000000000146,3.200000000000016,137.02000000000072,74.48000000000039,0.6600000000000035,6948395.000000035
2020-04-10,4.335091199357493,0.31407978454685914,0.2668984731951891,1.000000000000005,0.020191602419760764,0.041672427832776915,0.6437127825074236,0.8900000000000048,1.1200000000000059,0.020000000000000108,16.2139570248356,27.300000000000146,3.200000000000016,137.02000000000072,74.48000000000039,0.6600000000000035,6948395.000000035
2020-04-11,4.654873667779279,0.32282551391111447,0.2828118639461661,1.000000000000005,0.015143701814820573,0.034580112729786325,0.6910428286388106,0.8900000000000048,1.1200000000000059,0.020000000000000108,16.517486999395956,27.300000000000146,3.200000000000016,137.02000000000072,74.48000000000039,0.6600000000000035,6948395.000000035
