date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_vaccinations_per_hundred,reproduction_rate,icu_patients,hosp_patients,total_tests,new_tests,positive_rate,total_boosters_per_hundred,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,male_smokers,median_age,diabetes_prevalence,female_smokers,population,excess_mortality_cumulative,excess_mortality
2022-02-19,5707892.675491517,62402.51512921217,70920.50966417036,21509.616660933814,12.659324614431995,12.227239343914043,318797.9384246031,182.93549806295118,0.7759450022057811,124.09353841074193,1012.847714984061,27412184.93719827,85292.50057196978,0.5828074856372638,48.56218997062359,14601.008529366878,0.003718338086910462,40.71727489857716,27.300000000000146,43.20000000000024,5.290000000000028,24.40000000000013,17564020.00000009,8.328394697074938,1.0907950071962191
2022-02-20,5767276.1086548455,59383.433163328074,68248.9869641912,21522.208762668717,12.592101734902876,12.379984937799804,322114.62907184643,182.99925375314217,0.7436596243110918,122.87508270269139,1012.2831844280925,27492779.102478575,80594.16528030258,0.5841841533358996,48.6177656657044,13650.567289074299,0.0030137050842520136,39.67348009119213,27.300000000000146,43.20000000000024,5.290000000000028,24.40000000000013,17564020.00000009,8.310420618798457,1.0907748268257373
2022-02-21,5823940.486290755,56664.377635909186,65460.800531805406,21534.66930632607,12.460543657350412,12.472788477105528,325279.45426881744,183.06000765717843,0.7215441687827703,121.83195843942983,1009.5637134665135,27569105.960116886,76326.85763831364,0.586308606275358,48.67043104584315,12805.678311020347,0.002382450758890368,38.636377198323046,27.300000000000146,43.20000000000024,5.290000000000028,24.40000000000013,17564020.00000009,8.292440868106612,1.0907596915478759
2022-02-22,5877840.904440118,53900.418149362464,62585.522584859296,21546.95527644788,12.285970121810497,12.500270252463942,328289.90598700463,183.11842688056993,0.710147622385398,120.94822545529973,1004.8571419195374,27641735.578571863,72629.61845497966,0.5892141631745219,48.720595701041404,12070.138225831532,0.0018332181596655136,37.62866105000283,27.300000000000146,43.20000000000024,5.290000000000028,24.40000000000013,17564020.00000009,8.274420294629698,1.0907483400894797
2022-02-23,5929081.844151041,51240.939710923005,59689.00930516038,21559.019705558305,12.064429110427055,12.461028804409382,331151.81971035735,183.17528594674224,0.7089670516306784,120.22495383614206,998.249805373074,27711349.674959965,69614.09638809972,0.5929358324649259,48.768660553599936,11448.279978358794,0.0013749136197491352,36.67204572286093,27.300000000000146,43.20000000000024,5.290000000000028,24.40000000000013,17564020.00000009,8.256323855195204,1.0907398264956827
2022-02-24,5977910.288704756,48828.444553715904,56855.52672854715,21570.82171194187,11.80200638356368,12.35775334215644,333878.9900132145,183.23145125477484,0.7173009189751107,119.63600690910413,989.8936403905049,27778716.782755245,67367.10779527655,0.5974690042775899,48.81500144068714,10944.985452418106,0.0010311852148118515,35.78598419518388,27.300000000000146,43.20000000000024,5.290000000000028,24.40000000000013,17564020.00000009,8.238122358567898,1.090733441300335
2022-02-25,6024710.561535039,46800.27283028375,54174.34516244145,21582.33402797712,11.51231603524873,12.197308057683927,336492.8822437511,183.28784264276206,0.7343633750749023,119.16566064401313,980.2096452896478,27844654.577903576,65937.7951483321,0.6027554377589366,48.85994872111013,10565.542208253475,0.0007733889111088886,34.98670808821083,27.300000000000146,43.20000000000024,5.290000000000028,24.40000000000013,17564020.00000009,8.219796312281737,1.090728652403824
2022-02-26,6070000.454667771,45289.893132732264,51729.68499901279,21593.548646386876,11.214618409759122,11.990795361297867,339022.416286563,183.34537778039112,0.7591825183779297,118.80740643970037,969.8421402374377,27909990.829694692,65336.25179111342,0.6087133139365272,48.90376390023796,10315.38687597034,0.0005800416833316664,34.28122595950012,27.300000000000146,43.20000000000024,5.290000000000028,24.40000000000013,17564020.00000009,8.20133834604066,1.090725060731441
2022-02-27,6114428.325050611,44427.8703828395,49593.1760750515,21604.481054925935,10.932408539058205,11.753603308303731,341503.80438460596,183.40482625246045,0.7905100303477666,118.54883214069982,959.3289387268836,27975509.239110105,65518.40941541015,0.6152025678699786,48.94661942069983,10200.759129182035,0.00043503126249874984,33.66742641855855,27.300000000000146,43.20000000000024,5.290000000000028,24.40000000000013,17564020.00000009,8.18275456754602,1.0907223669771535
2022-02-28,6158512.87520361,44084.550152999116,47796.05783052915,21615.149462816975,10.668407891042214,11.497525202624065,343966.01722833863,183.4669954396457,0.8268605447388483,118.4068729743033,949.2672599598375,28041913.522933133,66404.28382303152,0.6220504391539392,48.98866795457287,10228.048920254349,0.00032627344687406236,33.13875985916782,27.300000000000146,43.20000000000024,5.290000000000028,24.40000000000013,17564020.00000009,8.164065117644013,1.0907203466614381
2022-03-01,6202510.915904979,43998.04070136866,46381.43236707921,21625.55042936874,10.400966551765837,11.228214684127082,346423.39830005215,183.53275315928943,0.8666182592328706,118.3937455516714,940.3883732181018,28109787.799245786,67874.2763126519,0.6290491415826498,49.03004145905005,10402.914324321351,0.0002447050851555468,32.696472447704934,27.300000000000146,43.20000000000024,5.290000000000028,24.40000000000013,17564020.00000009,8.145280715599352,1.0907188314246514
2022-03-02,6246777.193974638,44266.2780696594,45385.051939659825,21635.70432170338,10.15389233463887,10.955285285881363,348895.76107442554,183.60301971294317,0.9081955948771431,118.47045460654623,933.6067938114444,28179566.78584356,69778.9865977728,0.6359941929678544,49.070849775606284,10729.65439223909,0.0001835288138666601,32.31910304295392,27.300000000000146,43.20000000000024,5.290000000000028,24.40000000000013,17564020.00000009,8.126420459130035,1.082085041935837
2022-03-03,6291693.6168933995,44916.42291876045,44826.19144084706,21645.650332421716,9.946010718335339,10.690166614701923,351404.4360323872,183.67873698897395,0.9498535481294166,118.59388814301585,929.6959971038981,28251556.783241794,71989.99739823275,0.6426932853205911,49.11117888678835,11210.768315187739,0.00013764661039999507,31.99454544640424,27.300000000000146,43.20000000000024,5.290000000000028,24.40000000000013,17564020.00000009,8.107524851227211,1.065394393696777
2022-03-04,6337616.171267344,45922.55437394435,44700.80276405488,21655.442742852192,9.792410430477439,10.444496486559746,353969.3059215113,183.7608203564689,0.9898720615495527,118.7704484278826,929.3841988621847,28325932.85953869,74376.07629689704,0.6489777855806188,49.15108891622255,11846.662839493601,0.0001032349577999963,31.70441651854595,27.300000000000146,43.20000000000024,5.290000000000028,24.40000000000013,17564020.00000009,8.0886616456233,1.0471415959005275
2022-03-05,6384835.111676115,47218.9404087712,44976.38057595008,21665.14812048759,9.705377635398492,10.228915028138957,356606.582201315,183.85009765261373,1.026665196776258,118.99876392272208,933.2817011828389,28402735.405028977,76802.54549028764,0.6547036042145536,49.190611936035765,12635.457520699732,7.742621834999722e-05,31.426349072813835,27.300000000000146,43.20000000000024,5.290000000000028,24.40000000000013,17564020.00000009,8.069926306246298,1.037255529735444
2022-03-06,6433545.102309131,48709.99063301674,45588.111645763536,21674.843217062553,9.695096574965172,10.052160253004683,359327.13737723103,183.94728350818343,1.058841172953882,119.25747630338626,941.8887968955339,28481893.952204224,79158.54717524655,0.6597676837685439,49.22975503199734,13575.975121778862,5.806966376249792e-05,31.14190660099051,27.300000000000146,43.20000000000024,5.290000000000028,24.40000000000013,17564020.00000009,8.051438427163726,1.0472169612733269
2022-03-07,6483929.193360817,50384.09105168571,46488.045653197965,21684.579358498304,9.73614143574878,9.918940163897028,362141.1953099115,184.05308221743388,1.0852238014995113,119.51641039496066,955.2423895268554,28563175.341189407,81281.38898518423,0.6640862670280895,49.268513198921895,14665.789065962485,4.3552247821873434e-05,30.833544042533486,27.300000000000146,43.20000000000024,5.290000000000028,24.40000000000013,17564020.00000009,8.033335122893813,1.088628380295656
2022-03-08,6536122.520634714,52193.32727389688,47658.80046743571,21694.390352745766,9.810994247464475,9.834570345935067,365056.3036779739,184.1681436881934,1.1049298097542408,119.73153856545144,973.0475161270435,28646213.361370437,83038.02018103439,0.6676159284546492,49.306869593069045,15899.538955257281,3.2664185866405076e-05,30.485504832158718,27.300000000000146,43.20000000000024,5.290000000000028,24.40000000000013,17564020.00000009,8.015760345771811,1.171366450980355
2022-03-09,6590101.807993821,53979.28735910729,49046.37282342753,21704.320948140477,9.930595394712785,9.802537326354997,368071.1624404461,184.29302624892304,1.1174531750273822,119.85994998097304,995.0664063260534,28730551.89176154,84338.53039110881,0.6703320174463531,49.34479710661273,17268.19319511138,2.449813939980381e-05,30.08449368552826,27.300000000000146,43.20000000000024,5.290000000000028,24.40000000000013,17564020.00000009,7.998870379376889,1.3035647888308912
2022-03-10,6645705.525290785,55603.717296964685,50573.12879129406,21714.416664563694,10.095716423216246,9.823755127927218,371176.7497130112,184.42816459850343,1.1226608250326584,119.85089331960195,1020.8021803101525,28815659.45275785,85107.56099630523,0.6722218637634988,49.382260933662636,18759.02068818877,1.8373604549852855e-05,29.62255093641514,27.300000000000146,43.20000000000024,5.290000000000028,24.40000000000013,17564020.00000009,7.982827523659098,1.4914856125854024
2022-03-11,6702649.006815545,56943.481524759794,52147.54662837689,21724.716166813232,10.299502249538897,9.896007684019118,374357.16617519205,184.5738416130666,1.1206758062340945,119.70298899422652,1049.6144180380459,28900952.895822465,85293.44306461753,0.6733000435886237,49.4192218799497,20356.09432997484,1.3780203412389641e-05,29.092494003862786,27.300000000000146,43.20000000000024,5.290000000000028,24.40000000000013,17564020.00000009,7.967792126722541,1.7393080523608393
2022-03-12,6760535.790131061,57886.78331551563,53671.52391827694,21735.24554463161,10.529377818375906,10.013530649892182,377590.26837573847,184.73016304561145,1.1118625431047902,119.4101279770857,1080.5103125589173,28985817.289627068,84864.39380460419,0.6736287172422122,49.4556402302597,22041.194616259447,1.033515255929223e-05,28.489159449244898,27.300000000000146,43.20000000000024,5.290000000000028,24.40000000000013,17564020.00000009,7.953913376600694,2.048853949973376
2022-03-13,6818866.120200115,58330.330069054384,55045.857925133125,21746.014022727133,10.768478095520795,10.166697761174808,380848.1437116687,184.8970812139346,1.0968746061004104,118.95698189102387,1112.467285162564,29069635.581134368,83818.29150729941,0.6732939361217053,49.49146742913588,23795.123159996823,7.751364419469174e-06,27.820658694884585,27.300000000000146,43.20000000000024,5.290000000000028,24.40000000000013,17564020.00000009,7.941319163025838,2.419266778391017
2022-03-14,6877316.2178165475,58450.09761643211,56198.14446017184,21756.974188667875,10.9601659407421,10.341420056498444,384112.70817515475,185.07447466056664,1.0766053728041394,118.3347209043702,1144.5640708531787,29151842.12023996,82206.53910558778,0.6724345762024628,49.5266537392728,25597.05864343011,5.81352331460188e-06,27.101880252579118,27.300000000000146,43.20000000000024,5.290000000000028,24.40000000000013,17564020.00000009,7.930105241694083,2.84665540053535
2022-03-15,6935680.700159447,58364.48234289947,57079.738012388174,21768.142713252713,11.168524584839073,10.535258481287876,387372.4906142367,185.26214224069255,1.0522261692281867,117.57280861622222,1175.9531113170028,29231970.73618841,80128.61594845404,0.6711893775299993,49.56115846402619,27425.480084705792,4.36014248595141e-06,26.34089370591789,27.300000000000146,43.20000000000024,5.290000000000028,24.40000000000013,17564020.00000009,7.920347284765818,3.3248369077752375
2022-03-16,6993633.563241768,57952.863082320124,57647.391744908535,21779.551330350037,11.408617097323567,10.746362736208328,390609.28295583,185.4598104620323,1.0250361427582453,116.71270277761607,1205.8352924405658,29309691.421614524,77720.68542611116,0.6697165321778817,49.59495669084915,29259.27231304458,3.2701068644635576e-06,25.54096148822966,27.300000000000146,43.20000000000024,5.290000000000028,24.40000000000013,17564020.00000009,7.9121096878794805,3.852347645740476
2022-03-17,7050806.960343423,57173.39710165613,57871.63185360715,21791.234021356613,11.682691006573817,10.973091379887354,393802.54015029257,185.66715076369138,0.9963284968553692,115.82573587442101,1233.662215936761,29384791.543166332,75100.12155180713,0.6681710448994109,49.62804342542292,31078.967001428606,2.452580148347668e-06,24.714256507251783,27.300000000000146,43.20000000000024,5.290000000000028,24.40000000000013,17564020.00000009,7.905431536387043,4.430348316261225
2022-03-18,7106850.285836116,56043.32549269337,57743.038336068406,21803.21740354173,11.98338218511784,11.213726905956257,396932.6801298499,185.8838042492394,0.9672680274573004,114.93563997950693,1259.0007666713832,29457142.379223526,72350.83605719739,0.66665042329964,49.660435768808696,32868.08179599717,1.8394351112607512e-06,23.878146161951474,27.300000000000146,43.20000000000024,5.290000000000028,24.40000000000013,17564020.00000009,7.900318850369525,5.0535742046906185
2022-03-19,7161474.488051953,54624.202215835554,57276.95556830866,21815.513521305325,12.296117763595994,11.46626205083114,399983.55877741385,186.10941201045924,0.9387782668761052,114.05457419923927,1281.5008820494345,29526671.895439018,69529.51621549024,0.6652253740358169,49.692173626865156,34614.53780142586,1.3795763334455634e-06,23.052392750099703,27.300000000000146,43.20000000000024,5.290000000000028,24.40000000000013,17564020.00000009,7.896741538737539,5.712102375283604
2022-03-20,7214485.303934903,53010.81588294977,56517.025237317546,21828.114439621557,12.60091831623289,11.728239524548712,402944.32615319674,186.34376849163823,0.9114742948564982,113.17767919500169,1300.7823357452226,29593356.359055065,66684.46361604569,0.663912889608958,49.723313916704484,36313.826007824464,1.0346822500841724e-06,22.257064762962653,27.300000000000146,43.20000000000024,5.290000000000028,24.40000000000013,17564020.00000009,7.894633885145602,6.392742817107742
