date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,population
2022-03-22,11839182.733612621,7369.854567526984,8304.099802480718,251867.23864776583,73.82413529593659,96.76458446521605,19.00512662603074,1.1015545621032645,947007.1794911709,982163.9685698394,0.05272385789137156,1426736614.0000074
2022-03-23,11846243.954265721,7068.116054927728,7990.139503605861,251937.15272532054,69.9140775546933,88.1782167910582,19.05712454289089,1.1142892247448708,950663.1032027365,968901.094559249,0.05126251203520617,1426736614.0000074
2022-03-24,11853007.888517667,6770.795622320562,7678.151270561548,252003.62739143742,66.47466611689272,81.06828379562081,19.107485456295535,1.1278323031740394,958737.2426089057,960773.662790802,0.05004723955323081,1426736614.0000074
2022-03-25,11859491.631352715,6490.385469164476,7373.178684498416,252067.11744079884,63.49004936142528,75.37245040327679,19.155888979099508,1.142136832422548,970048.4496198997,957745.2018603943,0.049116716025621295,1426736614.0000074
2022-03-26,11865727.785602465,6242.400026243113,7081.030144757144,252128.10941220907,60.9919714102093,70.92190890782288,19.2022796948935,1.1570596378915734,983901.0768400071,959502.3183797832,0.04849429202891223,1426736614.0000074
2022-03-27,11871766.71442811,6044.620397833602,6807.674537300898,252187.15728540148,59.04787319243404,67.43440792521113,19.24658291273447,1.1723635713404659,999018.3855065419,965471.7386232357,0.04819634927378508,1426736614.0000074
2022-03-28,11877687.201690523,5925.498701736553,6558.810133098501,252245.00757297195,57.850287570472986,64.5149610828871,19.28904933710421,1.187880467774905,1014641.9325526616,974859.4759616104,0.048215458464711855,1426736614.0000074
2022-03-29,11883502.299425634,5819.34251369738,6337.308325098609,252301.85824921864,56.850676246697745,62.089878536793705,19.330002581367292,1.203448812369642,1030225.5719581306,986747.8634999746,0.048521483958424066,1426736614.0000074
2022-03-30,11889217.142571827,5718.280123799222,6144.474587553765,252357.79937534354,55.94112612490703,60.09347192780543,19.36986958308432,1.2188773332591338,1044775.4463086124,1000192.5212351957,0.04907614852150073,1426736614.0000074
2022-03-31,11894833.192788616,5618.688130987756,5979.887825765525,252412.85995490814,55.060579564591784,58.462658729305986,19.408856776841386,1.2339965584446753,1057648.8180055397,1014322.7648274971,0.04982084765486189,1426736614.0000074
2022-04-01,11900351.421320632,5520.129365855562,5841.279888393318,252467.04307542514,54.1831205170121,57.13291550787161,19.447234534796547,1.2486402759763653,1068524.9919624627,1028390.8441926992,0.050692720421172344,1426736614.0000074
2022-04-02,11905774.69614563,5424.556332730399,5724.445201686076,252520.35226455244,53.30918912725494,56.03524286878354,19.48529532579039,1.2626584552046416,1076494.6136874272,1041618.4812376094,0.05161359332169704,1426736614.0000074
2022-04-03,11911109.572335482,5335.713791241406,5623.172995155968,252572.8112572382,52.45899268577741,55.09388916516239,19.52316848852511,1.2759033436659264,1080335.2964969876,1053235.1591667347,0.052520149742404085,1426736614.0000074
2022-04-04,11916374.012978196,5265.068843754268,5528.82607167403,252624.6729387273,51.86168148912304,54.23833235544911,19.56093567473258,1.288279964116609,1078944.4484231626,1062421.199869558,0.053339853741838694,1426736614.0000074
2022-04-05,11921568.057891387,5194.516063972786,5439.5653795473845,252675.91478807945,51.24184935213647,53.43707408882349,19.59853174958534,1.2996988224733668,1071676.4038674703,1068342.7092589897,0.053998102976062355,1426736614.0000074
2022-04-06,11926688.964717846,5121.260189543914,5354.277067950785,252726.40194432432,50.487156244871656,52.65797977476249,19.635813324147662,1.3101008783288473,1058455.6282399707,1070296.9748983486,0.0544483186670824,1426736614.0000074
2022-04-07,11931733.872310217,5045.172614685414,5272.346539004466,252775.95278338902,49.55083906471393,51.8709538032762,19.67258397501123,1.3194757880291195,1039517.8955012463,1067706.7939404082,0.05465879879345991,1426736614.0000074
2022-04-08,11936701.798269525,4968.1247260431555,5193.488986832542,252824.38810079359,48.43531740454714,51.049945960084884,19.70872757401863,1.3278508617070386,1015364.4553848242,1060112.3829310671,0.05461546302528247,1426736614.0000074
2022-04-09,11941595.137099057,4893.487904584086,5117.622301856798,252871.56799867246,47.17989787887907,50.174456238001675,19.744063780061513,1.3352937700682574,986687.1778669968,1047282.7050069637,0.05432391142539372,1426736614.0000074
2022-04-10,11946420.783819785,4825.758527015963,5044.77174901704,252917.4195510409,45.85155236843538,49.230663445469645,19.77834777040492,1.3419250786824168,954497.8099354783,1029305.8889847005,0.05379836343329876,1426736614.0000074
2022-04-11,11951181.22920293,4760.529237860557,4972.694816772482,252961.98906534954,44.569514308647214,48.18904057052764,19.811513090247157,1.3479507579452341,920226.1466403622,1006631.824253071,0.053064351114082094,1426736614.0000074
2022-04-12,11955877.902073514,4696.735761621022,4901.583447259394,253005.19913579337,43.21007044383194,47.041742127960426,19.843280260477897,1.3534519178448357,885011.1763345067,979965.3542434566,0.05214700283135996,1426736614.0000074
2022-04-13,11960519.973840218,4642.118934984357,4833.134741876356,253047.00681790872,41.80768211535623,45.801897416914144,19.87266963297965,1.3584619183448439,850013.5786309715,950187.91757335,0.05108536524569198,1426736614.0000074
2022-04-14,11965121.99088438,4602.0524203720815,4769.831843414384,253087.42394019337,40.41712228464263,44.49714348931786,19.899499962291326,1.3630519979053703,816134.6886112386,918276.0398606859,0.04993053977137312,1426736614.0000074
2022-04-15,11969702.098851731,4580.134499506605,4714.404597654524,253126.53233782153,39.108397628155586,43.16477487619982,19.924139839203978,1.3673794961665862,783922.6794998003,885212.9519220185,0.04874428491902764,1426736614.0000074
2022-04-16,11974280.7108712,4578.631918586004,4669.425049566044,253164.49527793017,37.96294010864098,41.84810588242464,19.947220748827704,1.3715889207674752,753984.380132285,851969.7314916119,0.04757324277782929,1426736614.0000074
2022-04-17,11978879.508719027,4598.812772165107,4637.004065455083,253201.56602858374,37.07075065355576,40.59374230774613,19.969524643715182,1.3758212962640375,727869.9966376761,819594.3865307979,0.04644059788815548,1426736614.0000074
2022-04-18,11983492.734448142,4613.236922368827,4615.962118903859,253238.17621827073,36.61018968699945,39.45674532163059,19.991778259774133,1.380181259851553,707290.8418706304,789175.1400597026,0.04536293063977537,1426736614.0000074
2022-04-19,11988132.365978334,4639.639925131507,4607.80536099432,253274.38919343834,36.21297516764136,38.45722414959403,20.014948433033602,1.384805789749688,694385.7049485458,761943.0340202141,0.04435025227847412,1426736614.0000074
2022-04-20,11992825.22708558,4692.867403447861,4615.054911986858,253310.20075092913,35.81155749079248,37.60070915938368,20.04004325754834,1.389827839403412,690189.720421171,739111.1778099255,0.043406031161021125,1426736614.0000074
2022-04-21,11997604.441742774,4779.219379347376,4640.364229239019,253345.57056966133,35.369818732186204,36.879742599983835,20.06807009668423,1.3953595673353663,694814.1320418004,721779.8126560876,0.04252721244639615,1426736614.0000074
2022-04-22,12002503.024875293,4898.58667413562,4685.857133144526,253380.44578438922,34.87521472787273,36.27507165587028,20.099941551181594,1.4015154738208544,707697.1455892052,710890.6083285242,0.041704232864208934,1426736614.0000074
2022-04-23,12007549.075427657,5046.05320857522,4752.631326587554,253414.77866602334,34.33288163413989,35.756543237701074,20.136106615874912,1.4083567087916284,727672.8526954602,707131.9913304277,0.0409210317910139,1426736614.0000074
2022-04-24,12012762.17116352,5213.0977280215975,4840.386034533432,253448.5398818708,33.7612158474537,35.283775075334674,20.17677453204196,1.415934952408203,753084.6580413119,710734.2687563868,0.040142454515529384,1426736614.0000074
2022-04-25,12018123.0723287,5360.902659299982,4947.195120276294,253481.7259198068,33.186037936010486,34.79459601238341,20.221157498902215,1.4242286868336267,781696.3106285934,721363.8053488038,0.03936524424799162,1426736614.0000074
2022-04-26,12023648.298024822,5525.226816711582,5073.707211086349,253514.30998607393,32.58406626713396,34.276123479875835,20.26850710284508,1.4331805648989777,811555.2275415821,738102.4839728192,0.038608451608747485,1426736614.0000074
2022-04-27,12029364.31700603,5716.019821648109,5219.871514972818,253546.28951929076,31.97953321683403,33.72858808502004,20.318761872059504,1.4427394960724254,840796.9731610359,759617.9675691437,0.03788313250100152,1426736614.0000074
2022-04-28,12035297.938255507,5933.621879810752,5384.78584291999,253577.69031335335,31.400794062593246,33.16143314521304,20.372138630935414,1.4528745961978247,868062.568817126,784367.8946005824,0.03719434679010154,1426736614.0000074
2022-04-29,12041469.103917893,6171.166135132798,5566.582625564273,253608.56960961135,30.879296257998625,32.59038933854783,20.428380960919753,1.4634961216797215,892467.3075275194,810763.7597675034,0.03654265731300284,1426736614.0000074
2022-04-30,12047885.483998552,6416.380435221618,5762.343425701979,253639.0184160001,30.44880638871556,32.03528069169372,20.48692453775513,1.474436086088494,913093.1727594095,837252.4740757904,0.035925254135366264,1426736614.0000074
