date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,reproduction_rate,new_tests,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,extreme_poverty,population
2021-06-03,5212732.8273529615,8267.435269341568,9118.43077259696,46762.505784084424,165.4775160572729,186.32671320046722,0.35000000000000175,0.7575077589952168,219925.88929270895,0.03672865069382079,28.171390519004568,19.674783633039794,221259.00191705098,211287.40387516818,0.13844355874510428,71.80568557657676,31.600000000000176,0.200000000000001,85341248.00000045
2021-06-04,5220732.187903222,7999.360550260872,8819.719402653936,46920.13964834134,157.63386425691738,179.21690626428082,0.35000000000000175,0.7664625904164202,220040.99046662316,0.035690314781839455,28.97119479617008,19.841584492717818,231863.13850954038,214154.22945776623,0.14357345768197,71.09622248883215,31.600000000000176,0.200000000000001,85341248.00000045
2021-06-05,5228478.989133629,7746.801230407364,8540.773941292338,47069.96520813713,149.82555979579098,172.07093066782943,0.35000000000000175,0.7754969104916956,220133.98565862962,0.03474705088922385,29.7490295812905,20.026164613882283,247936.86488732698,219742.62422648593,0.15123907839399225,70.38841848265524,31.600000000000176,0.200000000000001,85341248.00000045
2021-06-06,5236003.726918102,7524.737784473276,8280.400812304106,47212.518589360836,142.55338122370185,164.95341632666413,0.35000000000000175,0.7845973111816363,220221.48224655818,0.033901593919988385,30.500699141365466,20.236010499842898,270452.5688658836,228808.71327329078,0.16234947686272133,69.70194896218544,31.600000000000176,0.200000000000001,85341248.00000045
2021-06-07,5243363.167134285,7359.440216183021,8035.2176434879475,47349.35991810343,136.8413287425988,157.89003170201187,0.35000000000000175,0.7937375761464094,220294.2036047638,0.0331511469590605,31.22371116921096,20.478514985418727,299243.10389569635,242007.58994850435,0.17774820978020225,69.05568731957065,31.600000000000176,0.200000000000001,85341248.00000045
2021-06-08,5250562.140008123,7198.97287383734,7805.1921020406635,47480.41848414971,131.05856604628346,150.91073757741407,0.35000000000000175,0.8029070929048955,220347.33964604244,0.03248553216499677,31.915968574064053,20.76159519187597,334646.1928054186,259923.08762944592,0.1983076020668909,68.46625870234776,31.600000000000176,0.200000000000001,85341248.00000045
2021-06-09,5257601.69823493,7039.5582268065855,7590.900911210534,47605.48183337738,125.06334922766686,144.0659004681286,0.35000000000000175,0.8120854586573412,220394.30001572153,0.03191052921424536,32.57595671496955,21.093950110778373,377401.0109259781,283257.3648979091,0.22501803186691066,67.9469553389781,31.600000000000176,0.200000000000001,85341248.00000045
2021-06-10,5264483.5086794365,6881.810444507017,7392.954486736934,47724.38359545973,118.90176208235339,137.41209616557626,0.35000000000000175,0.8212497759581008,220440.55901308428,0.03142966484862847,33.20167988270426,21.482778032340438,426126.547706443,312524.16174712335,0.25856604490858687,67.50692303299901,31.600000000000176,0.200000000000001,85341248.00000045
2021-06-11,5271213.146150826,6729.637471389321,7211.565414180053,47837.144354642696,112.76075918296749,131.00146239567556,0.35000000000000175,0.8303696202685121,220491.8277278161,0.03104316007797107,33.790914081388294,21.93376193408083,479492.0111515203,347899.72098713694,0.29926406180038057,67.15055103363753,31.600000000000176,0.200000000000001,85341248.00000045
2021-06-12,5277802.563734006,6589.4175831800085,7046.224806918177,47944.0773028276,106.93294818489866,124.87371331259392,0.35000000000000175,0.8394048816525812,220557.6784881701,0.030747140582072396,34.342426026458206,22.450866699429433,536044.5571354576,389057.96984507225,0.34685383174136564,66.87701443877057,31.600000000000176,0.200000000000001,85341248.00000045
2021-06-13,5284271.945538068,6469.381804062455,6895.459574645655,48045.86747938321,101.79017655561012,119.05015036906097,0.35000000000000175,0.8482931570377564,220641.1612255332,0.03053304451218459,34.85448920310162,23.036330535237912,594289.5235723441,435320.40191515593,0.40059108485967726,66.67993099714525,31.600000000000176,0.200000000000001,85341248.00000045
2021-06-14,5290656.018526538,6384.07298847025,6756.121315922841,48143.880780836764,98.01330145355323,113.50305282204472,0.35000000000000175,0.8569650196852352,220737.7020439078,0.030399783384138485,35.32719366380009,23.689755173568095,652013.6877826853,485716.2140252496,0.4593484526234273,66.5471037100439,31.600000000000176,0.200000000000001,85341248.00000045
2021-06-15,5296959.015510942,6302.996984403762,6628.124693632508,48238.205058801526,94.32427796476102,108.25508324937142,0.35000000000000175,0.8653433510599845,220832.34839783097,0.030327148462473655,35.76253325689989,24.407469095108233,706348.284890021,538816.5317212653,0.5214647977739709,66.46032778253301,31.600000000000176,0.200000000000001,85341248.00000045
2021-06-16,5303182.299044332,6223.283533390096,6511.513983055676,48328.8133610049,90.6083022033705,103.33275377510239,0.35000000000000175,0.8733801700499993,220918.0961561628,0.03028059082326123,36.16383433181524,25.18505172436935,756710.7528562694,593003.6589073043,0.5850480165593093,66.39524583689986,31.600000000000176,0.200000000000001,85341248.00000045
2021-06-17,5309326.815896055,6144.516851723252,6406.1863232646165,48415.680059538485,86.86669853358809,98.7561812007516,0.35000000000000175,0.8810249465420257,221000.06810936547,0.030239531675946285,36.53464691886795,26.01704477259186,801800.8500494431,646671.4393808672,0.6482885980691276,66.346434377675,31.600000000000176,0.200000000000001,85341248.00000045
2021-06-18,5315394.937907827,6068.122011772409,6311.6841556676045,48498.867947045655,83.18788750717243,94.53140335369892,0.34960924369748075,0.888250771962112,221086.55646340776,0.030182880819015347,36.87913483362419,26.89797524072383,841764.6323657844,698424.6946455417,0.7096068816481624,66.35241822023113,31.600000000000176,0.200000000000001,85341248.00000045
2021-06-19,5321391.842635791,5996.904727963122,6227.039552917486,48578.5935588622,79.7256118165462,90.6446163484999,0.3483560924369766,0.8950256678532917,221183.0630812342,0.030090780523763815,37.20138732431322,27.820720926341235,875262.365806337,746884.4035471827,0.7674398089413591,66.40659727861882,31.600000000000176,0.200000000000001,85341248.00000045
2021-06-20,5327326.548832053,5934.706196263235,6150.6574655931,48655.276164621835,76.68260575963018,87.05785253286824,0.34640604799612335,0.9013393866365764,221280.78357466223,0.029945913447121542,37.50599362833516,28.776067036061722,901373.7163715608,790753.5920430644,0.820156618179841,66.4739883597399,31.600000000000176,0.200000000000001,85341248.00000045
2021-06-21,5333217.166585263,5890.61775320907,6080.164060571691,48729.70560439728,74.42943977544348,83.68882298077604,0.3441070570054963,0.9071987869069746,221372.6950985794,0.029734483566272032,37.79736852441884,29.753308357201476,919147.5948093765,828915.5920284211,0.8662978126975842,66.50378150897761,31.600000000000176,0.200000000000001,85341248.00000045
2021-06-22,5339065.2404205315,5848.0738352688,6015.175298984045,48801.948660311595,72.24305591432349,80.53451914249874,0.34213846987112334,0.9126238800961988,221479.44866717985,0.029446951879616795,38.07932568226053,30.741427938877237,928739.1016661804,860685.7190051568,0.9048238766531185,66.43875726941914,31.600000000000176,0.200000000000001,85341248.00000045
2021-06-23,5344869.720910106,5804.480489573781,5955.346605944571,48872.01097810383,70.06231779223916,77.5995899063247,0.34178290864122274,0.917618524163941,221602.2045676121,0.02907858818249867,38.35528934896113,31.728364586995724,929837.7978559715,885418.1614904559,0.9346434407800794,66.22234962627259,31.600000000000176,0.200000000000001,85341248.00000045
2021-06-24,5350628.817751106,5759.096841000641,5900.286958983323,48939.90115536204,67.8901772582066,74.88891010912306,0.34501429848156395,0.9222056513647153,221736.3108756124,0.028629884898994276,38.62937909963299,32.70203588368576,923007.6810842876,902733.4257558524,0.9548250175598509,65.80394321517964,31.600000000000176,0.200000000000001,85341248.00000045
2021-06-25,5356341.38957384,5712.571822734975,5849.494454370015,49005.678807698074,65.77765233602737,72.40200691926967,0.3544329927687365,0.9264252469268991,221876.08546763397,0.02810686745575835,38.90578513274031,33.65170596900225,909860.3011493514,912461.3777040916,0.9646161775202451,65.14284622845011,31.600000000000176,0.200000000000001,85341248.00000045
2021-06-26,5362007.986298035,5666.596724194096,5802.307981857028,49069.490618378666,63.811810680592046,70.12887962384147,0.3731967549191515,0.930340590010948,222013.16912658227,0.02752132706240703,39.18962327101619,34.568308726913344,892391.812804484,914908.4374312698,0.9637514026941606,64.2112700947378,31.600000000000176,0.200000000000001,85341248.00000045
2021-06-27,5367631.630900004,5623.644601969109,5757.87098073667,49131.59737554877,62.10675717010798,68.0468644690124,0.40473563988037914,0.9340506913769907,222145.48264648838,0.026890995296805303,39.486467614865305,35.44462617996205,872611.0329550125,910799.4770876747,0.9525081221563684,62.99656423879745,31.600000000000176,0.200000000000001,85341248.00000045
2021-06-28,5373222.199855683,5590.56895567852,5715.007198060592,49192.490048468375,60.89267291959787,66.11324127354348,0.4521320466523666,0.9376711794894346,222272.09351363196,0.026227070002015775,39.80062317398032,36.27539109586364,851893.7300168423,901191.7742507928,0.9316396565817249,61.50289215130243,31.600000000000176,0.200000000000001,85341248.00000045
2021-06-29,5378779.303253114,5557.103397431166,5673.440276535108,49252.21585567908,59.72580721070688,64.3252048724169,0.5177779296240529,0.9413645675517895,222394.1333866787,0.02553584871999926,40.13267972696235,37.058331460230036,832001.6888668668,887372.1340171196,0.9023866590490939,59.752488441207994,31.600000000000176,0.200000000000001,85341248.00000045
2021-06-30,5384300.833613082,5521.530359967371,5633.019060827324,49310.76787107419,58.55201539510199,62.68095358967152,0.6033287607280602,0.9453102711712772,222519.19065086904,0.024830942777879245,40.48123248429745,37.79408408321395,814630.3411976624,870913.9135218906,0.8665529225350438,57.786601625023714,31.600000000000176,0.200000000000001,85341248.00000045
2021-07-01,5389784.455235675,5483.621622593506,5593.665636118238,49368.12764861922,57.359777545033744,61.17662324008823,0.7096276306624008,0.9496772735142058,222653.47529261233,0.02411722776860662,40.842551706468136,38.4842653894952,800127.3793145374,853359.5704193765,0.8261105548618526,55.66620121876785,31.600000000000176,0.200000000000001,85341248.00000045
2021-07-02,5395228.721210215,5444.265974540483,5555.33635701758,49424.29719089241,56.16954227319037,59.803987630454095,0.8368214017298339,0.9546592156398575,222806.94735504457,0.023414520697172515,41.21088760014851,39.13070922311694,788178.1812700024,835976.3957039969,0.7828416427139404,53.42991561995831,31.600000000000176,0.200000000000001,85341248.00000045
2021-07-03,5400633.911172698,5405.189962482616,5517.992619249941,49479.32292549,55.0257345975884,58.54873393551033,0.9847894514266599,0.9604354265973798,222987.76366754426,0.022750612565542637,41.57662723857298,39.73452480680124,779272.7924004666,819816.5217618383,0.7381965196889791,51.0996173872377,31.600000000000176,0.200000000000001,85341248.00000045
2021-07-04,5406002.659623874,5368.7484511767725,5481.578938419363,49533.313687330236,53.990761840240495,57.389169229913364,1.1525489405415552,0.9671989034968402,223186.33697173157,0.022156042811358037,41.92710197385546,40.29664457471961,772678.0376584635,805540.3675010825,0.6933354957783705,48.72174406822407,31.600000000000176,0.200000000000001,85341248.00000045
2021-07-05,5411328.425907312,5325.7662834375315,5443.750030091194,49586.523533112486,53.20984578224896,56.29146887460058,1.338142797843144,0.9751136249400201,223407.85353681448,0.0216601801369607,42.246708186920415,40.81913614597189,768720.8562011855,793658.5193071316,0.6493073749042375,46.35569638342409,31.600000000000176,0.200000000000001,85341248.00000045
2021-07-06,5416612.075264364,5283.649357051329,5404.685205018306,49638.96028073295,52.43674762046184,55.250008410960206,1.5390183782789348,0.9843045141154884,223680.18488435005,0.0212882831311627,42.51897910399128,41.30344955614995,766083.1718373802,784241.5814325152,0.6066314684761749,44.06513686416799,31.600000000000176,0.200000000000001,85341248.00000045
2021-07-07,5421863.448691331,5251.373426967561,5366.091388088236,49690.59933142891,51.639050695954076,54.26226632761259,1.7521189873291139,0.9948604153215886,224054.62145253242,0.021059295735573087,42.7276231450588,41.75107763252946,764309.3368935501,777052.8592159518,0.5654391798962397,41.91146383106076,31.600000000000176,0.200000000000001,85341248.00000045
2021-07-08,5427098.066802927,5234.618111596072,5330.519479172196,49741.4129439499,50.81361252099601,53.326917101882756,1.9738078894948998,1.0068237213166615,224551.13405966465,0.020971588802326257,42.85694231031323,42.16453689278759,762860.6782034539,771729.0370105428,0.5258639679861752,39.9489168778205,31.600000000000176,0.200000000000001,85341248.00000045
2021-07-09,5432334.65772987,5236.590926942052,5300.8516237618305,49791.392190186154,49.97924623625451,52.4424009809047,2.200017197017753,1.0202073191064376,225094.22803343658,0.02102798054809249,42.891106862017466,42.54637794431602,760517.7178154874,767777.5336725817,0.48800673487780255,38.22090598415728,31.600000000000176,0.200000000000001,85341248.00000045
2021-07-10,5437593.3030420765,5258.645312207193,5279.916665946784,49840.56342188984,49.171231703693856,51.60585131744976,2.4263967051324205,1.034983705231575,225613.7387206175,0.021229776619860606,42.81609355957069,42.899105048411606,756775.9827378285,764563.6936933515,0.45206726835292255,36.75725835043216,31.600000000000176,0.200000000000001,85341248.00000045
2021-07-11,5442894.047191067,5300.744148990567,5270.201738147878,49889.00062071609,48.43719882625139,50.81229007179779,2.648323223742662,1.0511015475080394,226048.9994509353,0.021572300144274928,42.61948290400258,43.2247841838524,750179.509483883,761349.606275186,0.41819831810373564,35.57215352365157,31.600000000000176,0.200000000000001,85341248.00000045
2021-07-12,5448218.779381672,5324.732190605247,5270.053966022034,49936.77793806461,47.777317348518594,50.03601183309857,2.861122669907842,1.0684985911416969,226344.32056428454,0.022028934222621227,42.29109892654756,43.5257995147478,739729.8218834369,757208.0165195772,0.3864622485971945,34.66257474196303,31.600000000000176,0.200000000000001,85341248.00000045
