date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,reproduction_rate,icu_patients,hosp_patients,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_65_older,median_age,female_smokers,male_smokers,life_expectancy,population,excess_mortality_cumulative,excess_mortality
2022-04-20,79832039.15032598,35111.9196178353,32755.960204548726,982776.9721447071,440.8572273533079,471.2954204255979,32.78062665670143,1.172794154435664,1513.3391229473707,10580.911301313396,689925.1146814472,705388.7602448153,0.048256713712171564,21.502433349059174,77.31321935538287,450123.3590058294,467181.6333342548,0.019637981423973473,29.38749486059928,15.410000000000078,38.300000000000196,19.1000000000001,24.60000000000013,78.86000000000041,338289856.0000018,16.471110191972265,1.1927599627867775
2022-04-21,79868189.67662631,36150.526300319005,33566.67485331463,983207.0957374909,430.123592783889,460.6289956682617,32.880547723618555,1.181390056680014,1507.254229088358,10695.078934937874,691489.9074234974,699797.8285061722,0.04976396385555733,20.801724817870685,77.32882725086176,443552.3955310371,461902.9600847253,0.019374575272892866,29.261293414357063,15.410000000000078,38.300000000000196,19.1000000000001,24.60000000000013,78.86000000000041,338289856.0000018,16.450063297779202,1.2020000979865972
2022-04-22,79905516.59560817,37326.918981865034,34445.301748260106,983625.9924721564,418.89673466548675,450.0725332734981,32.97893664921041,1.189833751301221,1503.9885709759346,10827.40865175287,695504.6133568936,696308.9201837671,0.05124152492786717,20.157410290843245,77.34423113627183,437203.2358693515,456143.69404544507,0.019024305727455712,29.130512239177662,15.410000000000078,38.300000000000196,19.1000000000001,24.60000000000013,78.86000000000041,338289856.0000018,16.429207852870853,1.2142931137829898
2022-04-23,79944103.63534555,38587.039737368454,35389.876151369666,984033.6811673054,407.6886951490833,439.649522288673,33.075847121684845,1.1979737297655102,1503.499686150505,10977.161950999543,701665.1660616272,695120.1943556673,0.05271508034748417,19.564379631513194,77.35943951251426,431120.5257061512,450076.5480874134,0.01858917305771204,28.99589791564702,15.410000000000078,38.300000000000196,19.1000000000001,24.60000000000013,78.86000000000041,338289856.0000018,16.40857961298865,1.2298099944778234
2022-04-24,79983956.78929207,39853.15394652996,36394.15316782595,984430.8725270642,397.1913597587102,429.3793611735189,33.17127787520033,1.2056121654560024,1505.5580386917431,11143.305270618775,709563.6760652906,696286.5753239589,0.054211164817820706,19.018061711353084,77.37446683542007,425175.8645608034,443849.90193498536,0.018076333574796658,28.85966115489949,15.410000000000078,38.300000000000196,19.1000000000001,24.60000000000013,78.86000000000041,338289856.0000018,16.388211697459674,1.24861409080404
2022-04-25,80024778.65497822,40821.86568614187,37440.71569923733,984818.8544437804,387.9819167162536,419.08020623889854,33.2652610890118,1.2125772559601353,1510.037921391143,11324.843432602107,718838.7257302877,699711.2322848253,0.05573384226236368,18.512322948026796,77.38931376586703,419423.32535984035,437617.82682292676,0.01749842665168575,28.72481180024059,15.410000000000078,38.300000000000196,19.1000000000001,24.60000000000013,78.86000000000041,338289856.0000018,16.36813178537661,1.270638546986893
2022-04-26,80066634.33693513,41855.68195691416,38529.58629866852,985197.5812497727,378.726805992265,408.7804348989547,33.357878266661935,1.2187396646591788,1516.8258230730944,11520.7799080004,729113.5297695978,705157.2446079316,0.057270323519655844,18.03913393694126,77.40400067669515,413981.05827327445,431511.32396334945,0.016873819988764333,28.594660078364065,15.410000000000078,38.300000000000196,19.1000000000001,24.60000000000013,78.86000000000041,338289856.0000018,16.348362690727004,1.2954048960190987
2022-04-27,80109687.60190961,43053.264974473015,39664.06420477068,985567.408238559,369.8269887863777,398.6333777256063,33.44917324427574,1.224073656057411,1525.7614810734074,11729.39855414188,739928.4210828557,712300.58607392,0.05881828885822937,17.588844634994267,77.41853185852341,408775.9354793584,425604.5547048979,0.016214188520985034,28.47241781248996,15.410000000000078,38.300000000000196,19.1000000000001,24.60000000000013,78.86000000000041,338289856.0000018,16.32892586419912,1.3226945899199498
2022-04-28,80154128.45199794,44440.85008832089,40848.39615099242,985929.1017994765,361.69356091751484,388.8578674894218,33.53919295841693,1.2286067934328466,1536.7126912834028,11949.307060402807,750856.0831198351,720781.4811359193,0.060381654588080654,17.153236579025297,77.43291699344017,403702.34546860144,419911.6984624167,0.015526187609226187,28.362711872618963,15.410000000000078,38.300000000000196,19.1000000000001,24.60000000000013,78.86000000000041,338289856.0000018,16.309838848237092,1.352655904116943
2022-04-29,80200118.8044963,45990.35249836743,42086.02947248807,986283.8470186456,354.74521916906747,379.693650940273,33.62794126050635,1.2324326322433503,1549.553571468372,12179.10975554776,761510.9157335425,730210.9656192322,0.06195479297725968,16.72610390485723,77.44716253499621,398697.69247249234,414410.9186755138,0.014823696944799425,28.267694053139117,15.410000000000078,38.300000000000196,19.1000000000001,24.60000000000013,78.86000000000041,338289856.0000018,16.291113599193817,1.3854758601220614
2022-04-30,80247751.75178863,47632.94729232768,43378.30193629889,986633.2533796934,349.4063610477771,371.36794764282644,33.71541409017618,1.2356982621592436,1563.9745515812424,12417.491107869631,771645.34992233,740208.1479862416,0.06355901651704311,16.30234457376253,77.46126475839012,393656.0040182353,409058.85841516854,0.014124398435813548,28.187583888270666,15.410000000000078,38.300000000000196,19.1000000000001,24.60000000000013,78.86000000000041,338289856.0000018,16.272755459807243,1.4215053621706875
