date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_boosters_per_hundred,reproduction_rate,icu_patients,weekly_hosp_admissions,new_tests_smoothed,positive_rate,tests_per_case,total_vaccinations_per_hundred,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,gdp_per_capita,diabetes_prevalence,hospital_beds_per_thousand,population,excess_mortality_cumulative,excess_mortality
2022-06-07,26411474.614623696,34827.94175336478,33323.4735872463,142989.9212233196,33.36721989351497,33.90208035061266,314099.8858320769,67.60797046173968,1.040320962660051,648.9732338819936,3124.4575050480253,82952.61670483346,0.3334903502327763,3.026911984602177,218.4698390060205,77.62129947758979,28758.426754503816,29164.542855062457,1.7352576537377837e-11,14.560000239422392,46.600000000000236,45229.240000000245,8.310000000000043,8.00000000000004,83369840.00000045,4.154346722244896,3.102431732419366
2022-06-08,26447384.96209903,35910.34747533392,33724.48969027317,143023.69015795534,33.768934635714814,33.6353083237223,314526.9523078008,67.63900418761061,1.0710109223828872,644.8542466784644,3200.3194054505357,83474.65548272993,0.340739888447969,2.9708299391396045,218.50406719892422,77.6225411886708,28717.442286304533,28964.108417961394,1.3014432403033378e-11,14.560000179566813,46.600000000000236,45229.240000000245,8.310000000000043,8.00000000000004,83369840.00000045,4.154622702132473,3.318580702075635
2022-06-09,26484628.673335783,37243.7112367526,34378.62652917875,143058.15399532515,34.46383736980491,33.61249400943689,314969.8758549623,67.669941731529,1.10078162423707,641.9805686546152,3291.0369845985724,84068.10339291376,0.34838931932794326,2.912278424435047,218.53818097450053,77.62379438536229,28602.388017249446,28830.133882960417,9.760824302275034e-12,14.56000013467513,46.600000000000236,45229.240000000245,8.310000000000043,8.00000000000004,83369840.00000045,4.155318536434064,3.575444899536693
2022-06-10,26523407.753628246,38779.080292464314,35267.95979103408,143093.59314678493,35.43915145980364,33.838729104362784,315431.05872541736,67.70064343503986,1.1293169874085733,640.4162603629727,3394.16296792534,84686.51372762016,0.3562234005219068,2.85302749964497,218.57204313229784,77.62504326801343,28368.576307054773,28715.943851134376,7.320618226706276e-12,14.560000101006368,46.600000000000236,45229.240000000245,8.310000000000043,8.00000000000004,83369840.00000045,4.156432179636479,3.868584690443458
2022-06-11,26563836.92406091,40429.170432664396,36360.54412010173,143130.23787883486,36.64473204992712,34.30542207067679,315911.8651403789,67.73109052715265,1.1563582964711054,640.2780970175439,3507.1782052588133,85289.54218000741,0.3640332812991784,2.794734148604818,218.6056606620873,77.62628245101018,28130.559476574246,28598.567455254506,5.4904636700297065e-12,14.560000075754797,46.600000000000236,45229.240000000245,8.310000000000043,8.00000000000004,83369840.00000045,4.1579600891091175,4.193586430843959
2022-06-12,26605914.872909974,42077.948849062035,37608.93144414875,143168.2402869544,38.00240811953978,34.98711745798502,316412.27940505836,67.76137946614674,1.1815946758116374,641.6285630669727,3629.3340417915624,85846.25177075228,0.3716312958160133,2.738820488635259,218.6391359296621,77.62751435926614,27968.493427728074,28475.122116974206,4.11784775252228e-12,14.560000056816117,46.600000000000236,45229.240000000245,8.310000000000043,8.00000000000004,83369840.00000045,4.159898638260415,4.54638067639736
2022-06-13,26649196.655118845,43281.78220887158,38935.70900069404,143207.2990742981,39.05878734369497,35.8207322434565,316927.0098391853,67.7916488530038,1.2046549596706237,644.4506078205924,3760.1546037418675,86338.3139411865,0.37886713702038155,2.6863454892948058,218.6725969375507,77.62874727559063,27924.63964093184,28352.893914815373,3.08838581439171e-12,14.560000042612108,46.600000000000236,45229.240000000245,8.310000000000043,8.00000000000004,83369840.00000045,4.162245407266746,4.923594654033646
2022-06-14,26693771.826520167,44575.17140132085,40328.1702770235,143247.5597291239,40.2606548258062,36.80525231769262,317457.12144467706,67.82204982656614,1.2252707931207785,648.671488509272,3899.1994046486825,86762.549466879,0.38562885955261705,2.6379798668095047,218.70620594492158,77.62999387621474,28022.04018641967,28247.701706311957,2.3162893607937825e-12,14.5600000319591,46.600000000000236,45229.240000000245,8.310000000000043,8.00000000000004,83369840.00000045,4.165009385582119,5.324905820611124
2022-06-15,26739882.46922759,46110.64270742251,41785.35526739924,143289.33773478755,41.77800566363396,37.949169684294084,318005.49322507257,67.85272224387428,1.2432672512723892,654.2651386831831,4046.9255877463756,87120.11917837529,0.39181484348245205,2.5942820651269862,218.74014120723706,77.63124540716116,28258.006772006127,28182.07765336038,1.7372170205953368e-12,14.560000023969346,46.600000000000236,45229.240000000245,8.310000000000043,8.00000000000004,83369840.00000045,4.168198815897279,5.7499676653937115
2022-06-16,26787818.56992332,47936.10069572533,43312.83948949584,143333.00173354076,43.66399875322004,39.26327884693103,318575.5739482166,67.88382351871705,1.258494879307558,661.3096490996539,4204.321954222845,87415.5096811313,0.39734402576910255,2.5556466767425556,218.7745706759517,77.63250063584933,28633.72676614103,28186.564655663504,1.3029127654465027e-12,14.56000001797703,46.600000000000236,45229.240000000245,8.310000000000043,8.00000000000004,83369840.00000045,4.1718150321372045,6.1970629685484795
2022-06-17,26837839.55357375,50020.98365043014,44918.825746727634,143378.88589938008,45.88416583931718,40.75527409964565,319170.4489682735,67.91547462029192,1.2708320515297977,669.8395089643665,4371.469212919888,87655.47477862495,0.4021624195484546,2.522277301397533,218.80961756740362,77.63375136570417,29112.457922052483,28292.843271967446,9.77184574084877e-13,14.560000013482792,46.600000000000236,45229.240000000245,8.310000000000043,8.00000000000004,83369840.00000045,4.175848992267098,6.662373780109773
2022-06-18,26890115.433716223,52275.88014247686,46611.21294999408,143427.22421768328,48.338318303211295,42.42569749457917,319792.1403422366,67.94773880296952,1.2802242325710735,679.8080577090548,4547.79471835185,87847.94241234634,0.40624684929057786,2.4941777331817754,218.8453411652104,77.63499629738747,29661.501958022924,28511.558455914863,7.328884305636578e-13,14.560000010112114,46.600000000000236,45229.240000000245,8.310000000000043,8.00000000000004,83369840.00000045,4.180279832204762,7.139713939293257
2022-06-19,26944682.675174084,54567.241457859665,48395.397733988844,143478.10119493687,50.87697725358826,44.264899817767024,320441.0819173114,67.98067320371399,1.2867541472789856,691.1468642255542,4731.682189377987,88000.89573944733,0.4096065978599831,2.471156893939341,218.8817773671208,77.63623930448867,30254.417111697585,28838.127503862495,5.496663229227434e-13,14.560000007584106,46.600000000000236,45229.240000000245,8.310000000000043,8.00000000000004,83369840.00000045,4.185074935562756,7.620608499072412
2022-06-20,27001147.66462236,56464.98944827525,50278.71318623831,143531.1527061576,53.05151122073426,46.26392098485087,321112.59281451924,68.01431711998015,1.2906444727733974,703.787782299742,4921.665407385793,88121.23481363538,0.4122834875029388,2.452844076401503,218.91894226903838,77.63748814029292,30869.514385163024,29258.83140682387,4.1224974219205756e-13,14.5600000056881,46.600000000000236,45229.240000000245,8.310000000000043,8.00000000000004,83369840.00000045,4.190191140262894,8.094633329701866
