date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_tests,reproduction_rate,new_tests_smoothed,positive_rate,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_65_older,median_age,cardiovasc_death_rate,male_smokers,population
2021-05-30,3986.3502012926124,3.4847745314291716,3.742006126555464,46.74783355735486,0.06776638775279221,0.09586871816168421,585575.000000003,0.823427945937006,950.000000000005,0.16000000000000086,27.616201152426907,1104.4336194207067,1293.2898499008438,0.07513094882553441,66.44540567929113,14.95000000000008,39.80000000000021,170.05000000000092,14.500000000000076,281646.0000000015
2021-05-31,3989.8050233030135,3.4548220104012306,3.6580576007343146,46.80623715896644,0.0584039763349562,0.08672506803302796,585575.000000003,0.8208301708296142,950.000000000005,0.16000000000000086,27.743079112542585,1044.7361443220493,1242.340674432745,0.08708366733990082,66.37648121486598,14.95000000000008,39.80000000000021,170.05000000000092,14.500000000000076,281646.0000000015
2021-06-01,3993.231110722256,3.4260874192424273,3.586846529574658,46.85500107543045,0.048764197506550075,0.07716144808359457,585575.000000003,0.8181646449289344,950.000000000005,0.16000000000000086,27.884507459810983,989.3308089525917,1191.5047139693565,0.09989468327803505,66.25308650908104,14.95000000000008,39.80000000000021,170.05000000000092,14.500000000000076,281646.0000000015
2021-06-02,3996.6125702750523,3.3814595527964015,3.5243231647957365,46.894159662422936,0.03915879777438574,0.06737787339301272,585575.000000003,0.8155964959785377,950.000000000005,0.16000000000000086,28.040151764864742,939.7767589445677,1141.7802646302184,0.11331823288515869,66.07913517916059,14.95000000000008,39.80000000000021,170.05000000000092,14.500000000000076,281646.0000000015
2021-06-03,3999.924553756715,3.311983481662593,3.465667712963323,46.924142694457856,0.029983190121351682,0.05762616522575506,585575.000000003,0.8133135646148029,950.000000000005,0.16000000000000086,28.20947629940813,897.9464886223464,1094.2205087506225,0.12710551370717887,65.85688855308418,14.95000000000008,39.80000000000021,170.05000000000092,14.500000000000076,281646.0000000015
2021-06-04,4003.139375239972,3.2148214832572912,3.405806052983647,46.94583811328043,0.02248739259101376,0.04817437505053804,585575.000000003,0.8115223421747426,950.000000000005,0.16000000000000086,28.39171145855743,862.5128238035417,1049.7011120089926,0.14100302021897523,65.58871651177509,14.95000000000008,39.80000000000021,170.05000000000092,14.500000000000076,281646.0000000015
2021-06-05,4006.2310989800817,3.0917237401094235,3.339796524223842,46.960639089162065,0.01686554444326032,0.03928010255487187,585575.000000003,0.8104148658747555,950.000000000005,0.16000000000000086,28.58594519702089,832.511697145913,1008.9747512659569,0.15473788248808432,65.27841812074155,14.95000000000008,39.80000000000021,170.05000000000092,14.500000000000076,281646.0000000015
2021-06-06,4009.178980343664,2.9478813635823946,3.2631200176022745,46.97047931687161,0.01264915833244524,0.031170484155972913,585575.000000003,0.8101358100395519,950.000000000005,0.16000000000000086,28.791123248121238,809.6851626461197,972.8793504565795,0.1680155967400131,64.9322121038077,14.95000000000008,39.80000000000021,170.05000000000092,14.500000000000076,281646.0000000015
2021-06-07,4011.986433059951,2.807452716287316,3.170637039704619,46.977859487653774,0.00948686874933393,0.024027184383948012,585575.000000003,0.810858483256879,950.000000000005,0.16000000000000086,29.005774562787803,794.1604783194324,941.9152497525845,0.18056098650135788,64.55247129505042,14.95000000000008,39.80000000000021,170.05000000000092,14.500000000000076,281646.0000000015
2021-06-08,4014.6389359779037,2.6525029179524005,3.0600939724093665,46.983394615740394,0.007115151562000448,0.018020388287961008,585575.000000003,0.8127749225590146,950.000000000005,0.16000000000000086,29.228200185180746,787.0691413295344,916.4473293635667,0.19210432100077632,64.13913336786192,14.95000000000008,39.80000000000021,170.05000000000092,14.500000000000076,281646.0000000015
2021-06-09,4017.118891705476,2.479955727572254,2.9312445258487223,46.98754596180536,0.0053363636715003365,0.013515291215970756,585575.000000003,0.8160978370388484,950.000000000005,0.16000000000000086,29.456563842828714,788.8835140449864,896.7589617931999,0.2024219705501947,63.696868771856444,14.95000000000008,39.80000000000021,170.05000000000092,14.500000000000076,281646.0000000015
2021-06-10,4019.4117285722605,2.2928368667845582,2.7855563743477605,46.990659471354085,0.004002272753625252,0.010136468411978067,585575.000000003,0.8209995251611673,950.000000000005,0.16000000000000086,29.689229281604447,800.1988023081431,883.0582000132915,0.2113689989210497,63.23344828218912,14.95000000000008,39.80000000000021,170.05000000000092,14.500000000000076,281646.0000000015
2021-06-11,4021.51047710147,2.0987485292093,2.6259911333787938,46.992994603515626,0.003001704565218939,0.007602351308983551,585575.000000003,0.8276127660428223,950.000000000005,0.16000000000000086,29.924477391067633,818.6724479926901,875.4658542762917,0.21882054363164088,62.75851866154496,14.95000000000008,39.80000000000021,170.05000000000092,14.500000000000076,281646.0000000015
2021-06-12,4023.419202363923,1.9087252624531952,2.4568393422771493,46.994745952636784,0.0022512784239142043,0.005701763481737663,585575.000000003,0.8360672021985691,950.000000000005,0.16000000000000086,30.160692400120418,842.6949145336268,873.9742452644274,0.22468942194480407,62.282684406630686,14.95000000000008,39.80000000000021,170.05000000000092,14.500000000000076,281646.0000000015
2021-06-13,4025.155578243536,1.736375879613007,2.2835967012780003,46.99605946447765,0.0016884588179356531,0.0042763226113032475,585575.000000003,0.846483013155069,950.000000000005,0.16000000000000086,30.396355919353446,869.368018479407,877.9724421900801,0.22890200504942432,61.816819058043556,14.95000000000008,39.80000000000021,170.05000000000092,14.500000000000076,281646.0000000015
2021-06-14,4026.7250870440025,1.5695088004660591,2.106568728285587,46.99704459835831,0.0012663441134517397,0.003207241958477436,585575.000000003,0.8589483943200845,950.000000000005,0.16000000000000086,30.63000611210724,896.0448029136398,886.6160640278231,0.23146415731001618,61.37154868267302,14.95000000000008,39.80000000000021,170.05000000000092,14.500000000000076,281646.0000000015
2021-06-15,4028.1307900729234,1.4057030289209742,1.9282693063951877,46.99778344876879,0.0009497580850888048,0.002405431468858077,585575.000000003,0.8734498219197673,950.000000000005,0.16000000000000086,30.860550802567868,921.7865272013917,898.8909264953353,0.23247400679957775,60.95686448550194,14.95000000000008,39.80000000000021,170.05000000000092,14.500000000000076,281646.0000000015
2021-06-16,4029.3976885469415,1.2668984740178164,1.7547855286005294,46.99833758657666,0.0007123185638166036,0.0018040736016435577,585575.000000003,0.8898635461424771,950.000000000005,0.16000000000000086,31.08721788537779,945.487325911711,913.6510811029184,0.23209516250110573,60.58765579786926,14.95000000000008,39.80000000000021,170.05000000000092,14.500000000000076,281646.0000000015
2021-06-17,4030.565784186553,1.168095639611618,1.5939147767024993,46.99875318993256,0.0005342389228624527,0.0013530552012326683,585575.000000003,0.907955675120757,950.000000000005,0.16000000000000086,31.309334066909923,966.2471147742285,929.6066850999762,0.23047344039554518,60.264486192293425,14.95000000000008,39.80000000000021,170.05000000000092,14.500000000000076,281646.0000000015
2021-06-18,4031.684874662222,1.1190904756686373,1.4537675304906768,46.99906489244948,0.00040067919214683954,0.0010147914009245012,585575.000000003,0.9273887020419267,950.000000000005,0.16000000000000086,31.52625895354383,983.2687694540222,945.764516087427,0.22776732981184988,59.98052721694155,14.95000000000008,39.80000000000021,170.05000000000092,14.500000000000076,281646.0000000015
2021-06-19,4032.8106501789603,1.1257755167385513,1.3417194746294827,46.99929866933717,0.00030050939411012964,0.0007610935506933759,585575.000000003,0.947744984837846,950.000000000005,0.16000000000000086,31.737246978570976,996.2531561836938,961.2117516421714,0.22410604034531306,59.72325449480063,14.95000000000008,39.80000000000021,170.05000000000092,14.500000000000076,281646.0000000015
2021-06-20,4034.001765914769,1.1911157358086017,1.2636255788227921,46.99947400200294,0.00022538204558259723,0.0005708201630200319,585575.000000003,0.9686002706258002,950.000000000005,0.16000000000000086,31.941173679306427,1003.4774975745619,974.9601227167625,0.21954219994224303,59.47571979805595,14.95000000000008,39.80000000000021,170.05000000000092,14.500000000000076,281646.0000000015
