date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_tests,people_vaccinated_per_hundred,reproduction_rate,new_tests,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,cardiovasc_death_rate,female_smokers,male_smokers,hospital_beds_per_thousand,population
2020-08-16,71693.35919163184,593.1716721711234,582.2681908935957,476.28131208591213,3.1418250814691064,3.2062400445785495,546727.3918205102,3.210000000000017,1.005065366581848,3813.6186282557373,0.16600211225141684,6.039759098787824,1121.000000000006,0.21000000000000116,74.16253759974155,33.70000000000018,132.2400000000007,2.700000000000015,37.000000000000185,2.00000000000001,4268886.000000022
2020-08-17,72291.06417394377,597.7049823119246,585.5359264604368,479.39092911937985,3.1096170334677034,3.189626219600691,550582.9077955709,3.210000000000017,1.006279632564054,3855.5159750702833,0.1643816746863004,6.102303163780599,1121.000000000006,0.21000000000000116,74.13940319980627,33.70000000000018,132.2400000000007,2.700000000000015,37.000000000000185,2.00000000000001,4268886.000000022
2020-08-18,72893.55021513796,602.48604119419,589.3342580321416,482.4625730515588,3.0716439321789974,3.166707706070917,554469.1694536603,3.210000000000017,1.0073207457546516,3886.2616580965123,0.16279546739158396,6.163534095524534,1121.000000000006,0.21000000000000116,74.1220523998548,33.70000000000018,132.2400000000007,2.700000000000015,37.000000000000185,2.00000000000001,4268886.000000022
2020-08-19,73500.67442605947,607.1242109214998,593.5096961097568,485.4853751668211,3.022802115262242,3.136725834498247,558377.627041765,3.210000000000017,1.0082187428971148,3908.457588110205,0.1612633749457567,6.221916893556791,1121.000000000006,0.21000000000000116,74.1090392998912,33.70000000000018,132.2400000000007,2.700000000000015,37.000000000000185,2.00000000000001,4268886.000000022
2020-08-20,74111.95601346843,611.2815874089666,597.8615918948589,488.44706304932464,2.9616878825035697,3.0991463474315433,562302.8295411824,3.210000000000017,1.009024432092036,3925.20249942138,0.1598070981130023,6.276657450387382,1121.000000000006,0.21000000000000116,74.09927947491849,33.70000000000018,132.2400000000007,2.700000000000015,37.000000000000185,2.00000000000001,4268886.000000022
2020-08-21,74726.61583039878,614.6598169303522,602.1675470239245,491.33673555460894,2.889672505284274,3.0538117644521363,566236.6102457389,3.210000000000017,1.009781090714148,3933.7807045595764,0.1584679609473893,6.326529933297978,1121.000000000006,0.21000000000000116,74.09195960618896,33.70000000000018,132.2400000000007,2.700000000000015,37.000000000000185,2.00000000000001,4268886.000000022
2020-08-22,75343.60603892719,616.990208528405,606.2024708691077,494.14694403829094,2.8102084836820196,3.0010556559182917,570171.5905705364,3.210000000000017,1.0105389531358062,3934.980324799778,0.1572582105295467,6.370873532714281,1121.000000000006,0.21000000000000116,74.08646970464183,33.70000000000018,132.2400000000007,2.700000000000015,37.000000000000185,2.00000000000001,4268886.000000022
2020-08-23,75961.6323572498,618.0263183226136,609.7528735138226,496.8752532775877,2.7283092392967476,2.9417883482735645,574101.1967902173,3.210000000000017,1.011328746202858,3929.6062196825796,0.15619640514990749,6.409165168928093,1121.000000000006,0.21000000000000116,74.08235227848147,33.70000000000018,132.2400000000007,2.700000000000015,37.000000000000185,2.00000000000001,4268886.000000022
2020-08-24,76578.5669634772,616.9346062274168,612.499732543254,499.52919367506286,2.65394039747515,2.8764771694146143,578023.1126379126,3.210000000000017,1.012177555127258,3921.9158476966522,0.15530987658382706,6.440467929701897,1121.000000000006,0.21000000000000116,74.0792642088612,33.70000000000018,132.2400000000007,2.700000000000015,37.000000000000185,2.00000000000001,4268886.000000022
2020-08-25,77193.9774042499,615.4104407726966,614.3458794009773,502.1044259608874,2.57523228582453,2.805326687662128,581934.8036607236,3.210000000000017,1.013108117864514,3911.691022811926,0.1546255877869332,6.463713907845275,1121.000000000006,0.21000000000000116,74.076948156646,33.70000000000018,132.2400000000007,2.700000000000015,37.000000000000185,2.00000000000001,4268886.000000022
