date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,people_vaccinated_per_hundred,total_deaths_per_million,reproduction_rate,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed,stringency_index,aged_65_older,median_age,aged_70_older,hospital_beds_per_thousand,population
2021-06-01,4634.5970290639225,29.730251247177705,29.467145791244022,6.118361930209442,0.05584908735926944,0.0,0.4588771447584396,1.054428809949092,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.740000108823812,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
2021-06-02,4663.941291513527,29.344262449604393,29.628644249703257,6.190096593099883,0.07242980194479162,0.0,0.46425724447703975,1.0540843741069401,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.74000008161788,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
2021-06-03,4692.668832242133,28.727540728606044,29.593744822700884,6.278383692400874,0.08880845359175488,0.0,0.470878776925977,1.0537769198820812,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.740000061213433,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
2021-06-04,4720.561918299254,27.893086057120374,29.356951312565457,6.381897012998144,0.1039043363153419,0.0,0.4786422759717944,1.0536030519025126,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.740000045910095,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
2021-06-05,4747.44601855638,26.88410025712603,28.926306244605126,6.49818746563097,0.1165837144213806,0.0,0.48736405992002296,1.0536541312022576,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.740000034432594,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
2021-06-06,4773.212455093762,25.76643653738237,28.325547556757048,6.623640599223237,0.1256730799336827,0.0,0.49677304494001795,1.0539952848916752,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.740000025824466,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
2021-06-07,4797.733290900161,24.520835806398154,27.555389982370667,6.755965743535085,0.1324901040679093,0.0,0.5066974307638377,1.0546837616648794,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.740000019368372,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
2021-06-08,4820.928539603699,23.195248703538137,26.621903669712744,6.893865063953845,0.13802304023580614,0.0,0.5170398797955681,1.0557810823992753,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.7400000145263,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
2021-06-09,4842.844869473305,21.916329869605793,25.56082012461814,7.03458755038944,0.14081527629838037,0.0,0.5275940662784804,1.0573374278304857,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.740000010894747,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
2021-06-10,4863.63395915088,20.789089677576058,24.426770070839197,7.174615517349299,0.14009755935694643,0.0,0.5380961638006516,1.0593925343505646,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.740000008171082,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
2021-06-11,4883.536264450433,19.90230529955246,23.285211845307835,7.310179478994531,0.13561615594304935,0.0,0.5482634609241805,1.0619653768456656,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.740000006128334,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
2021-06-12,4902.868843457418,19.33257900698499,22.206377694582066,7.437644305432076,0.1275039721609071,0.0,0.5578233229070987,1.0650606518973404,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.740000004596272,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
2021-06-13,4922.016225353251,19.14738189583347,21.260733497180915,7.553798839933796,0.11618389379424215,0.0,0.5665349129948044,1.0686395419288246,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.740000003447227,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
2021-06-14,4941.3227216975565,19.30649634430564,20.51575002592385,7.6560731118508105,0.10229629138640568,0.0,0.5742054833886381,1.0726241296205048,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.740000002585441,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
2021-06-15,4960.943802746994,19.621081049438047,20.005066559520483,7.742701246299238,0.08664464905047012,0.0,0.5807025934723132,1.076939655069291,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.740000001939103,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
2021-06-16,4981.0475417822945,20.103739035300933,19.746031173680464,7.812843646424505,0.07015478607679897,0.0,0.5859632734817406,1.0814885163504506,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.74000000145435,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
2021-06-17,5001.785446252694,20.737904470399457,19.73862486700892,7.86667863009958,0.05384427313872398,0.0,0.5900008972573955,1.0861575960540484,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.740000001090785,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
2021-06-18,5023.270581134259,21.485134881564978,19.964654655428017,7.9054711574486465,0.04038320485404299,0.0,0.5929103368085937,1.0908253722183012,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.74000000081811,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
2021-06-19,5045.561161448633,22.29058031437351,20.387148392993147,7.931624376489857,0.030287403640532243,0.0,0.5948718282366983,1.0953688675606248,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.740000000613604,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
2021-06-20,5068.648246652093,23.087085203459548,20.949900887505073,7.948718282367404,0.022715552730399182,0.0,0.5961538711775245,1.099670477431944,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.740000000460224,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
2021-06-21,5092.595250923143,23.94700427104977,21.61279315108456,7.961538711775564,0.017036664547799386,0.0,0.5971154033831442,1.1036494320881807,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.740000000345189,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
2021-06-22,5117.421422032054,24.826171108911154,22.356367002938534,7.971154033831684,0.01277749841084954,0.0,0.5978365525373589,1.107238690097165,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.740000000258913,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
2021-06-23,5143.016923020492,25.595500988438417,23.140918109346792,7.978365525373775,0.009583123808137155,0.0,0.59837741440302,1.110404938710561,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.740000000194206,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
2021-06-24,5169.181244301575,26.164321281083215,23.916151898105802,7.983774144030342,0.007187342856102867,0.0,0.5987830608022657,1.1131388688680872,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.740000000145676,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
2021-06-25,5195.652012734915,26.47076843333992,24.62842549436155,7.987830608022767,0.00539050714207715,0.0,0.5990872956017002,1.1154462654196515,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.740000000109278,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
2021-06-26,5222.1265984329,26.474585697984942,25.226179172484194,7.9908729560170855,0.004042880356557862,0.0,0.599315471701276,1.1173754230466406,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.74000000008198,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
2021-06-27,5248.278319865407,26.151721432506196,25.664009944974044,7.993154717012825,0.0030321602674183963,0.0,0.5994866037759577,1.1189740365803926,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.740000000061508,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
2021-06-28,5273.788765755559,25.510445890152145,25.887361207922556,7.99486603775963,0.0022741202005637975,0.0,0.5996149528319691,1.1203392863234667,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.740000000046154,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
2021-06-29,5298.512695842211,24.723930086650988,25.87272953554764,7.996149528319734,0.001705590150422848,0.0,0.5997112146239776,1.1215681363650967,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.740000000034637,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
2021-06-30,5322.355562605647,23.84286676343688,25.622295050820426,7.997112146239811,0.0012791926128171362,0.0,0.599783410967984,1.1227667616144834,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.740000000025999,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
2021-07-01,5345.282492898004,22.926930292357905,25.159717732847092,7.99783410967987,0.0009593944596128521,0.0,0.5998375582259888,1.1240433970027193,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.74000000001952,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
2021-07-02,5367.325024166077,22.042531268072594,24.526984647405225,7.9983755822599125,0.0007195458447096391,0.0,0.5998781686694924,1.1255013583532048,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.740000000014662,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
2021-07-03,5388.586156618425,21.261132452347297,23.782045369846127,7.9987816866949455,0.0005396593835322293,0.0,0.5999086265021201,1.1272321920034314,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.740000000011019,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
2021-07-04,5409.244142350704,20.657985732279244,22.9970385522715,7.999086265021219,0.00040474453764917194,0.0,0.5999314698765909,1.1293215260323102,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.740000000008285,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
2021-07-05,5429.416671727483,20.172529376778947,22.234272773285745,7.999314698765925,0.00030355840323687894,0.0,0.599948602407444,1.1318287334059407,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.740000000006235,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
2021-07-06,5449.160112069699,19.743440342215777,21.52255008739808,7.999486024074455,0.0002276688024276592,0.0,0.5999614518055838,1.1347590742949225,3929.000000000021,0.020000000000000108,45.00000000000025,94.0000000000005,94.0000000000005,15.740000000004699,2.560000000000014,17.500000000000092,1.500000000000008,0.800000000000004,12889583.000000067
