date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,people_vaccinated_per_hundred,reproduction_rate,icu_patients,new_tests,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,cardiovasc_death_rate,handwashing_facilities,population
2020-10-23,139179.250492927,192.5856038446706,223.18905662144226,8397.563761392652,25.707511554759606,27.314431489689888,0.09000000000000047,0.010000000000000054,0.784744216943517,111.00000000000061,949.195025508272,970.198193340228,0.18179190183629296,5.54884960245506,1971.0000000000105,1971.0000000000105,0.020000000000000108,81.48000381861286,10.200000000000053,25.40000000000013,6.700000000000035,204.30000000000103,25.38000000000013,12224114.000000065
2020-10-24,139363.3167804905,184.06628756352904,212.73778034584927,8422.605093184126,25.041331791473745,26.76891783187637,0.09000000000000047,0.010000000000000054,0.7892034438970377,111.00000000000061,946.6349892346313,962.1814827556572,0.1781734351037875,5.651856982061084,1971.0000000000105,1971.0000000000105,0.020000000000000108,81.48000286395975,10.200000000000053,25.40000000000013,6.700000000000035,204.30000000000103,25.38000000000013,12224114.000000065
2020-10-25,139540.36473468936,177.0479541988267,203.277731186989,8446.973616268197,24.36852308407076,26.217076382957085,0.09000000000000047,0.010000000000000054,0.7938237206086229,111.00000000000061,944.6037952549987,956.1253331397887,0.17471944284367796,5.754322600799215,1971.0000000000105,1971.0000000000105,0.020000000000000108,81.48000214796993,10.200000000000053,25.40000000000013,6.700000000000035,204.30000000000103,25.38000000000013,12224114.000000065
2020-10-26,139712.92578114005,172.56104645067163,194.68483669017735,8470.83895492902,23.865338660822978,25.654359485020045,0.09000000000000047,0.010000000000000054,0.798580621742829,111.00000000000061,942.2722226532736,951.4801666292449,0.17137943345790413,5.858597477425535,1971.0000000000105,1971.0000000000105,0.020000000000000108,81.48000161097757,10.200000000000053,25.40000000000013,6.700000000000035,204.30000000000103,25.38000000000013,12224114.000000065
2020-10-27,139881.36275860894,168.43697746890246,186.98227328363194,8494.165286009316,23.326331080297294,25.076255069485814,0.09000000000000047,0.010000000000000054,0.8034655244842398,111.00000000000061,939.39506873527,947.7511398394204,0.1680932370197373,5.9684552186056825,1971.0000000000105,1971.0000000000105,0.020000000000000108,81.48000120823329,10.200000000000053,25.40000000000013,6.700000000000035,204.30000000000103,25.38000000000013,12224114.000000065
2020-10-28,140045.7242182782,164.36145966922714,180.16259620383602,8516.851162309198,22.6858762998804,24.47595390715641,0.09000000000000047,0.010000000000000054,0.8084873140160576,111.00000000000061,935.8256001939877,944.5178959267547,0.1648023130266002,6.087181750088725,1971.0000000000105,1971.0000000000105,0.020000000000000108,81.48000090617508,10.200000000000053,25.40000000000013,6.700000000000035,204.30000000000103,25.38000000000013,12224114.000000065
2020-10-29,140205.92884567392,160.2046273957473,174.18110584712414,8538.773875933592,21.922713624393197,23.846192482726742,0.09000000000000047,0.010000000000000054,0.8136736626290451,111.00000000000061,931.6948465579032,941.4733282152678,0.16150703535172153,6.216056965443087,1971.0000000000105,1971.0000000000105,0.020000000000000108,81.48000067963143,10.200000000000053,25.40000000000013,6.700000000000035,204.30000000000103,25.38000000000013,12224114.000000065
2020-10-30,140361.90377711278,155.9749314388598,168.95087253337175,8559.822730802824,21.048854869232223,23.18063515066823,0.09000000000000047,0.010000000000000054,0.8190472637785077,111.00000000000061,926.7221691782864,938.2675042416072,0.15821463333344232,6.354728567650522,1971.0000000000105,1971.0000000000105,0.020000000000000108,81.4800005097237,10.200000000000053,25.40000000000013,6.700000000000035,204.30000000000103,25.38000000000013,12224114.000000065
2020-10-31,140513.68833703647,151.78455992368288,164.33900507876206,8579.92399703555,20.10126623272574,22.474910752141476,0.09000000000000047,0.010000000000000054,0.8246311168707274,111.00000000000061,920.9638473103482,934.603957205124,0.1549264888979488,6.502859612551088,1971.0000000000105,1971.0000000000105,0.020000000000000108,81.48000038229289,10.200000000000053,25.40000000000013,6.700000000000035,204.30000000000103,25.38000000000013,12224114.000000065
2020-11-01,140661.51184101283,147.82350397637578,160.16385222536132,8599.05962673595,19.135629700400827,21.72739007768079,0.09000000000000047,0.010000000000000054,0.8304634798637772,111.00000000000061,914.3243237503772,930.2809414009353,0.15165333467604744,6.660006700363552,1971.0000000000105,1971.0000000000105,0.020000000000000108,81.48000028671979,10.200000000000053,25.40000000000013,6.700000000000035,204.30000000000103,25.38000000000013,12224114.000000065
