date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,life_expectancy,population
2020-07-07,11.99999989513886,4.3891447209892884e-08,0.0,0.0,23391.809795592893,75.12000000000039,808.0000000000043
2020-07-08,11.999999921354163,3.2918585407419667e-08,0.0,0.0,23391.8098466947,75.12000000000039,808.0000000000043
2020-07-09,11.999999941015641,2.468893905556475e-08,0.0,0.0,23391.80988502106,75.12000000000039,808.0000000000043
2020-07-10,11.999999955761748,1.8516704291673563e-08,0.0,0.0,23391.809913765825,75.12000000000039,808.0000000000043
2020-07-11,11.999999966821328,1.3887528218755172e-08,0.0,0.0,23391.8099353244,75.12000000000039,808.0000000000043
2020-07-12,11.999999975116012,1.041564616406638e-08,0.0,0.0,23391.80995149333,75.12000000000039,808.0000000000043
2020-07-13,11.999999981337027,7.811734623049784e-09,0.0,0.0,23391.80996362003,75.12000000000039,808.0000000000043
2020-07-14,11.999999986002788,5.858800967287338e-09,0.0,0.0,23391.809972715055,75.12000000000039,808.0000000000043
2020-07-15,11.999999989502108,4.394100725465503e-09,0.0,0.0,23391.809979536323,75.12000000000039,808.0000000000043
2020-07-16,11.999999992126597,3.2955755440991273e-09,0.0,0.0,23391.809984652275,75.12000000000039,808.0000000000043
2020-07-17,11.999999994094964,2.4716816580743457e-09,0.0,0.0,23391.80998848924,75.12000000000039,808.0000000000043
2020-07-18,11.99999999557124,1.8537612435557593e-09,0.0,0.0,23391.80999136696,75.12000000000039,808.0000000000043
2020-07-19,11.999999996678447,1.3903209326668196e-09,0.0,0.0,23391.809993525254,75.12000000000039,808.0000000000043
2020-07-20,11.999999997508851,1.0427406995001148e-09,0.0,0.0,23391.809995143973,75.12000000000039,808.0000000000043
2020-07-21,11.999999998131656,7.820555246250861e-10,0.0,0.0,23391.809996358013,75.12000000000039,808.0000000000043
2020-07-22,11.99999999859876,5.865416434688146e-10,0.0,0.0,23391.80999726854,75.12000000000039,808.0000000000043
2020-07-23,11.999999998949086,4.399062326016109e-10,0.0,0.0,23391.809997951437,75.12000000000039,808.0000000000043
2020-07-24,11.99999999921183,3.299296744512082e-10,0.0,0.0,23391.80999846361,75.12000000000039,808.0000000000043
2020-07-25,11.999999999408889,2.4744725583840616e-10,0.0,0.0,23391.80999884774,75.12000000000039,808.0000000000043
2020-07-26,11.999999999556685,1.8558544187880462e-10,0.0,0.0,23391.809999135836,75.12000000000039,808.0000000000043
2020-07-27,11.99999999966753,1.3918908140910346e-10,0.0,0.0,23391.80999935191,75.12000000000039,808.0000000000043
2020-07-28,11.999999999750663,1.043918110568276e-10,0.0,0.0,23391.809999513964,75.12000000000039,808.0000000000043
2020-07-29,11.999999999813014,7.82938582926207e-11,0.0,0.0,23391.809999635505,75.12000000000039,808.0000000000043
2020-07-30,11.999999999859778,5.872039371946552e-11,0.0,0.0,23391.80999972666,75.12000000000039,808.0000000000043
2020-07-31,11.99999999989485,4.4040295289599144e-11,0.0,0.0,23391.80999979503,75.12000000000039,808.0000000000043
2020-08-01,11.999999999921155,3.303022146719936e-11,0.0,0.0,23391.809999846304,75.12000000000039,808.0000000000043
2020-08-02,11.999999999940883,2.477266610039952e-11,0.0,0.0,23391.80999988476,75.12000000000039,808.0000000000043
2020-08-03,11.99999999995568,1.8579499575299638e-11,0.0,0.0,23391.809999913603,75.12000000000039,808.0000000000043
2020-08-04,11.999999999966779,1.393462468147473e-11,0.0,0.0,23391.809999935234,75.12000000000039,808.0000000000043
2020-08-05,11.999999999975103,1.0450968511106047e-11,0.0,0.0,23391.809999951456,75.12000000000039,808.0000000000043
2020-08-06,11.999999999981345,7.838226383329534e-12,0.0,0.0,23391.809999963625,75.12000000000039,808.0000000000043
2020-08-07,11.999999999986027,5.878669787497151e-12,0.0,0.0,23391.809999972753,75.12000000000039,808.0000000000043
2020-08-08,11.999999999989537,4.409002340622863e-12,0.0,0.0,23391.809999979596,75.12000000000039,808.0000000000043
2020-08-09,11.99999999999217,3.3067517554671477e-12,0.0,0.0,23391.80999998473,75.12000000000039,808.0000000000043
2020-08-10,11.999999999994145,2.480063816600361e-12,0.0,0.0,23391.809999988578,75.12000000000039,808.0000000000043
2020-08-11,11.999999999995627,1.860047862450271e-12,0.0,0.0,23391.809999991467,75.12000000000039,808.0000000000043
2020-08-12,11.999999999996739,1.3950358968377032e-12,0.0,0.0,23391.80999999363,75.12000000000039,808.0000000000043
2020-08-13,11.99999999999757,1.0462769226282774e-12,0.0,0.0,23391.809999995257,75.12000000000039,808.0000000000043
2020-08-14,11.999999999998195,7.84707691971208e-13,0.0,0.0,23391.809999996476,75.12000000000039,808.0000000000043
