date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,population
2020-11-30,289569.2784619976,1646.427368948991,1558.2049988748156,7892.319135371192,41.27056616695437,39.9210808453195,0.1000000000000005,0.0,4170.000000000022,4170.000000000022,0.0,737604900.0000036
2020-12-01,291238.681212368,1669.40275037044,1587.2083693888226,7933.701988891042,41.38285351985061,40.392273303672944,0.1000000000000005,0.0,4170.000000000022,4170.000000000022,0.0,737604900.0000036
2020-12-02,292935.8059965421,1697.1247841740833,1616.179174585252,7975.243379192532,41.54139030149112,40.792132741167826,0.1000000000000005,0.0,4170.000000000022,4170.000000000022,0.0,737604900.0000036
2020-12-03,294666.8230979241,1731.0171013820195,1645.5754426713268,8017.031079966486,41.78770077395292,41.12840062245641,0.1000000000000005,0.0,4170.000000000022,4170.000000000022,0.0,737604900.0000036
2020-12-04,296437.6549123252,1770.8318144010937,1675.9284776078932,8059.169948630337,42.13886866385195,41.41933214105051,0.1000000000000005,0.0,4170.000000000022,4170.000000000022,0.0,737604900.0000036
2020-12-05,298252.72230900195,1815.0673966767117,1707.7725039719212,8101.763595926545,42.59364729620835,41.691437858211984,0.1000000000000005,0.0,4170.000000000022,4170.000000000022,0.0,737604900.0000036
2020-12-06,300114.00440143514,1861.282092433199,1741.591900603378,8144.900638121391,43.1370421948454,41.97778993212059,0.1000000000000005,0.0,4170.000000000022,4170.000000000022,0.0,737604900.0000036
2020-12-07,302017.4581653302,1903.4537638950378,1778.309953571476,8188.520856742316,43.62021862092402,42.31314674773303,0.1000000000000005,0.0,4170.000000000022,4170.000000000022,0.0,737604900.0000036
2020-12-08,303965.71419607307,1948.2560307428714,1818.1461296905684,8232.687071128177,44.166214385861146,42.71046946610041,0.1000000000000005,0.0,4170.000000000022,4170.000000000022,0.0,737604900.0000036
2020-12-09,305961.5086916577,1995.7944955846292,1860.8132239647618,8277.514592292493,44.82752116431513,43.17963086492766,0.1000000000000005,0.0,4170.000000000022,4170.000000000022,0.0,737604900.0000036
2020-12-10,308006.4456751755,2044.9369835178222,1905.658917650368,8323.129657858684,45.61506556619052,43.726131842942735,0.1000000000000005,0.0,4170.000000000022,4170.000000000022,0.0,737604900.0000036
2020-12-11,310100.06866168266,2093.622986507148,1951.7719468027435,8369.638258261512,46.508600402826545,44.350138798173504,0.1000000000000005,0.0,4170.000000000022,4170.000000000022,0.0,737604900.0000036
2020-12-12,312239.16440835036,2139.0957466676946,1998.0617286864174,8417.10275639815,47.464498136638404,45.045761661655405,0.1000000000000005,0.0,4170.000000000022,4170.000000000022,0.0,737604900.0000036
2020-12-13,314417.2407270777,2178.0763187273415,2043.3180815826895,8465.524352366498,48.4215959683483,45.80051242271221,0.1000000000000005,0.0,4170.000000000022,4170.000000000022,0.0,737604900.0000036
2020-12-14,316626.36719689245,2209.12646981474,2086.9856701075114,8514.761864792015,49.23751242551792,46.60281498930313,0.1000000000000005,0.0,4170.000000000022,4170.000000000022,0.0,737604900.0000036
2020-12-15,318865.1249290208,2238.7577321283497,2128.485998540559,8564.856531108568,50.09466631655286,47.44958813273372,0.1000000000000005,0.0,4170.000000000022,4170.000000000022,0.0,737604900.0000036
2020-12-16,321130.3227368436,2265.197807822833,2166.9722959319256,8615.863519856972,51.00698874840373,48.33224588300221,0.1000000000000005,0.0,4170.000000000022,4170.000000000022,0.0,737604900.0000036
