date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,extreme_poverty,female_smokers,population
2020-09-06,115610.64097822434,2251.6840781486817,2106.208586356673,1379.943616484615,28.03267082488972,26.687637654389576,0.010000000000000054,1.1424644904657093,20904.98187554875,20152.98364512047,0.11412725829174317,8.773258143467658,0.0,1179.0000000000061,1179.0000000000061,0.0,63.91536430681479,77.39000000000041,41.40000000000022,0.1000000000000005,13.500000000000068,39701744.00000021
2020-09-07,117904.85814155467,2294.217163330325,2151.291873995045,1407.4793025379947,27.53568605337967,27.15227462088272,0.010000000000000054,1.1418947479397814,21282.307705950538,20557.6401255663,0.11390426724821928,8.796813355499914,0.0,1179.0000000000061,1179.0000000000061,0.0,64.08987003036975,77.39000000000041,41.40000000000022,0.1000000000000005,13.500000000000068,39701744.00000021
2020-09-08,120243.52528037432,2338.6671388196605,2197.7258953152914,1434.4041440011065,26.92484146311171,27.379383405868932,0.010000000000000054,1.141417828892782,21642.745953994287,20958.559101931707,0.11374381129589313,8.816627469760048,0.0,1179.0000000000061,1179.0000000000061,0.0,64.2068504865783,77.39000000000041,41.40000000000022,0.1000000000000005,13.500000000000068,39701744.00000021
2020-09-09,122630.11553429514,2386.590253920825,2245.350750833595,1460.7625941029653,26.358450101858708,27.38678723119553,0.010000000000000054,1.1410342831110878,21991.81659219258,21351.675289603303,0.11368019202072414,8.830764073554695,0.0,1179.0000000000061,1179.0000000000061,0.0,64.2739681816759,77.39000000000041,41.40000000000022,0.1000000000000005,13.500000000000068,39701744.00000021
2020-09-10,125067.85245550498,2437.736921209853,2293.8464286714184,1486.7108919249958,25.94829782203078,27.219593978664946,0.010000000000000054,1.1407404828569114,22335.883856555585,21733.529931973033,0.11370907743506492,8.83813284831406,0.0,1179.0000000000061,1179.0000000000061,0.0,64.30287820477672,77.39000000000041,41.40000000000022,0.1000000000000005,13.500000000000068,39701744.00000021
2020-09-11,127558.35563122167,2490.5031757167017,2342.7840058927077,1512.482167004512,25.77127507951601,26.942822342434425,0.010000000000000054,1.1405280512183154,22671.83742376772,22098.71868362751,0.11384063160571062,8.836542428737173,0.0,1179.0000000000061,1179.0000000000061,0.0,64.30927727026007,77.39000000000041,41.40000000000022,0.1000000000000005,13.500000000000068,39701744.00000021
2020-09-12,130100.62490053344,2542.2692693117706,2391.6640495068,1538.3602677873228,25.878100782810925,26.635871443315835,0.010000000000000054,1.140383433371721,22998.14657138109,22444.17888020612,0.11409104254720491,8.8245933115335,0.0,1179.0000000000061,1179.0000000000061,0.0,64.31294049956004,77.39000000000041,41.40000000000022,0.1000000000000005,13.500000000000068,39701744.00000021
2020-09-13,132690.27851702925,2589.6536164957906,2439.945417220601,1564.6601329671912,26.299865179868412,26.388373039500486,0.010000000000000054,1.1402875750287924,23305.813322201007,22767.251710251585,0.11447778417284728,8.801985707632038,0.0,1179.0000000000061,1179.0000000000061,0.0,64.31715285366171,77.39000000000041,41.40000000000022,0.1000000000000005,13.500000000000068,39701744.00000021
2020-09-14,135315.97168673787,2625.6931697086275,2487.299156322048,1591.535338897988,26.87520593079663,26.29401765939269,0.010000000000000054,1.140215681271596,23601.329367862814,23068.21260298607,0.11499246870494267,8.769425609101546,0.0,1179.0000000000061,1179.0000000000061,0.0,64.32303270747326,77.39000000000041,41.40000000000022,0.1000000000000005,13.500000000000068,39701744.00000021
2020-09-15,137977.82173531863,2661.8500485807635,2533.4681860844616,1619.137056856105,27.601717958116907,26.390663212223934,0.010000000000000054,1.1401617609536987,23874.613832619834,23347.653505245406,0.11562880531021977,8.72722434580484,0.0,1179.0000000000061,1179.0000000000061,0.0,64.32977453060504,77.39000000000041,41.40000000000022,0.1000000000000005,13.500000000000068,39701744.00000021
